Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;0;prod By MurphyKid;p_r_aa_d b_ay 
a;2;i remember them days when I used to hang in the club;ay r_ih_m_eh_m_b_ax dh_eh_m d_ey_z w_eh_n ay y_uw_z_d t_uw hh_ae_ng ih_n dh_ah k_l_ah_b
a;3;so addicted to fame they say its the same (as) a drug;s_ow ah_d_ih_k_t_ah_d t_uw f_ey_m dh_ey s_ey ih_t_s dh_iy s_ey_m eh_z ey d_r_ah_g
a;4;not a lame or a scrub no that ain-t what it was;n_ax_t ey l_ey_m er ey s_k_r_ah_b n_ow dh_ah_t ey_n_t hh_w_ah_t ah_t w_ah_z
a;5;knew this girl (is) somebody else-s I think im in love;n_y_uw dh_ah_s g_er_l ah_z s_ah_m_b_ah_d_iy eh_l_s_ah_z ay th_ih_ng_k ay_m ih_n l_ah_v
i;6;she know she bad but whats new;sh_iy n_ow sh_iy b_ae_d b_ah_t w_ah_t_s n_y_uw
b;7;maybe the baddest I want you girl;m_ey_b_iy dh_ah b_ae_d_d_eh_s_t ay w_aa_n_t y_uw g_er_l
b;8;i gotta have it but it do girl;ay g_aa_t_ah hh_ae_v ih_t b_ah_t ih_t d_uw g_er_l
b;9;you cool girl play by the rules girl;y_uw k_uw_l g_er_l p_l_ey b_ay dh_ah r_uw_l_z g_er_l
l;10;cuz we catching feelins fa sho;k_ah_z w_iy k_ae_ch_ih_ng f_iy_l_ih_ng_s f_ae sh_aa
c;11;you know the game and you know how it go;y_uw n_ow dh_ah g_ey_m ah_n_d y_uw n_ow hh_aw ih_t g_ow
c;12;been keepin shit on the low;b_ih_n k_iy_p_iy_n sh_iy_t aa_n dh_ah l_ow
c;13;girl i-ma g i-ma stick to the code;g_er_l ay_m_ae jh_iy ay_m_ae s_t_ih_k t_uw dh_ah k_ow_d
c;14;too many times Ive been down this road;t_uw m_eh_n_iy t_ay_m_z ay_v b_ih_n d_aw_n dh_ih_s r_ow_d
c;15;nobodies hurt if nobody knows;n_ow_b_aa_d_iy_z hh_er_t ah_f n_ow_b_aa_d_iy n_ow_z
c;16;go head and call yo nigga tell him you ain-t comin home;g_ow hh_eh_d ah_n_d k_ao_l y_ow n_ih_g_ae t_eh_l hh_ih_m y_uw ey_n_t k_ow_m_ah_n hh_ow_m
d;18;i got you creepin got you creepin yea;ay g_aa_t y_uw k_r_iy_p_iy_n g_aa_t y_uw k_r_iy_p_iy_n y_ey
e;19;you got a man at home you know he (cheatin-);y_uw g_aa_t ah m_ae_n ae_t hh_ow_m y_uw n_ow hh_iy ch_iy_t_iy_n_eh
f;20;but you won-t leave him whats the reason yeah;b_ah_t y_uw w_ow_n_t l_iy_v hh_ih_m w_ah_t_s dh_ah r_iy_z_ah_n y_ae
d;21;you know yo man a scrub that ain-t;y_uw n_ow y_ow m_ae_n ah s_k_r_ah_b dh_ae_t ey_n_t
a;22;no real love;n_ow r_iy_l l_ah_v
c;23;youd rather get even you don-t need him no;y_uw_d r_ae_dh_er g_eh_t iy_v_ah_n y_uw d_ow_n_t n_iy_d hh_ih_m n_ow
g;24;he got you chasin waterfalls;hh_iy g_aa_t y_uw ch_ae_s_ih_n w_ao_t_er_f_ao_l_z
c;25;that red light special got me gone;dh_ae_t r_eh_d l_ay_t s_p_eh_sh_ah_l g_aa_t m_iy g_ao_n
m;26;girl tell me why you hollin on;g_er_l t_eh_l m_iy w_ay y_uw hh_aa_l_ih_n aa_n
c;27;you don-t know you don-t know;y_uw d_ow_n_t n_ow y_uw d_ow_n_t n_ow
c;29;ay I know I got a lot of hoes;ey ay n_ow ay g_aa_t ah l_aa_t ah_v hh_ow_z
d;30;but I ain-t never show this side before hey;b_ah_t ay ey_n_t n_eh_v_er sh_ow dh_ih_s s_ay_d b_ah_f_ao_r hh_ey
n;31;even my mamma knows so Señorita vámonos;iy_v_ah_n m_ay m_aa_m_ah n_ow_z s_ow S_eh_ñ_ao_r_iy_t_ax 
b;32;if I never told you that I wan-t you to myself girl;ah_f ay n_eh_v_er t_ow_l_d y_uw dh_ae_t ay w_t_ae y_uw t_uw m_ay_s_eh_l_f g_er_l
c;33;cuz Im down to show you that I want you to be my ho;k_ah_z ay_m d_aw_n t_uw sh_ow y_uw dh_ae_t ay w_aa_n_t y_uw t_uw b_iy m_ay hh_ow
d;35;i got you creepin got you creepin yea;ay g_aa_t y_uw k_r_iy_p_iy_n g_aa_t y_uw k_r_iy_p_iy_n y_ey
