Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;there was a stream loose;dh_eh_r w_ah_z ey s_t_r_iy_m l_uw_s
a;1;a port with no support crews;ey p_ao_r_t w_ah_dh n_ow s_ah_p_ao_r_t k_r_uw_z
a;2;a short fuse;ey sh_ao_r_t f_y_uw_z
a;3;to those portals that were more used;t_ah dh_ow_z p_ao_r_t_ah_l_z dh_ah_t w_er m_ao_r y_uw_z_d
a;4;a sore wound a coarse boost;ey s_ao_r w_uw_n_d ey k_ao_r_s b_uw_s_t
l;5;supposed for those;s_ah_p_ow_z_d f_r_er dh_ow_z
m;6;that wars choose you port;dh_ah_t w_ao_r_z ch_uw_z y_uw p_ao_r_t
a;7;the storm through the warn boots;dh_iy s_t_ao_r_m th_r_uw dh_iy w_ao_r_n b_uw_t_s
a;8;of any one of four dudes;ah_v eh_n_iy hh_w_ah_n ah_v f_ao_r d_y_uw_d_z
b;9;first step you take a breath;f_er_s_t s_t_eh_p y_uw t_ey_k ah b_r_eh_th
b;10;(as) Death and feel ok except;ae_z d_eh_th ah_n_d f_iy_l ow_k_ey ih_k_s_eh_p_t
b;11;you know the answer to the question of whats coming next;y_uw n_ow dh_ah ae_n_s_er t_uw dh_ah k_w_eh_s_ch_ax_n ah_v w_ah_t_s k_ah_m_ih_ng n_eh_k_s_t
n;12;and cash the checks of those who;ah_n_d k_ae_sh dh_ah ch_eh_k_s ah_v dh_ow_z hh_uw
b;13;made their bets but never paid their debts;m_ey_d dh_eh_r b_eh_t_s b_ah_t n_eh_v_er p_ey_d dh_eh_r d_eh_t_s
c;14;they lay in bed afraid to sleep;dh_ey l_ey ih_n b_eh_d ah_f_r_ey_d t_uw s_l_iy_p
c;15;and pray to he whose soul they keep;ah_n_d p_r_ey t_uw hh_iy hh_uw_z s_ow_l dh_ey k_iy_p
c;16;they slowly weep;dh_ey s_l_ow_l_iy w_iy_p
c;17;you coldly creep;y_uw k_ow_l_d_l_iy k_r_iy_p
d;18;in through they window sill;ih_n th_r_uw dh_ey w_ih_n_d_ow s_ih_l
