Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;baby;b_ey_b_iy
b;1;i think you got an X-ray;ay th_ih_ng_k y_uw g_aa_t ah_n eh_k_s_r_ey
a;2;through your game;th_r_uw y_uh_r g_ey_m
a;3;blame the prey;b_l_ey_m dh_iy p_r_ey
a;5;maybe;m_ey_b_iy
f;6;you ate a Friday;y_uw ey_t ey f_r_ay_d_iy
c;7;instead of Sunday;ih_n_s_t_eh_d ah_v s_ah_n_d_ey
a;8;cuz youre at the grave;k_ah_z y_uw_r ae_t dh_ah g_r_ey_v
a;10;but wait;b_ah_t w_ey_t
d;11;i can cover this;ay k_ah_n k_ah_v_er dh_ih_s
d;12;seal it with a kiss;s_iy_l ih_t w_ih_dh ah k_ih_s
b;13;my hearts the only exit;m_ay hh_aa_r_t_s dh_ah ow_n_l_iy eh_g_z_ah_t
d;14;there ain-t no list;dh_eh_r ey_n_t n_ow l_ih_s_t
d;16;so let me cure this;s_ow l_eh_t m_iy k_y_uh_r dh_ih_s
d;17;i know you can-t resist;ay n_ow y_uw k_ae_n_t r_ah_z_ih_s_t
g;18;its OK I got the lights off;ih_t_s ow_k_ey ay g_aa_t dh_ah l_ay_t_s ao_f
c;19;i think this night will be enough;ay th_ih_ng_k dh_ih_s n_ay_t w_ah_l b_iy ah_n_ah_f
c;20;to save you rough;t_uw s_ey_v y_uw r_ah_f
c;22;be tough;b_iy t_ah_f
c;23;its all free love;ih_t_s ao_l f_r_iy l_ah_v
c;24;fill your heart up;f_ih_l y_ao_r hh_aa_r_t ah_p
h;25;Till it finds the top;t_ih_l ih_t f_ay_n_d_z dh_ah t_aa_p
i;27;im drowning in you;ay_m d_r_aw_n_ih_ng ih_n y_uw
l;28;my obsessions proof;m_ay ah_b_s_eh_sh_ah_n_z p_r_uw_f
f;29;wake me;w_ey_k m_iy
f;30;taste me;t_ey_s_t m_iy
f;31;love me;l_ah_v m_iy
e;33;ill keep your secret;ay_l k_iy_p y_ao_r s_iy_k_r_ah_t
e;34;ill guard your secret;ay_l g_aa_r_d y_ao_r s_iy_k_r_ah_t
b;35;don-t worry don-t fret;d_ow_n_t w_er_iy d_ow_n_t f_r_eh_t
b;36;ive got the (table) set;ay_v g_aa_t dh_ah t_ey_b_ah_l s_eh_t
