Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;what you can-t breath the chaos of snow and smoke;hh_w_ah_t y_uw k_ae_n_t b_r_eh_th dh_ah k_ey_aa_s ah_v s_n_ow ah_n_d s_m_ow_k
b;1;what you can-t heal old wounds and scarred skies;w_ah_t y_uw k_ae_n_t hh_iy_l ow_l_d w_uw_n_d_z ah_n_d s_k_aa_r_d s_k_ay_z
c;2;what you dont know missing memories;w_ah_t y_uw d_aa_n_b n_ow m_ih_s_ih_ng m_eh_m_ax_r_iy_z
e;3;what time will reveal;w_ah_t t_ay_m w_ah_l r_ih_v_iy_l
b;5;on the frontlines in a battle over our minds;aa_n dh_ah f_r_ah_n_t_l_ay_n_z ih_n ah b_ae_t_ah_l ow_v_er aw_r m_ay_n_d_z
f;6;we are the miscellaneous debris;w_iy aa_r dh_ah m_ih_s_ah_l_ey_n_iy_ah_s d_ah_b_r_iy
b;7;coming to terms with how this might appear in hindsight;k_ah_m_ih_ng t_uw t_er_m_z w_ih_dh hh_aw dh_ih_s m_ay_t ah_p_ih_r ih_n hh_ay_n_d_s_ay_t
g;9;in the furture we are there blanketed in ash;ih_n dh_ah f_er_t_uh_r w_iy aa_r dh_eh_r b_l_ae_ng_k_ah_t_ah_d ih_n ae_sh
h;10;explaining why the ghosts of all the lives wasted;ih_k_s_p_l_ey_n_ih_ng w_ay dh_ah g_ow_s_t_s ah_v ao_l dh_ah l_ih_v_z w_ey_s_t_ah_d
i;11;haunt us Leaving all things cursed;hh_ao_n_t ah_s l_iy_v_ih_ng ao_l th_ih_ng_z k_er_s_t
b;13;expectations (as) anchors Captivation (as) strife;eh_k_s_p_eh_k_t_ey_sh_ah_n_z ae_z ae_ng_k_er_z  ae_z s_t_r_ay_f
b;14;unbridled want controls what might be this life;ah_n_b_r_ay_d_ah_l_d w_aa_n_t k_ah_n_t_r_ow_l_z w_ah_t m_ay_t b_iy dh_ih_s l_ay_f
b;16;handful of rulers with bloody hands writes;hh_ae_n_d_f_uh_l ah_v r_uw_l_er_z w_ih_dh b_l_ah_d_iy hh_ae_n_d_z r_ay_t_s
b;17;history of the future Creating all thats in sight;hh_ih_s_t_r_ih ah_v dh_ah f_y_uw_ch_er k_r_iy_ey_t_ih_ng ao_l dh_ae_t_s ih_n s_ay_t
a;19;this sorrow we suffer ails us alone;dh_ih_s s_aa_r_ow w_iy s_ah_f_er ey_l_z ah_s ah_l_ow_n
l;21;how cheap (is) it to forget;hh_aw ch_iy_p ih_z ih_t t_uw f_ax_g_eh_t
m;22;how expensive to remember;hh_aw ih_k_s_p_eh_n_s_ih_v t_uw r_ih_m_eh_m_b_ax
c;23;could just one joy compete with one death;k_uh_d jh_ah_s_t w_ah_n jh_oy k_ah_m_p_iy_t w_ih_dh w_ah_n d_eh_th
n;25;when the day comes;w_eh_n dh_ah d_ey k_ah_m_z
a;26;bury my heart burn my soul;b_eh_r_iy m_ay hh_aa_r_t b_er_n m_ay s_ow_l
d;28;one more time around with this pathetic sorrow;w_ah_n m_ao_r t_ay_m er_aw_n_d w_ih_dh dh_ih_s p_ah_th_eh_t_ih_k s_aa_r_ow
d;29;this sorrow;dh_ih_s s_aa_r_ow
