Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i pull out three blunts lit up;ay p_uh_l aw_t th_r_iy b_l_ah_n_t_s l_ih_t ah_p
b;1;then roll some more because I want;dh_eh_n r_ow_l s_ah_m m_ao_r b_ih_k_ah_z ay w_aa_n_t
b;2;haters can-t get what they want;hh_ey_t_er_z k_ae_n_t g_eh_t w_ah_t dh_ey w_aa_n_t
a;3;they mad cus they can-t chill with us;dh_ey m_ae_d k_ah dh_ey k_ae_n_t ch_ih_l w_ih_dh ah_s
a;4;little boy can-t come near to us;l_ih_t_ah_l b_oy k_ae_n_t k_ah_m n_ih_r t_uw ah_s
g;5;the pressure (is) to furious;dh_ah p_r_eh_sh_er ih_z t_uw f_y_uh_r_iy_ah_s
a;6;she say im too dear to her but;sh_iy s_ey ih_m t_uw d_ih_r t_uw hh_er b_ah_t
h;7;i forgot bout who she was;ay f_er_g_aa_t b_aw_t hh_uw sh_iy w_ah_z
i;8;all my niggas pullin up so;ao_l m_ay n_ih_g_ae_s p_uh_l_ih_n ah_p s_ow
a;9;deep you can-t do nuthin to us;d_iy_p y_uw k_ae_n_t d_uw n_uw_th_ax_n t_uw ah_s
c;10;switch it back to me im sitting;s_w_ih_ch ih_t b_ae_k t_uw m_iy ih_m s_ih_t_ih_ng
a;11;back cus they dont bother us;b_ae_k k_ah dh_ey d_aa_n_b b_aa_dh_er ah_s
c;12;who can say who who-  I give;hh_uw k_ah_n s_ey hh_uw  hh_uw ay g_ih_v
l;13;no fuck bout him or anyone;n_ow f_ah_k b_aw_t hh_ih_m ao_r eh_n_iy_w_ah_n
d;14;bitch come fuck with creaking;b_ih_ch k_ah_m f_ah_k w_ih_dh k_r_iy_k_ih_ng
m;15;and my emotion dont come visit her;ah_n_d m_ay ih_m_ow_sh_ah_n d_aa_n_b k_ah_m v_ih_z_ah_t hh_er
n;16;who;hh_uw
o;17;two blunts shawty;t_uw b_l_ah_n_t_s t_iy
c;18;heres one for yo bitch;hh_ih_r_s w_ah_n f_ao_r y_ow b_ih_ch
d;19;sike give it back I don-t give a hoe shit;s_ay_k g_ih_v ih_t b_ae_k ay d_ow_n_t g_ih_v ah hh_ow sh_iy_t
d;20;bitch front a gram so we know she ain-t shit;b_ih_ch f_r_ah_n_t ah g_r_ae_m s_ow w_iy n_ow sh_iy ey_n_t sh_iy_t
d;21;i don-t give a fuck how a hating nigga feel;ay d_ow_n_t g_ih_v ah f_ah_k hh_aw ah hh_ey_t_ih_ng n_ih_g_ae f_iy_l
a;22;he thinkin we broke but;hh_iy th_ih_ng_k_ah_n w_iy b_r_ow_k b_ah_t
c;24;your shows ain-t shit nigga;y_ao_r sh_ow_z ey_n_t sh_iy_t n_ih_g_ae
e;25;you don-t even compare;y_uw d_ow_n_t iy_v_ah_n k_ah_m_p_eh_r
c;26;i told her come thru she say im here;ay t_ow_l_d hh_er k_ah_m th_r_uw sh_iy s_ey ih_m hh_ih_r
o;27;gucci ain-t here but she;g_uw_ch_iy ey_n_t hh_ih_r b_ah_t sh_iy
m;28;still say burr;s_t_ih_l s_ey b_er
l;29;tundraman smoking on;t_ah_n_d_r_ah_m_ae_n s_m_ow_k_ih_ng aa_n
c;30;that iced out pier;dh_ae_t ay_s_t aw_t p_ih_r
f;31;iced out blunt cryin;ay_s_t aw_t b_l_ah_n_t k_r_ay_iy_n
e;32;iced out tears;ay_s_t aw_t t_eh_r_z
b;33;leave it up to me imma;l_iy_v ih_t ah_p t_uw m_iy ih_m_m_aa
c;34;break this niggas spirit;b_r_ey_k dh_ih_s n_ae_s s_p_ih_r_ah_t
f;35;tundraboy Iceman;t_ah_n_d_r_ah_b_oy ay_s_m_ae_n
c;36;literally chilling;l_ih_t_er_ah_l_iy ch_ih_l_ih_ng
p;37;boy test me Better make;b_oy t_eh_s_t m_iy b_eh_t_er m_ey_k
c;38;sure youre really serious;sh_uh_r y_ao_r r_ih_l_iy s_ih_r_iy_ah_s
g;39;hollowsquad cutting out of;hh_aa_l_ow_z_ha_k_w_aa_d k_ah_t_ih_ng aw_t ah_v
c;40;any niggas feelings you bitch;eh_n_iy n_ih_g_ae_s f_iy_l_ih_ng_z y_uw b_ih_ch
