Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;alonzo;ah_l_aa_n_z_ow
b;1;it ain-t like stepping on ants Jake It takes a man to kill You man enough;ah_t ey_n_t l_ay_k s_t_eh_p_ih_ng aa_n ae_n_t_s jh_ey_k ih_t t_ey_k_s ah m_ae_n t_uw k_ih_l y_uw m_ae_n ah_n_ah_f
c;2;to kill Jake;t_uw k_ih_l jh_ey_k
o;3;hit me right there Get me Jake Get me Hit me Hit me You can-t do it;hh_ih_t m_iy r_ay_t dh_eh_r g_eh_t m_iy jh_ey_k g_eh_t m_iy hh_ih_t m_iy hh_ih_t m_iy y_uw k_ae_n_t d_uw ih_t
p;4;somebody drop this fool for me;s_ah_m_b_aa_d_iy d_r_aa_p dh_ih_s f_uw_l f_ao_r m_iy
d;5;bones;b_ow_n_z
e;6;you got us twisted homie You gotta put yuh own work in around here;y_uw g_aa_t ah_s t_w_ih_s_t_ah_d hh_ao_m_iy_ax y_uw g_aa_t_ah p_uh_t y_uw_ae ow_n w_er_k ih_n er_aw_n_d hh_ih_r
q;7;alozno;ah_l_oh_z_n_ax
d;8;aight it like that bones;ah_iy_g_h_t ih_t l_ay_k dh_ae_t b_ow_n_z
d;9;bones;b_ow_n_z
r;10;its like that;ih_t_s l_ay_k dh_ah_t
a;11;alonzo;ah_l_aa_n_z_ow
p;12;player to player pimp to pimp Im letting you shoot me;p_l_ey_er t_ah p_l_ey_er p_ih_m_p t_ah p_ih_m_p ay_m l_eh_t_ih_ng y_uw sh_uw_t m_iy
c;13;jake;jh_ey_k
o;14;don-t do it;d_ow_n_t d_uw ih_t
a;15;alonzo;ah_l_aa_n_z_ow
c;16;you know I don-t believe you got it in you Jake;y_uw n_ow ay d_ow_n_t b_ah_l_iy_v y_uw g_aa_t ih_t ih_n y_uw jh_ey_k
b;17;im gonna get that gun amp then Im gonna get that money;ay_m g_aa_n_ah g_ih_t dh_ah_t g_ah_n ae_m_p dh_eh_n ay_m g_aa_n_ah g_eh_t dh_ae_t m_ah_n_iy
s;18;amp you ain-t gon do a damn thing cause you ain-t gon shoot no cop in the;ae_m_p y_uw ey_n_t g_aa_n d_uw ah d_ae_m th_ih_ng k_aa_z y_uw ey_n_t g_aa_n sh_uw_t n_ow k_aa_p ih_n dh_ah
f;19;back;b_ae_k
t;20;are you;aa_r y_uw
c;21;jake;jh_ey_k
o;22;(*) CLICK (*) Don-t do it;ah_ae k_l_ih_k ah_ae d_ow_n_t d_uw ih_t
a;23;alonzo;ah_l_aa_n_z_ow
f;24;you know what they give you for that The gas chamber You know what the gas;y_uw n_ow w_ah_t dh_ey g_ih_v y_uw f_ao_r dh_ae_t dh_ah g_ae_s ch_ey_m_b_er y_uw n_ow hh_w_ah_t dh_iy g_ae_s
g;25;chamber smells like;ch_ey_m_b_er s_m_eh_l_z l_ay_k
h;27;im Xeezy please believe me I feel queasy towards the needy;ay_m  p_l_iy_z b_ah_l_iy_v m_iy ay f_iy_l k_w_iy_z_iy t_ah_w_ao_r_d_z dh_ah n_iy_d_iy
h;28;marry hoes I say No I like ma peace ah mind extra cheesy;m_eh_r_iy hh_ow_z ay s_ey n_ow ay l_ay_k m_aa p_iy_s aa m_ay_n_d eh_k_s_t_r_ah ch_iy_z_iy
u;29;lames begging they girl Don-t leave me but was she ever yours;l_ey_m_z b_eh_g_ih_ng dh_ey g_er_l d_ow_n_t l_iy_v m_iy b_ah_t w_ah_z sh_iy eh_v_er y_uh_r_z
c;30;you know that old saying What-s yours ain-t mind amp whats mind ain-t;y_uw n_ow dh_ae_t ow_l_d s_ey_ih_ng w_ah_t_s y_uh_r_z ey_n_t m_ay_n_d ae_m_p w_ah_t_s m_ay_n_d ey_n_t
i;31;whores;hh_ao_r_z
