Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;i guess there was a time;ay g_eh_s dh_eh_r w_ah_z ey t_ay_m
e;1;when I didn-t know you;hh_w_ih_n ay d_ih_d_ah_n n_ow y_uw
a;2;and I guess that time;ah_n_d ay g_eh_s dh_ah_t t_ay_m
a;3;was pretty much my whole life;w_ah_z p_r_ih_t_iy m_ah_ch m_ay hh_ow_l l_ay_f
a;4;even though I don-t like;iy_v_ah_n dh_ow ay d_ow_n_t l_ay_k
f;5;thinking about it;th_ih_ng_k_ah_ng ah_b_aw_t ih_t
g;6;because everything now;b_ih_k_ao_z eh_v_r_iy_th_ih_ng n_aw
a;7;feels totally right;f_iy_l_z t_ow_t_ah_l_iy r_ay_t
h;9;eighteen years;ey_t_iy_n y_ih_r_z
b;10;twenty miles apart;t_w_eh_n_t_iy m_ay_l_z ah_p_aa_r_t
i;11;river like an ocean;r_ih_v_er l_ay_k ae_n ow_sh_ah_n
c;12;that we couldn-t cross;dh_ae_t w_iy k_uh_d_n_t k_r_ao_s
l;13;but rivers can-t;b_ah_t r_ih_v_er_z k_ae_n_t
b;14;demagnetize hearts; hh_aa_r_t_s
m;15;yeah were making up;y_ae w_iy_r m_ey_k_ih_ng ah_p
c;16;for the time that we lost;f_ao_r dh_ah t_ay_m dh_ae_t w_iy l_ao_s_t
n;18;everything-s perfect;eh_v_r_iy_th_ih_ng_z p_er_f_ih_k_t
d;19;it all feels fateful;ih_t ao_l f_iy_l_z f_ey_t_f_ah_l
d;20;but I don-t believe in fate;b_ah_t ay d_ow_n_t b_ah_l_iy_v ih_n f_ey_t
o;21;i just believe in people;ay jh_ah_s_t b_ah_l_iy_v ih_n p_iy_p_ah_l
p;22;but even if theres no destiny;b_ah_t iy_v_ah_n ah_f dh_eh_r_s n_ow d_eh_s_t_ah_n_iy
p;23;im glad you ended up with me;ay_m g_l_ae_d y_uw eh_n_d_ah_d ah_p w_ih_dh m_iy
e;24;ended up with me;eh_n_d_ah_d ah_p w_ih_dh m_iy
