Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;oh girl I don-t know all the reasons why;ow g_er_l ay d_ow_n n_ow ao_l dh_iy r_iy_z_ah_n_z hh_w_ay
a;1;i found the answer lookin in your eye;ay f_aw_n_d dh_iy ae_n_s_er l_uh_k_iy_n ih_n_ch y_uh_r ay
b;2;i go out walking all day long;ay g_ow aw_t w_ao_k_ih_ng ao_l d_ey l_ao_ng
b;3;take away this lonely man soon he will be gone;t_ey_k ah_w_ey dh_ih_s l_ow_n_l_iy m_ae_n s_uw_n hh_iy w_ah_l b_iy g_ao_n
d;5;cause Ill tell you everything about living free;k_aa_z ay_l t_eh_l y_uw eh_v_r_iy_th_ih_ng ah_b_aw_t l_ih_v_ih_ng f_r_iy
d;6;yes I can see you girl can you see me;y_eh_s ay k_ah_n s_iy y_uw g_er_l k_ah_n y_uw s_iy m_iy
c;8;you don-t need to know what I do all day;y_uw d_ow_n_t n_iy_d t_uw n_ow w_ah_t ay d_uw ao_l d_ey
c;9;its (as) much (as) I know watch it waste away;ih_t_s ae_z m_ah_ch ae_z ay n_ow w_aa_ch ih_t w_ey_s_t ah_w_ey
b;11;go and see the sorcerer look into a ball;g_ow ah_n_d s_iy dh_ah s_ao_r_s_er_er l_uh_k ih_n_t_uw ah b_ao_l
b;12;you may find the answer written on the wall;y_uw m_ey f_ay_n_d dh_ah ae_n_s_er r_ih_t_ah_n aa_n dh_ah w_ao_l
e;13;the left one was a dancer can you see the answer;dh_ah l_eh_f_t w_ah_n w_ah_z ah d_ae_n_s_er k_ah_n y_uw s_iy dh_ah ae_n_s_er
f;14;put her in a mansion on top of the hill;p_uh_t hh_er ih_n ah m_ae_n_sh_ah_n aa_n t_aa_p ah_v dh_ah hh_ih_l
d;15;please don-t make her do things against her will;p_l_iy_z d_ow_n_t m_ey_k hh_er d_uw th_ih_ng_z ah_g_eh_n_s_t hh_er w_ah_l
a;16;i found something special I don-t know why;ay f_aw_n_d s_ah_m_th_ih_ng s_p_eh_sh_ah_l ay d_ow_n_t n_ow w_ay
a;17;looking into her pretty little eye;l_uh_k_ih_ng ih_n_t_uw hh_er p_r_ih_t_iy l_ih_t_ah_l ay
