Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;ve seen the passing of the present and the future and its alright;v_iy s_iy_n dh_iy p_ae_s_ih_ng ah_v dh_iy p_er_z_eh_n_t ah_n_d dh_iy f_y_uw_ch_er ah_n_d ih_t_s ao_l_r_ay_t
a;1;ive seen the past and the vanishing of time and its all fine;ay_v s_iy_n dh_ah p_ae_s_t ah_n_d dh_ah v_ae_n_ih_sh_ih_ng ah_v t_ay_m ah_n_d ih_t_s ao_l f_ay_n
a;2;ive seen the passing of the present and the future and its alright;ay_v s_iy_n dh_ah p_ae_s_ih_ng ah_v dh_ah p_r_ih_z_eh_n ah_n_d dh_ah f_y_uw_ch_er ah_n_d ih_t_s ao_l_r_ay_t
d;3;ive seen the past and the vanishing of time and;ay_v s_iy_n dh_ah p_ae_s_t ah_n_d dh_ah v_ae_n_ih_sh_ih_ng ah_v t_ay_m ah_n_d
b;5;its alright with me I can-t see the life I wrote;ih_t_s ao_l_r_ay_t w_ih_dh m_iy ay k_ae_n_t s_iy dh_ah l_ay_f ay r_ow_t
c;6;its all I need I can-t see the stars above;ih_t_s ao_l ay n_iy_d ay k_ae_n_t s_iy dh_ah s_t_aa_r_z ah_b_ah_v
e;7;ive gone out to sea its alright with me;ay_v g_ao_n aw_t t_uw s_iy ih_t_s ao_l_r_ay_t w_ih_dh m_iy
a;8;its alright with me its alright with me its alright;ih_t_s ao_l_r_ay_t w_ih_dh m_iy ih_t_s ao_l_r_ay_t w_ih_dh m_iy ih_t_s ao_l_r_ay_t
f;10;ive seen the passing of the present and the future and its all;ay_v s_iy_n dh_ah p_ae_s_ih_ng ah_v dh_ah p_r_ih_z_eh_n ah_n_d dh_ah f_y_uw_ch_er ah_n_d ih_t_s ao_l
b;12;its alright with me I can-t see the life I wrote;ih_t_s ao_l_r_ay_t w_ih_dh m_iy ay k_ae_n_t s_iy dh_ah l_ay_f ay r_ow_t
c;13;its all I need I can-t see the stars above;ih_t_s ao_l ay n_iy_d ay k_ae_n_t s_iy dh_ah s_t_aa_r_z ah_b_ah_v
e;14;ive gone out to sea its alright with me;ay_v g_ao_n aw_t t_uw s_iy ih_t_s ao_l_r_ay_t w_ih_dh m_iy
e;15;its alright with me its alright with me;ih_t_s ao_l_r_ay_t w_ih_dh m_iy ih_t_s ao_l_r_ay_t w_ih_dh m_iy
e;16;its alright with me its alright with me;ih_t_s ao_l_r_ay_t w_ih_dh m_iy ih_t_s ao_l_r_ay_t w_ih_dh m_iy
d;17;its alright with me its alright with me;ih_t_s ao_l_r_ay_t w_ih_dh m_iy ih_t_s ao_l_r_ay_t w_ih_dh m_iy
