Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;0;i don-t know what it (is) that youve done to me;ay d_ow_n n_ow hh_w_ah_t ah_t ah_z dh_ah_t y_uw_v d_ah_n t_uw m_iy
a;1;but its caused me to act in such a crazy way;b_ah_t ih_t_s k_aa_z_d m_iy t_uw ae_k_t ih_n s_ah_ch ah k_r_ey_z_iy w_ey
b;2;whatever it (is) that you do when you do what youre doing;w_ah_t_eh_v_er ih_t ih_z dh_ae_t y_uw d_uw w_eh_n y_uw d_uw w_ah_t y_uw_r d_uw_ih_ng
a;3;its a feeling that I want to stay;ih_t_s ah f_iy_l_ih_ng dh_ae_t ay w_aa_n_t t_uw s_t_ey
c;5;cause my heart starts beating triple time;k_aa_z m_ay hh_aa_r_t s_t_aa_r_t_s b_iy_t_ih_ng t_r_ih_p_ah_l t_ay_m
c;6;with thoughts of loving you on my mind;w_ih_dh th_ao_t_s ah_v l_ah_v_ih_ng y_uw aa_n m_ay m_ay_n_d
b;7;i can-t figure out just what to do;ay k_ae_n_t f_ih_g_y_er aw_t jh_ah_s_t w_ah_t t_uw d_uw
f;8;when the cause and cure (is) you;w_eh_n dh_ah k_aa_z ah_n_d k_y_uh_r ih_z y_uw
a;10;i get so weak in the knees I can hardly speak;ay g_eh_t s_ow w_iy_k ih_n dh_ah n_iy_z ay k_ah_n hh_aa_r_d_l_iy s_p_iy_k
e;11;i lose all control and something takes over me;ay l_uw_z ao_l k_ah_n_t_r_ow_l ah_n_d s_ah_m_th_ih_ng t_ey_k_s ow_v_er m_iy
a;12;in a daze and its so amazing;ih_n ah d_ey_z ah_n_d ih_t_s s_ow ah_m_ey_z_ih_ng
e;13;its not a phase I want you to stay with me;ih_t_s n_ax_t ah f_ey_z ay w_aa_n_t y_uw t_uw s_t_ey w_ih_dh m_iy
c;14;by my side I swallow my pride;b_ay m_ay s_ay_d ay s_w_aa_l_ow m_ay p_r_ay_d
d;15;your love (is) so sweet;y_ao_r l_ah_v ih_z s_ow s_w_iy_t
d;16;it knocks me right off of my feet;ih_t n_aa_k_s m_iy r_ay_t ao_f ah_v m_ay f_iy_t
d;17;can-t explain why your loving makes me weak;k_ae_n_t ih_k_s_p_l_ey_n w_ay y_ao_r l_ah_v_ih_ng m_ey_k_s m_iy w_iy_k
g;19;time after time after time I try to fight it;t_ay_m ae_f_t_er t_ay_m ae_f_t_er t_ay_m ay t_r_ay t_uw f_ay_t ih_t
h;20;but your love (is) strong it keeps on holding on;b_ah_t y_ao_r l_ah_v ih_z s_t_r_ao_ng ah_t k_iy_p_s aa_n hh_ow_l_d_ih_ng aa_n
h;21;resistance (is) down;r_ih_z_ih_s_t_ax_n_s ih_z d_aw_n
a;22;when youre around cries fading;w_eh_n y_uw_r er_aw_n_d k_r_ay_z f_ey_d_ih_ng
i;23;in my condition I don-t want to be alone;ih_n m_ay k_ah_n_d_ih_sh_ah_n ay d_ow_n_t w_aa_n_t t_uw b_iy ah_l_ow_n
g;25;i try hard to fight it;ay t_r_ay hh_aa_r_d t_uw f_ay_t ih_t
g;26;no way can I deny it;n_ow w_ey k_ah_n ay d_ah_n_ay ih_t
d;27;youre love-s so sweet;y_uw_r l_ah_v_z s_ow s_w_iy_t
d;28;knocks me off my feet;n_aa_k_s m_iy ao_f m_ay f_iy_t
a;30;blood starts racing through my veins;b_l_ah_d s_t_aa_r_t_s r_ey_s_ih_ng th_r_uw m_ay v_ey_n_z
a;32;boy its something I can-t explain;b_oy ih_t_s s_ah_m_th_ih_ng ay k_ae_n_t ih_k_s_p_l_ey_n
b;34;something bout the way you do;s_ah_m_th_ih_ng b_aw_t dh_ah w_ey y_uw d_uw
e;35;the things you do-ooo ooo it;dh_ah th_ih_ng_z y_uw d_ax_oh uw_ae ih_t
d;37;ohh off my feet;ow_ae ao_f m_ay f_iy_t
d;38;can-t explain why your lovin makes me weak;k_ae_n_t ih_k_s_p_l_ey_n w_ay y_ao_r l_ow_v_ih_n m_ey_k_s m_iy w_iy_k
