Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;welcome to the bright lights;w_eh_l_k_ah_m t_ah dh_iy b_r_ay_t l_ay_t_s
a;1;sunglasses and Champagne Fights;s_ah_n_g_l_ae_s_ah_z ah_n_d sh_ae_m_p_ey_n f_ay_t_s
a;2;fantastic asses make it rain all night;f_ae_n_t_ae_s_t_ih_k ae_s_ah_z m_ey_k ah_t r_ey_n ao_l n_ay_t
a;3;vegas rolling dice;v_ey_g_ah_s r_ow_l_ih_ng d_ay_s
b;4;boss calls the shots;b_ao_s k_ao_l_z dh_iy sh_aa_t_s
b;5;7 on the slots;ah_ae aa_n dh_iy s_l_aa_t_s
c;6;money talks;m_ah_n_iy t_ao_k_s
c;7;you know what walks;y_uw n_ow hh_w_ah_t w_ao_k_s
b;8;waitresses with no tops;w_ey_t_r_ah_s_ah_z w_ah_dh n_ow t_aa_p_s
b;9;serving me whiskey on the rocks;s_er_v_ih_ng m_iy w_ih_s_k_iy aa_n dh_ah r_aa_k_s
b;10;lmfao she-s a tipsy fox;l_m_f_ae_ax s_hh_iy_z ah t_ih_p_s_iy f_aa_k_s
b;11;flirting with every guy that buys her a shot;f_l_er_t_ih_ng w_ih_dh eh_v_er_iy g_ay dh_ae_t b_ay_z hh_er ah sh_aa_t
b;12;i can tell she past cocked glass just dropped;ay k_ah_n t_eh_l sh_iy p_ae_s_t k_aa_k_t g_l_ae_s jh_ah_s_t d_r_aa_p_t
c;13;she getting yelled at by her boss;sh_iy g_eh_t_ih_ng y_eh_l_d ae_t b_ay hh_er b_ao_s
b;14;i tell him to stop;ay t_eh_l hh_ih_m t_uw s_t_aa_p
b;15;hes a flat blob;hh_iy_s ey f_l_ae_t b_l_aa_b
b;16;she-s a heart throb;s_hh_iy_z ah hh_aa_r_t th_r_aa_b
d;17;so I approach this mistress and whisper in her ear;s_ow ay ah_p_r_ow_ch dh_ih_s m_ih_s_t_r_ah_s ah_n_d w_ih_s_p_er ih_n hh_er ih_r
d;18;excuse me miss ya too fine to be working here;ih_k_s_k_y_uw_s m_iy m_ih_s y_aa t_uw f_ay_n t_uw b_iy w_er_k_ih_ng hh_ih_r
d;19;let me take you outta here;l_eh_t m_iy t_ey_k y_uw uw_t_ah hh_ih_r
d;21;she just wanna kick it ride along be my side kick;sh_iy jh_ah_s_t w_aa_n_ah k_ih_k ih_t r_ay_d ah_l_ao_ng b_iy m_ay s_ay_d k_ih_k
b;22;maybe get on the red carpet;m_ey_b_iy g_eh_t aa_n dh_ah r_eh_d k_aa_r_p_ah_t
d;23;rock some fly kicks;r_aa_k s_ah_m f_l_ay k_ih_k_s
a;24;she says needs a diamond roc to shine;sh_iy s_eh_z n_iy_d_z ah d_ay_m_ah_n_d r_aa_k t_uw sh_ay_n
a;25;paper to spend that ain-t mine;p_ey_p_er t_uw s_p_eh_n_d dh_ae_t ey_n_t m_ay_n
a;26;and liquor to shoot straight No chaser just limes;ah_n_d l_ih_k_er t_uw sh_uw_t s_t_r_ey_t n_ow ch_ey_s_er jh_ah_s_t l_ay_m_z
d;27;Salt Lips Salt Kiss;s_ao_l_t l_ih_p_s s_ao_l_t k_ih_s
d;28;angelina bad bitch Mrs Smith;ae_n_jh_eh_l_iy_n_ah b_ae_d b_ih_ch m_ih_s_ah_z s_m_ih_th
d;29;movie Flicks;m_uw_v_iy f_l_ih_k_s
b;30;i beat the Odds;ay b_iy_t dh_ah aa_d_z
d;31;now I money ball Brad Pit;n_aw ay m_ah_n_iy b_ao_l b_r_ae_d p_ih_t
d;33;paper chasing 7 plus figures;p_ey_p_er ch_ey_s_ih_ng ah_ae p_l_ah_s f_ih_g_y_er_z
d;34;cut the deal no scissors;k_ah_t dh_ah d_iy_l n_ow s_ih_z_er_z
d;35;shooting shots to my liver;sh_uw_t_ih_ng sh_aa_t_s t_uw m_ay l_ih_v_er
d;36;then we celebrate with some champagne thats chiller;dh_eh_n w_iy s_eh_l_ah_b_r_ey_t w_ih_dh s_ah_m sh_ae_m_p_ey_n dh_ae_t_s ch_ih_l_er
d;37;welcome to the high life but no millers;w_eh_l_k_ah_m t_uw dh_ah hh_ay l_ay_f b_ah_t n_ow m_ih_l_er_z
d;38;just Reservations for 40 40 dinners;jh_ah_s_t r_eh_z_er_v_ey_sh_ah_n_z f_ao_r   d_ih_n_er_z
d;39;and If I were to Step on stage Id have no jitters;ah_n_d ah_f ay w_er t_uw s_t_eh_p aa_n s_t_ey_jh ay_d hh_ae_v n_ow jh_ih_t_er_z
d;40;i deliver in the clutch homerun hitter;ay d_ah_l_ih_v_er ih_n dh_ah k_l_ah_ch hh_ow_m_r_ah_n hh_ih_t_er
d;41;i love the pressure the bigger;ay l_ah_v dh_ah p_r_eh_sh_er dh_ah b_ih_g_er
e;42;the better thats what she said;dh_ah b_eh_t_er dh_ae_t_s w_ah_t sh_iy s_eh_d
f;43;show I show the Bejamermaines;sh_ow ay sh_ow dh_ah 
d;44;make it rain and sprinkler;m_ey_k ih_t r_ey_n ah_n_d s_p_r_ih_ng_k_l_er
g;45;on a stripper So she coming swimming Im too official;aa_n ah s_t_r_ih_p_er s_ow sh_iy k_ah_m_ih_ng s_w_ih_m_ih_ng ay_m t_uw ah_f_ih_sh_ah_l
e;46;t make it drizzle so she just make that;t_iy m_ey_k ih_t d_r_ih_z_ah_l s_ow sh_iy jh_ah_s_t m_ey_k dh_ae_t
d;47;jiggle jiggle jiggle;jh_ih_g_ah_l jh_ih_g_ah_l jh_ih_g_ah_l
