Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
l;0;shake it pop it bounce it twist it;sh_ey_k ih_t p_aa_p ih_t b_aw_n_s ih_t t_w_ih_s_t ih_t
a;2;whoa lil mama;w_ow l_ih_l m_aa_m_ah
b;3;i can-t believe this;ay k_ae_n_t b_ah_l_iy_v dh_ih_s
a;4;whoa lil mama;w_ow l_ih_l m_aa_m_ah
b;5;my bank you tryna receive this;m_ay b_ae_ng_k y_uw t_r_ih_n_ah r_ih_s_iy_v dh_ih_s
a;6;whoa lil mama;w_ow l_ih_l m_aa_m_ah
m;7;you gotta twerk;y_uw g_aa_t_ah t_w_er_r_k
a;8;whoa lil mama;w_ow l_ih_l m_aa_m_ah
l;9;i mean work it;ay m_iy_n w_er_k ih_t
c;11;look la-la look Im in the club;l_uh_k l_ax_ae l_uh_k ay_m ih_n dh_ah k_l_ah_b
c;12;but before I spend a dub;b_ah_t b_ah_f_ao_r ay s_p_eh_n_d ah d_ah_b
c;13;you gotta bring it here drop it down and pop it up;y_uw g_aa_t_ah b_r_ih_ng ih_t hh_ih_r d_r_aa_p ih_t d_aw_n ah_n_d p_aa_p ih_t ah_p
d;14;open it hold it there let see that there;ow_p_ah_n ih_t hh_ow_l_d ih_t dh_eh_r l_eh_t s_iy dh_ae_t dh_eh_r
c;15;i don-t care where you shake it just don-t drip it in my cup;ay d_ow_n_t k_eh_r w_eh_r y_uw sh_ey_k ih_t jh_ah_s_t d_ow_n_t d_r_ih_p ih_t ih_n m_ay k_ah_p
e;16;now hold up you too fast;n_aw hh_ow_l_d ah_p y_uw t_uw f_ae_s_t
e;17;you gotta touch your toes lil mama shake that ass;y_uw g_aa_t_ah t_ah_ch y_uh_r t_ow_z l_ih_l m_aa_m_ah sh_ey_k dh_ah_t ae_s
a;18;wanna back up view a close up for that shot;w_aa_n_ah b_ae_k ah_p v_y_uw ah k_l_ow_s ah_p f_ao_r dh_ae_t sh_aa_t
f;19;five dollars will get you a tabletop;f_ay_v d_aa_l_er_z w_ah_l g_eh_t y_uw ah t_ey_b_ah_l_t_aa_p
e;20;but it won-t stop drop to your ankles;b_ah_t ih_t w_ow_n_t s_t_aa_p d_r_aa_p t_ah y_uh_r ae_ng_k_ah_l_z
g;21;and do some tricks to make a nigga wanna spend this bank roll;ah_n_d d_uw s_ah_m t_r_ih_k_s t_ah m_ey_k ey n_ih_g_ae w_aa_n_ah s_p_eh_n_d dh_ah_s b_ae_ng_k r_ow_l
f;22;head to the bar to cop a bottle now Im faded;hh_eh_d t_ah dh_iy b_aa_r t_ah k_aa_p ey b_aa_t_ah_l n_aw ay_m f_ey_d_ah_d
l;23;im a big balla now I know yall niggas sho hate it;ay_m ah b_ih_g b_ae_l_ah n_aw ay n_ow y_ey_l_l n_ih_g_ae_s sh_aa hh_ey_t ih_t
c;25;na-na (na-now) daddy like the way that you be shaking your butt;n_ax_ae n_ae_n_aw d_ae_d_iy l_ay_k dh_ah w_ey dh_ae_t y_uw b_iy sh_ey_k_ih_ng y_ao_r b_ah_t
c;26;opening up I guess its time to get in the gut;ow_p_ah_n_ih_ng ah_p ay g_eh_s ih_t_s t_ay_m t_uw g_eh_t ih_n dh_ah g_ah_t
f;27;keep talking it girl but money ain-t thang like your main;k_iy_p t_ao_k_ih_ng ih_t g_er_l b_ah_t m_ah_n_iy ey_n_t dh_ae_n_b l_ay_k y_ao_r m_ey_n
