Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;yea its the old saying don-t mistake kindness for weakness;y_ey ih_t_s dh_ah ow_l_d s_ey_ih_ng d_ow_n_t m_ih_s_t_ey_k k_ay_n_d_n_ah_s f_ao_r w_iy_k_n_ah_s
f;1;ill punch your mother-s stomach through her throat and then eat it;ay_l p_ah_n_ch y_ao_r m_ah_dh_er_z s_t_ah_m_ah_k th_r_uw hh_er th_r_ow_t ah_n_d dh_eh_n iy_t ih_t
b;2;im the guru of merking;ay_m dh_ah g_uw_r_uw ah_v m_er_k_ih_ng
b;3;working like a premier plastic surgeon;w_er_k_ih_ng l_ay_k ah p_r_eh_m_ia_r p_l_ae_s_t_ih_k s_er_jh_ah_n
c;4;wait;w_ey_t
a;5;cause I still stay on the tit-op;k_aa_z ay s_t_ih_l s_t_ey aa_n dh_ah t_p_iy
d;6;go to Venice wearing flip flops over tube socks;g_ow t_ah v_eh_n_ih_s w_eh_r_ih_ng f_l_ih_p f_l_aa_p_s ow_v_er t_uw_b s_aa_k_s
d;7;go to bars with a tec and ask a girl to do shots;g_ow t_ah b_aa_r_z w_ah_dh ey t_eh_k ah_n_d ae_s_k ey g_er_l t_ah d_uw sh_aa_t_s
a;8;jump in swimming pools ask to join the dive team;jh_ah_m_p ih_n_ch s_w_ih_m_ih_ng p_uw_l_z ae_s_k t_ah jh_oy_n dh_iy d_ay_v t_iy_m
g;9;and grease up the footholds so the swimmers end up dieeeeeving;ah_n_d g_r_iy_s ah_p dh_iy f_uh_t_hh_ow_l_d_z s_ow dh_iy s_w_ih_m_er_z eh_n_d ah_p d_ih_e_e_er_v_ax_ng
h;10;see Im the wrong one to be stepping to;s_iy ay_m dh_ah r_ao_ng w_ah_n t_uw b_iy s_t_eh_p_ih_ng t_uw
h;11;my word (is) bond so just try to try see whats left of you;m_ay w_er_d ih_z b_aa_n_d s_ow jh_ah_s_t t_r_ay t_uw t_r_ay s_iy w_ah_t_s l_eh_f_t ah_v y_uw
e;12;im always right I don-t think Ive ever been wrong;ay_m ao_l_w_ey_z r_ay_t ay d_ow_n_t th_ih_ng_k ay_v eh_v_er b_ih_n r_ao_ng
e;13;left for dead four times survival (is) my theme song;l_eh_f_t f_ao_r d_eh_d f_ao_r t_ay_m_z s_er_v_ay_v_ah_l ih_z m_ay th_iy_m s_ao_ng
e;14;wicked wordply and feisty foreplay;w_ih_k_ah_d w_er_d_b_l_ae ah_n_d f_ay_s_t_iy f_ao_r_p_l_ey
e;15;ill claw you on the mat bitch cause rhyming (is) my forte;ay_l k_l_ao y_uw aa_n dh_ah m_ae_t b_ih_ch k_aa_z r_ay_m_ih_ng ih_z m_ay f_ao_r_t_ey
c;16;and this (is) written and recorded all in one day;ah_n_d dh_ih_s ih_z r_ih_t_ah_n ah_n_d r_ah_k_ao_r_d_ah_d ao_l ih_n w_ah_n d_ey
c;17;so in my mind that sums it up theres really nothing more to say;s_ow ih_n m_ay m_ay_n_d dh_ae_t s_ah_m_z ih_t ah_p dh_eh_r_s r_ih_l_iy n_ah_th_ih_ng m_ao_r t_uw s_ey
