Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;where to BEGIN;hh_w_eh_r t_ah b_ih_g_ih_n
b;1;uhh;ah
a;2;where to BEGIN;hh_w_eh_r t_ah b_ih_g_ih_n
b;3;uhh;ah
a;4;this off the top nigga;dh_ah_s ao_f dh_iy t_aa_p n_ih_g_ae
a;5;fuck a PIN;f_ah_k ey p_ih_n
b;6;uhh;ah
a;7;you need a PIN;y_uw n_iy_d ey p_ih_n
b;8;uhh;ah
a;9;you need a PIN;y_uw n_iy_d ey p_ih_n
c;10;you always right;y_uw ao_l_w_iy_z r_ay_t
a;11;but who you PIN to WIN;b_ah_t hh_uw y_uw p_ih_n t_uw w_ih_n
d;12;i don-t WRESTLE;ay d_ow_n r_eh_s_ah_l
i;13;nigga I play RUZZLE;n_ih_g_ae ay p_l_ey 
b;14;spelling out words you can-t piece together like a PUZZLE;s_p_eh_l_ih_ng aw_t w_er_d_z y_uw k_ae_n_t p_iy_s t_ah_g_eh_dh_er l_ay_k ah p_ah_z_ah_l
b;15;hold up did I PUZZLE;hh_ow_l_d ah_p d_ih_d ay p_ah_z_ah_l
l;16;you;y_uw
l;17;if So thats what I DO;ah_f s_ow dh_ae_t_s w_ah_t ay d_uw
l;18;if ya body ripped I will sew YOU;ah_f y_aa b_aa_d_iy r_ih_p_t ay w_ah_l s_ow y_uw
d;19;together;t_ah_g_eh_dh_er
d;20;it my time meaning its now or NEVER;ih_t m_ay t_ay_m m_iy_n_ih_ng ih_t_s n_aw ao_r n_eh_v_er
e;21;i don-t give a damn about BEAVERS;ay d_ow_n_t g_ih_v ah d_ae_m ah_b_aw_t b_iy_v_er_z
d;22;nigga that was CLEVER;n_ih_g_ae dh_ae_t w_ah_z k_l_eh_v_er
d;23;tell me who BETTER;t_eh_l m_iy hh_uw b_eh_t_er
d;24;im the young best lyricist in Baltimore n-gga Tell me who BETTER;ay_m dh_ah y_ah_ng b_eh_s_t l_ih_r_ah_s_ah_s_t ih_n b_ao_l_t_ah_m_ao_r n_ae_ t_eh_l m_iy hh_uw b_eh_t_er
m;25;than ME;dh_ae_n m_iy
m;26;when MAMI ride ME;w_eh_n  r_ay_d m_iy
n;27;she she say PAPI;sh_iy sh_iy s_ey 
m;28;you got the box wet but Im not ROCKY;y_uw g_aa_t dh_ah b_aa_k_s w_eh_t b_ah_t ay_m n_ax_t r_aa_k_iy
o;29;i need this money ASAP;ay n_iy_d dh_ih_s m_ah_n_iy 
b;30;i like chicks with a lil junk in the trunk;ay l_ay_k ch_ih_k_s w_ih_dh ah l_ih_l jh_ah_ng_k ih_n dh_ah t_r_ah_ng_k
f;31;fuck a flat JACK;f_ah_k ah f_l_ae_t jh_ae_k
f;32;pancakes;p_ae_n_k_ey_k_s
c;33;moving left and right;m_uw_v_ih_ng l_eh_f_t ah_n_d r_ay_t
g;34;to pan CAKE;t_uw p_ae_n k_ey_k
f;35;n-ggas start Lincoln up when I EMANCIPATE;s_n s_t_aa_r_t l_ih_ng_k_ah_n ah_p w_eh_n ay ah_m_ae_n_s_ah_p_ey_t
p;36;or PROCLAMate;ao_r 
h;37;if it was a WORD;ah_f ih_t w_ah_z ah w_er_d
d;38;im the best;ay_m dh_ah b_eh_s_t
f;39;word from wild animals;w_er_d f_r_ah_m w_ay_l_d ae_n_ah_m_ah_l_z
h;40;so fuck what you HERD;s_ow f_ah_k w_ah_t y_uw hh_er_d
b;41;im running;ay_m r_ah_n_ih_ng
g;42;on the run way;aa_n dh_ah r_ah_n w_ey
b;43;tyra said Im STUNNING;t_ay_r_ah s_eh_d ay_m s_t_ah_n_ih_ng
a;44;banking with HILLARY;b_ae_ng_k_ih_ng w_ih_dh hh_ih_l_er_iy
i;45;im the fresh prince but my Uncle ain-t PHILIN me;ay_m dh_ah f_r_eh_sh p_r_ih_n_s b_ah_t m_ay ah_ng_k_ah_l ey_n_t  m_iy
e;46;3 parties with ya girl on the Weekend;ah_ae p_aa_r_t_iy_z w_ih_dh y_aa g_er_l aa_n dh_ah w_iy_k_eh_n_d
a;47;call it a trilogy;k_ao_l ih_t ah t_r_ih_l_ah_jh_iy
d;48;if you looking for the treasure;ah_f y_uw l_uh_k_ih_ng f_ao_r dh_ah t_r_eh_zh_er
e;49;x Marks the spot G;eh_k_s m_aa_r_k_s dh_ah s_p_aa_t jh_iy
