Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;treat it like its nothin;t_r_iy_t ah_t l_ay_k ah_t_s n_ah_th_ah_n
a;1;now put ya bottles in the air if you a real one;n_aw p_uh_t y_aa b_aa_t_ah_l_z ih_n_ch dh_iy eh_r ih_f y_uw ey r_iy_l hh_w_ah_n
a;2;i knew I was a real one since a youngin;ay n_y_uw ay w_ah_z ey r_iy_l hh_w_ah_n s_ih_n_s ey y_ah_n_jh_ih_n
a;3;she said she met a hitta and never met the real one;sh_iy s_eh_d sh_iy m_eh_t ey hh_ih_t_ae ah_n_d n_eh_v_er m_eh_t dh_iy r_iy_l hh_w_ah_n
a;4;she gon buss it for a real one;sh_iy g_aa_n b_ah_s ah_t f_r_er ey r_iy_l hh_w_ah_n
a;5;and I ain-t leaving out the county till the bills done;ah_n_d ay ey_n_t l_iy_v_ih_ng aw_t dh_ah k_aw_n_t_ih t_ih_l dh_ah b_ih_l_z d_ah_n
e;6;now who the hottest in the city Im the real one;n_aw hh_uw dh_ah hh_aa_t_ah_s_t ih_n dh_ah s_ih_t_iy ih_m dh_ah r_iy_l w_ah_n
e;7;got everybody fuckin with me im a real one;g_aa_t eh_v_r_iy_b_aa_d_iy f_ah_k_iy_n w_ih_dh m_iy ih_m ah r_iy_l w_ah_n
e;8;now put ya bottles in the air if you a real one;n_aw p_uh_t y_aa b_aa_t_ah_l_z ih_n dh_ah eh_r ah_f y_uw ah r_iy_l w_ah_n
e;10;she gonn pop it she gon drop it for a real one;sh_iy g_aa_n_d_n p_aa_p ih_t sh_iy g_aa_n d_r_aa_p ih_t f_ao_r ah r_iy_l w_ah_n
e;12;streets love me im a real one;s_t_r_iy_t_s l_ah_v m_iy ih_m ah r_iy_l w_ah_n
a;13;and if she buss it open throw some real ones;ah_n_d ah_f sh_iy b_ah_s ih_t ow_p_ah_n th_r_ow s_ah_m r_iy_l w_ah_n_z
e;14;i got a presidential Rollie its a real one;ay g_aa_t ah p_r_eh_z_ih_d_eh_n_sh_l r_ow_l_iy ih_t_s ah r_iy_l w_ah_n
e;16;prolly cuz im a real one;p_r_ow_l_y k_ah_z ih_m ah r_iy_l w_ah_n
e;17;she gon buss it for a real one;sh_iy g_aa_n b_ah_s ih_t f_ao_r ah r_iy_l w_ah_n
e;18;now put ya bottles in the air if you a real one;n_aw p_uh_t y_aa b_aa_t_ah_l_z ih_n dh_ah eh_r ah_f y_uw ah r_iy_l w_ah_n
f;19;im a take her to out while she tired of McDonalds;ih_m ah t_ey_k hh_er t_uw aw_t w_ay_l sh_iy t_ay_r_d ah_v m_ah_k_d_aa_n_ah_l_d_z
g;20;i grew up in the projects now look at how im (stuntin-);ay g_r_uw ah_p ih_n dh_ah p_r_oh_jh_eh_k_t_s n_aw l_uh_k ae_t hh_aw ih_m s_t_ah_n_t_iy_n_eh
b;21;real Im a real one REAL;r_iy_l ih_m ah r_iy_l w_ah_n r_iy_l
e;22;she said she met a hitta and never met the real one;sh_iy s_eh_d sh_iy m_eh_t ah hh_ih_t_ae ah_n_d n_eh_v_er m_eh_t dh_ah r_iy_l w_ah_n
e;23;she been with a lot of hittas but never the real one;sh_iy b_ih_n w_ih_dh ah l_aa_t ah_v hh_ih_t_ae_s b_ah_t n_eh_v_er dh_ah r_iy_l w_ah_n
e;24;now who the hottest in the city Im the real one;n_aw hh_uw dh_ah hh_aa_t_ah_s_t ih_n dh_ah s_ih_t_iy ih_m dh_ah r_iy_l w_ah_n
e;25;now put ya bottles in the air if you a real one;n_aw p_uh_t y_aa b_aa_t_ah_l_z ih_n dh_ah eh_r ah_f y_uw ah r_iy_l w_ah_n
e;26;streets love me im a real one;s_t_r_iy_t_s l_ah_v m_iy ih_m ah r_iy_l w_ah_n
