Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
i;39;more human than human so you can feel better now;m_ao_r hh_y_uw_m_ax_n dh_ae_n hh_y_uw_m_ax_n s_ow y_uw k_ah_n f_iy_l b_eh_t_er n_aw
i;36;when it breaks itll all come together now;w_eh_n ah_t b_r_ey_k_s ih_t_l ao_l k_ah_m t_ah_g_eh_dh_er n_aw
c;31;escaped the cell let hell out of the capsule;ah_s_k_ey_p_t dh_ah s_eh_l l_eh_t hh_eh_l aw_t ah_v dh_ah k_ae_p_s_ah_l
f;27;than whats noticed by the starving locusts;dh_ae_n w_ah_t_s n_ow_t_ah_s_t b_ay dh_ah s_t_aa_r_v_ih_ng l_ow_k_ah_s_t_s
e;22;more human than human more sicker than sick;m_ao_r hh_y_uw_m_ax_n dh_ae_n hh_y_uw_m_ax_n m_ao_r s_ih_k_er dh_ae_n s_ih_k
g;28;the burning of the pride turning of the tide;dh_iy b_er_n_ih_ng ah_v dh_ah p_r_ay_d t_er_n_ih_ng ah_v dh_ah t_ay_d
i;37;armageddon just a change in the weather now;aa_r_m_ah_g_eh_d_ah_n jh_ah_s_t ah ch_ey_n_jh ih_n dh_ah w_eh_dh_er n_aw
b;3;all of a sudden touch the button;ao_l ah_v ah s_ah_d_ah_n t_ah_ch dh_ah b_ah_t_ah_n
h;35;for the opportunity to break it loose;f_ao_r dh_ah aa_p_er_t_uw_n_ah_t_iy t_uw b_r_ey_k ih_t l_uw_s
n;17;yeah more human than human;y_ae m_ao_r hh_y_uw_m_ax_n dh_ae_n hh_y_uw_m_ax_n
f;24;i am the nightmare right where the soldier;ay ae_m dh_ah n_ay_t_m_eh_r r_ay_t w_eh_r dh_ah s_ow_l_jh_er
d;9;the proof you pretended to carry to the end;dh_ah p_r_uw_f y_uw p_r_iy_t_eh_n_d_ah_d t_uw k_ae_r_iy t_uw dh_ah eh_n_d
n;18;more human than human more human than human;m_ao_r hh_y_uw_m_ax_n dh_ae_n hh_y_uw_m_ax_n m_ao_r hh_y_uw_m_ax_n dh_ae_n hh_y_uw_m_ax_n
l;0;i am the planet the monster (anti-martyr);ay ae_m dh_iy p_l_ae_n_ah_t dh_iy m_aa_n_s_t_er ae_n_t_ih_m_aa_r_t_er
