Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
q;42;checked my bank account didn-t even see three 0s;ch_eh_k_t m_ay b_ae_ng_k ah_k_aw_n_t d_ih_d_n_t iy_v_ah_n s_iy th_r_iy 
b;59;girl throw my sash belt;g_er_l th_r_ow m_ay s_ae_sh b_eh_l_t
c;44;now its just me myself and I more zeros;n_aw ih_t_s jh_ah_s_t m_iy m_ay_s_eh_l_f ah_n_d ay m_ao_r z_ih_r_ow_z
u;51;my cousin got life he coming home at 2 30;m_ay k_ah_z_ah_n g_aa_t l_ay_f hh_iy k_ah_m_ih_ng hh_ow_m ae_t ah_ae 
h;56;i don-t have to throw an overarm to get the upper hand nah;ay d_ow_n_t hh_ae_v t_uw th_r_ow ae_n ow_v_er_ae_r_m t_uw g_eh_t dh_ah ah_p_er hh_ae_n_d n_aa
i;52;when he back man the building I build him (is) two storeys true stories;w_eh_n hh_iy b_ae_k m_ae_n dh_ah b_ih_l_d_ih_ng ay b_ih_l_d hh_ih_m ih_z t_uw s_t_ao_r_iy_z t_r_uw s_t_ao_r_iy_z
l;73;happy birthday to you;hh_ae_p_iy b_er_th_d_ey t_uw y_uw
t;50;man Ive seen death can-t believe Ive seen 30;m_ae_n ay_v s_iy_n d_eh_th k_ae_n_t b_ah_l_iy_v ay_v s_iy_n 
g;39;now its sea bass sea brine seashells and sand;n_aw ih_t_s s_iy b_ae_s s_iy b_r_ay_n s_iy_sh_eh_l_z ah_n_d s_ae_n_d
w;63;well were not gonna make the life grow over us;w_eh_l w_iy_r n_ax_t g_aa_n_ah m_ey_k dh_ah l_ay_f g_r_ow ow_v_er ah_s
f;24;i swear gravitys my parachute my reality ain-t got a camera crew;ay s_w_eh_r g_r_ae_v_ah_t_iy_z m_ay p_eh_r_ih_sh_uw_t m_ay r_iy_ae_l_ah_t_iy ey_n_t g_aa_t ah k_ae_m_ax_r_ax k_r_uw
l;5;im so happy with my gift for my (B-day) youll get a present;ay_m s_ow hh_ae_p_iy w_ih_dh m_ay g_ih_f_t f_ao_r m_ay d_ey y_uw_l g_eh_t ah p_r_ih_z_eh_n
e;22;they won-t wake you at your wake when your dream gets taken;dh_ey w_ow_n_t w_ey_k y_uw ae_t y_ao_r w_ey_k w_eh_n y_ao_r d_r_iy_m g_eh_t_s t_ey_k_ah_n
c;29;i really had a car when you was peddling through the gears;ay r_ih_l_iy hh_ae_d ah k_aa_r w_eh_n y_uw w_ah_z p_eh_d_ah_l_ih_ng th_r_uw dh_ah g_ih_r_z
b;6;blew the candles now Im cutting the cake cause of my sentence;b_l_uw dh_ah k_ae_n_d_ah_l_z n_aw ay_m k_ah_t_ih_ng dh_ah k_ey_k k_aa_z ah_v m_ay s_eh_n_t_ah_n_s
a;68;styling styling 30 years styling;s_t_ay_l_ih_ng s_t_ay_l_ih_ng  y_ih_r_z s_t_ay_l_ih_ng
m;7;so advanced when I see Apple I see Tetris;s_ow ah_d_v_ae_n_s_t w_eh_n ay s_iy ae_p_ah_l ay s_iy T_er_t_r_ax_s
a;3;styling styling 30 years styling;s_t_ay_l_ih_ng s_t_ay_l_ih_ng  y_er_z s_t_ay_l_ih_ng
b;28;i really had a yard when you was trapping on the stairs;ay r_iy_l_iy hh_ae_d ah y_aa_r_d w_eh_n y_uw w_ah_z t_r_ae_p_ih_ng aa_n dh_ah s_t_eh_r_z
a;1;styling styling 30 years styling;s_t_ay_l_ih_ng s_t_ay_l_ih_ng  y_er_z s_t_ay_l_ih_ng
x;65;dun know;d_ah_n n_ow
a;70;styling styling 30 years styling;s_t_ay_l_ih_ng s_t_ay_l_ih_ng  y_ih_r_z s_t_ay_l_ih_ng
g;55;when I wretchercise I tread on mills and do the running man;w_eh_n ay  ay t_r_eh_d aa_n m_ih_l_z ah_n_d d_uw dh_ah r_ah_n_ih_ng m_ae_n
a;14;bro Im a fine china;b_r_ow ay_m ah f_ay_n ch_ay_n_ah
s;49;wipe the slate clean I don-t never leave it dirty;w_ay_p dh_ah s_l_ey_t k_l_iy_n ay d_ow_n_t n_eh_v_er l_iy_v ih_t d_er_t_iy
a;15;i mature with wine I get wiser;ay m_ax_t_y_ua_r w_ih_dh w_ay_n ay g_eh_t w_ay_z_er
e;19;when I was flying to the heavens they thought it was all Satan;w_eh_n ay w_ah_z f_l_ay_ih_ng t_uw dh_ah hh_eh_v_ah_n_z dh_ey th_ao_t ih_t w_ah_z ao_l s_ey_t_ah_n
a;10;every time Im on the mic (is) a reminder for why Im signed;eh_v_er_iy t_ay_m ay_m aa_n dh_ah m_ih_k ih_z ah r_iy_m_ay_n_d_er f_ao_r w_ay ay_m s_ay_n_d
b;20;they called me freemason but I still forgave em;dh_ey k_ao_l_d m_iy f_r_iy_m_ey_s_ah_n b_ah_t ay s_t_ih_l f_er_g_ey_v eh_m
i;43;i was there selling dark and light Oreo;ay w_ah_z dh_eh_r s_eh_l_ih_ng d_aa_r_k ah_n_d l_ay_t ao_r_iy_ow
b;27;we really had cards when you was playing solitaire;w_iy r_ih_l_iy hh_ae_d k_aa_r_d_z w_eh_n y_uw w_ah_z p_l_ey_ih_ng s_aa_l_ah_t_eh_r
g;38;just for me to get out the barrel I killed hella crabs;jh_ah_s_t f_ao_r m_iy t_uw g_eh_t aw_t dh_ah b_ae_r_ah_l ay k_ih_l_d hh_eh_l_ae k_r_ae_b_z
g;37;none of us had headstarts so we ain-t heading back;n_ah_n ah_v ah_s hh_ae_d hh_eh_d_s_t_aa_r_t_s s_ow w_iy ey_n_t hh_eh_d_ih_ng b_ae_k
a;0;styling styling 30 years styling;s_t_ay_l_ih_ng s_t_ay_l_ih_ng  y_er_z s_t_ay_l_ih_ng
a;67;styling styling 30 years styling;s_t_ay_l_ih_ng s_t_ay_l_ih_ng  y_ih_r_z s_t_ay_l_ih_ng
g;54;im the type that can turn a joke into a Russell Brand;ay_m dh_ah t_ay_p dh_ae_t k_ah_n t_er_n ah jh_ow_k ih_n_t_uw ah r_ah_s_ah_l b_r_ae_n_d
