Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;7;with your own eyes;w_ih_dh y_ao_r ow_n ay_z
f;12;and I began to believe that all we are (is) material;ah_n_d ay b_ih_g_ae_n t_uw b_ah_l_iy_v dh_ae_t ao_l w_iy aa_r ih_z m_ah_t_ih_r_iy_ah_l
a;2;you roll the voices over in your head;y_uw r_ow_l dh_ah v_oy_s_ah_z ow_v_er ih_n y_ao_r hh_eh_d
e;10;im so sorry Ive been so down;ay_m s_ow s_aa_r_iy ay_v b_ih_n s_ow d_aw_n
a;3;and you try to put them neatly on the shelf;ah_n_d y_uw t_r_ay t_uw p_uh_t dh_eh_m n_iy_t_l_iy aa_n dh_ah sh_eh_l_f
f;26;and you began to believe that all we are (is) material;ah_n_d y_uw b_ih_g_ae_n t_uw b_ah_l_iy_v dh_ae_t ao_l w_iy aa_r ih_z m_ah_t_ih_r_iy_ah_l
e;11;i started doubting things could ever turn around;ay s_t_aa_r_t_ah_d d_aw_t_ih_ng th_ih_ng_z k_uh_d eh_v_er t_er_n er_aw_n_d
d;34;souls aren-t built of stone sticks and bones;s_ow_l_z aa_n_t b_ih_l_t ah_v s_t_ow_n s_t_ih_k_s ah_n_d b_ow_n_z
o;21;and now youre wondering;ah_n_d n_aw y_uw_r w_ah_n_d_er_ih_ng
b;18;(as) if youve never seen the sky in your whole life;ae_z ah_f y_uw_v n_eh_v_er s_iy_n dh_ah s_k_ay ih_n y_ao_r hh_ow_l l_ay_f
b;16;youre looking at the world with new eyes;y_uw_r l_uh_k_ih_ng ae_t dh_ah w_er_l_d w_ih_dh n_y_uw ay_z
g;27;its nonsensical;ih_t_s n_aa_n_s_eh_n_s_ih_k_ah_l
d;8;and then you broke out laughing from a yawn;ah_n_d dh_eh_n y_uw b_r_ow_k aw_t l_ae_f_ih_ng f_r_ah_m ah y_ow_n
c;25;youve been selling cell phones at the shopping mall;y_uw_v b_ih_n s_eh_l_ih_ng s_eh_l f_ow_n_z ae_t dh_ah sh_aa_p_ih_ng m_ao_l
b;5;you watch the sun rise;y_uw w_aa_ch dh_ah s_ah_n r_ay_z
i;22;(is) peace just a temporary state;ih_z p_iy_s jh_ah_s_t ah t_eh_m_p_er_eh_r_iy s_t_ey_t
h;17;(as) if youd never seen the sky before this blue;ae_z ah_f y_uw_d n_eh_v_er s_iy_n dh_ah s_k_ay b_ah_f_ao_r dh_ih_s b_l_uw
d;36;souls aren-t built of stone sticks and bones;s_ow_l_z aa_n_t b_ih_l_t ah_v s_t_ow_n s_t_ih_k_s ah_n_d b_ow_n_z
e;29;im so sorry Ive been so down;ay_m s_ow s_aa_r_iy ay_v b_ih_n s_ow d_aw_n
f;32;and that all of our dreams are nothing more than material;ah_n_d dh_ae_t ao_l ah_v aw_r d_r_iy_m_z aa_r n_ah_th_ih_ng m_ao_r dh_ae_n m_ah_t_ih_r_iy_ah_l
l;31;but I still can-t believe that all we are;b_ah_t ay s_t_ih_l k_ae_n_t b_ah_l_iy_v dh_ae_t ao_l w_iy aa_r
d;35;souls aren-t built of stone;s_ow_l_z aa_n_t b_ih_l_t ah_v s_t_ow_n
m;1;you been waking up at 4 12;y_uw b_ih_n w_ey_k_ih_ng ah_p ae_t ah_ae 
l;0;youve been having trouble staying asleep;y_uw_v b_ih_n hh_ae_v_ih_ng t_r_ah_b_ah_l s_t_ey_ih_ng ah_s_l_iy_p
e;30;i started doubting things could ever turn around;ay s_t_aa_r_t_ah_d d_aw_t_ih_ng th_ih_ng_z k_uh_d eh_v_er t_er_n er_aw_n_d
n;19;and then the phone rings;ah_n_d dh_eh_n dh_ah f_ow_n r_ih_ng_z
i;20;(as) it turns out you are already late;ae_z ih_t t_er_n_z aw_t y_uw aa_r ao_l_r_eh_d_iy l_ey_t
c;6;saw the darkness had no choice before the dawn;s_ao dh_ah d_aa_r_k_n_ah_s hh_ae_d n_ow ch_oy_s b_ah_f_ao_r dh_ah d_ao_n
p;24;waiting tables and parking cars;w_ey_t_ih_ng t_ey_b_ah_l_z ah_n_d p_aa_r_k_ih_ng k_aa_z
g;13;its nonsensical;ih_t_s n_aa_n_s_eh_n_s_ih_k_ah_l
h;15;so you walk outside and everything-s new;s_ow y_uw w_ao_k aw_t_s_ay_d ah_n_d eh_v_r_iy_th_ih_ng_z n_y_uw
