Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;13;Christ the Lord the newborn King;k_r_ay_s_t dh_iy l_ao_r_d dh_iy n_uw_b_ao_r_n k_ih_ng
c;15;gloria;g_l_ao_r_iy_ah
c;17;gloria;g_l_ao_r_iy_ah
c;20;gloria;g_l_ao_r_iy_ah
a;0;angel we have heard on high;ey_n_jh_ah_l w_iy hh_ae_v hh_er_d aa_n hh_ay
c;5;gloria;g_l_ao_r_iy_ah
d;8;in excellsis deo;ih_n_ch eh_x_s_e_l_s_iy_s d_iy_ow
d;16;in excellsis deo;ih_n_ch eh_x_s_e_l_s_iy_s d_iy_ow
a;2;and the mountains in reply;ah_n_d dh_iy m_aw_n_t_ah_n_z ih_n_ch r_iy_p_l_ay
b;1;sweetly singing o-er the plain;s_w_iy_t_l_iy s_ih_ng_ih_ng ao_er dh_iy p_l_ey_n
b;3;echoing their joyous strain;eh_k_ow_ih_ng dh_eh_r jh_oy_ah_s s_t_r_ey_n
d;21;in excellsis deo;ih_n_ch eh_x_s_e_l_s_iy_s d_iy_ow
e;11;him whose birth the angels sing;ih_m hh_uw_z b_er_th dh_iy ey_n_jh_ah_l_z s_ih_ng
d;10;come to Bethlehem and see;k_ah_m t_ah b_eh_th_l_ah_hh_eh_m ah_n_d s_iy
d;12;come adore on bended knee;k_ah_m ah_d_ao_r aa_n b_eh_n_d_ah_d n_iy
d;6;in excellsis deo;ih_n_ch eh_x_s_e_l_s_iy_s d_iy_ow
c;7;gloria;g_l_ao_r_iy_ah
d;18;in excellsis deo;ih_n_ch eh_x_s_e_l_s_iy_s d_iy_ow
