Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;8;your name now etched in stone no place to call my home;y_ao_r n_ey_m n_aw eh_ch_t ih_n s_t_ow_n n_ow p_l_ey_s t_uw k_ao_l m_ay hh_ow_m
c;23;a mother my lover my best friend my best friend;ah m_ah_dh_er m_ay l_ah_v_er m_ay b_eh_s_t f_r_eh_n_d m_ay b_eh_s_t f_r_eh_n_d
a;0;voices whisper in the night;v_oy_s_ah_z w_ih_s_p_er ih_n_ch dh_iy n_ay_t
d;19;your name now etched in stone no place to call my home;y_ao_r n_ey_m n_aw eh_ch_t ih_n s_t_ow_n n_ow p_l_ey_s t_uw k_ao_l m_ay hh_ow_m
c;5;nowhere to be found I can-t breathe again;n_ow_hh_w_eh_r t_ah b_iy f_aw_n_d ay k_ae_n_t b_r_iy_dh ah_g_eh_n
e;12;the tickle in my throat your way of reaching out;dh_ah t_ih_k_ah_l ih_n m_ay th_r_ow_t y_ao_r w_ey ah_v r_iy_ch_ih_ng aw_t
e;21;nowhere to be found;n_ow_w_eh_r t_uw b_iy f_aw_n_d
b;3;what (is) real and what (is) fantasy;hh_w_ah_t ah_z r_iy_l ah_n_d hh_w_ah_t ah_z f_ae_n_ah_s_iy
g;25;my baby-s staring back at me and now a broken family;m_ay b_ey_b_iy_z s_t_eh_r_ih_ng b_ae_k ae_t m_iy ah_n_d n_aw ah b_r_ow_k_ah_n f_ae_m_ax_l_ih
h;18;my baby-s staring back at me and now a broken family;m_ay b_ey_b_iy_z s_t_eh_r_ih_ng b_ae_k ae_t m_iy ah_n_d n_aw ah b_r_ow_k_ah_n f_ae_m_ax_l_ih
g;1;do you hear them calling me;d_uw y_uw hh_ih_r dh_ah_m k_ao_l_ih_ng m_iy
l;16;nowhere to be found I can-t breathe again;n_ow_w_eh_r t_uw b_iy f_aw_n_d ay k_ae_n_t b_r_iy_dh ah_g_ey_n
c;22;i can-t breathe again;ay k_ae_n_t b_r_iy_dh ah_g_eh_n
f;14;the moonlight glistening the shore;dh_ah m_uw_n_l_ay_t g_l_ih_s_ah_n_ih_ng dh_ah sh_ao_r
f;13;perhaps the creaking of my door;p_er_hh_ae_p_s dh_ah k_r_iy_k_ih_ng ah_v m_ay d_ao_r
i;11;the smoke your spirit rising I breathe your love;dh_ah s_m_ow_k y_ao_r s_p_ih_r_ah_t r_ay_z_ih_ng ay b_r_iy_dh y_ao_r l_ah_v
a;2;reflecting faces in the light;r_ah_f_l_eh_k_t_ih_ng f_ey_s_ah_z ih_n_ch dh_iy l_ay_t
h;7;my baby-s staring back at me and now a broken family;m_ay b_ey_b_iy_z s_t_eh_r_ih_ng b_ae_k ae_t m_iy ah_n_d n_aw ah b_r_ow_k_ah_n f_ae_m_ax_l_ih
d;26;your name now etched in stone no place to call my home;y_ao_r n_ey_m n_aw eh_ch_t ih_n s_t_ow_n n_ow p_l_ey_s t_uw k_ao_l m_ay hh_ow_m
c;6;a mother my lover my best friend my best friend;ah m_ah_dh_er m_ay l_ah_v_er m_ay b_eh_s_t f_r_eh_n_d m_ay b_eh_s_t f_r_eh_n_d
b;10;your heart (is) the amber I see in my drag;y_ao_r hh_aa_r_t ih_z dh_ah ae_m_b_er ay s_iy ih_n m_ay d_r_ae_g
c;17;a mother my lover my best friend my best friend;ey m_ah_dh_er m_ay l_ah_v_er m_ay b_eh_s_t f_r_eh_n_d m_ay b_eh_s_t f_r_eh_n_d
