Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;15;this (is) one flow you just can-t beat;dh_ih_s ih_z w_ah_n f_l_ow y_uw jh_ah_s_t k_ae_n_t b_iy_t
a;13;im gonna cement my spot so get bent and stop;ay_m g_aa_n_ah s_ah_m_eh_n_t m_ay s_p_aa_t s_ow g_eh_t b_eh_n_t ah_n_d s_t_aa_p
e;17;you got the appeal of wet concrete;y_uw g_aa_t dh_ah ah_p_iy_l ah_v w_eh_t k_ah_n_k_r_iy_t
d;22;and when the phone rings don-t answer the call;ah_n_d w_eh_n dh_ah f_ow_n r_ih_ng_z d_ow_n_t ae_n_s_er dh_ah k_ao_l
b;20;im gonna slash and gash and rip another hole in your ass;ay_m g_aa_n_ah s_l_ae_sh ah_n_d g_ae_sh ah_n_d r_ih_p ah_n_ah_dh_er hh_ow_l ih_n y_ao_r ae_s
d;21;ill smear blood on the walls play tennis with your balls;ay_l s_m_ih_r b_l_ah_d aa_n dh_ah w_ao_l_z p_l_ey t_eh_n_ih_s w_ih_dh y_ao_r b_ao_l_z
b;3;imma kidnap you enwrap you entrap you and when Im done imma cap;ih_m_m_aa k_ih_d_n_ae_p y_uw eh_n_r_ae_p y_uw eh_n_t_r_ae_p y_uw ah_n_d w_eh_n ay_m d_ah_n ih_m_m_aa k_ae_p
c;11;you see Im intent to kick start your dissent don-t worry I don-t hold any;y_uw s_iy ay_m ih_n_t_eh_n_t t_uw k_ih_k s_t_aa_r_t y_ao_r d_ih_s_eh_n_t d_ow_n_t w_er_iy ay d_ow_n_t hh_ow_l_d eh_n_iy
c;7;even if you repent you not gonna prevent the torment youll be left;iy_v_ah_n ah_f y_uw r_ah_p_eh_n_t y_uw n_ax_t g_aa_n_ah p_r_ih_v_eh_n_t dh_ah t_ao_r_m_eh_n_t y_uw_l b_iy l_eh_f_t
a;0;use these in battle raps mayn;y_uw_s dh_iy_z ih_n_ch b_ae_t_ah_l r_ae_p_s m_aa_iy_n
b;2;oi fap god you think you can rap;oy f_ae_b_p g_aa_d y_uw th_ih_ng_k y_uw k_ah_n r_ae_p
d;8;dormant;d_ao_r_m_ah_n_t
c;12;resent;r_ah_z_eh_n_t
c;10;consent;k_ah_n_s_eh_n_t
e;16;we all know what you beat;w_iy ao_l n_ow w_ah_t y_uw b_iy_t
f;23;ill slit your throat kill you like a GOAT;ay_l s_l_ih_t y_ao_r th_r_ow_t k_ih_l y_uw l_ay_k ah g_ow_t
f;24;ill rip your foreskin off and wear it (as) a winter coat;ay_l r_ih_p y_ao_r f_ao_r_s_k_iy_n ao_f ah_n_d w_eh_r ih_t ae_z ah w_ih_n_t_er k_ow_t
g;4;you;y_uw
c;9;my wordply so magnificent battle me and youll need parental;m_ay w_er_d_b_l_ae s_ow m_ae_g_n_ih_f_ah_s_ah_n_t b_ae_t_ah_l m_iy ah_n_d y_uw_l n_iy_d p_er_eh_n_t_ah_l
g;5;that-d give you the handicap you would need to win too;dh_ae_t_ah_d g_ih_v y_uw dh_iy hh_ae_n_d_iy_k_ae_p y_uw w_uh_d n_iy_d t_ah w_ih_n t_uw
e;18;and I get more ass than a toilet seat;ah_n_d ay g_eh_t m_ao_r ae_s dh_ae_n ah t_oy_l_ah_t s_iy_t
