Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;10;now it happens here;n_aw ih_t hh_ae_p_ah_n_z hh_ih_r
c;24;ooh its been such a long way;uw ih_t_s b_ih_n s_ah_ch ah l_ao_ng w_ey
a;19;weve got problems the Lone Ranger can-t fix;w_iy_v g_aa_t p_r_aa_b_l_ah_m_z dh_ah l_ow_n r_ey_n_jh_er k_ae_n_t f_ih_k_s
e;33;with a human body you see;w_ih_dh ey y_uw_m_ah_n b_aa_d_iy y_uw s_iy
n;32;to a human human;t_uw ah hh_y_uw_m_ax_n hh_y_uw_m_ax_n
e;20;the invisible man couldn-t see;dh_ah ih_n_v_ih_z_ah_b_ah_l m_ae_n k_uh_d_n_t s_iy
f;30;can you believe it happens;k_ah_n y_uw b_ah_l_iy_v ih_t hh_ae_p_ah_n_z
a;13;now it happens here;n_aw ih_t hh_ae_p_ah_n_z hh_ih_r
g;17;today (is) surprisingly fair;t_ah_d_ey ih_z s_ax_p_r_ay_z_ih_ng_l_ih f_eh_r
c;39;been such a long way;b_ih_n s_ah_ch ah l_ao_ng w_ey
e;8;for a human body you see;f_ao_r ah hh_y_uw_m_ax_n b_aa_d_iy y_uw s_iy
a;22;to learn some new tricks;t_uw l_er_n s_ah_m n_y_uw t_r_ih_k_s
g;11;do you believe do you believe or really care;d_uw y_uw b_ah_l_iy_v d_uw y_uw b_ah_l_iy_v ao_r r_ih_l_iy k_eh_r
h;41;been such a long while;b_ih_n s_ah_ch ah l_ao_ng w_ay_l
o;34;you know its been such a long while;y_uw n_ow ih_t_s b_ih_n s_ah_ch ah l_ao_ng w_ay_l
g;29;do you believe do you believe or really care;d_uw y_uw b_ah_l_iy_v d_uw y_uw b_ah_l_iy_v ao_r r_ih_l_iy k_eh_r
a;0;they were talking in whispers;dh_ey w_er t_ao_k_ih_ng ih_n_ch w_ih_s_p_er_z
n;25;for a human human human;f_ao_r ey hh_y_uw_m_ax_n hh_y_uw_m_ax_n hh_y_uw_m_ax_n
e;26;for a human body you see;f_ao_r ah hh_y_uw_m_ah_n b_aa_d_iy y_uw s_iy
c;6;ooh you know its been a long way;uw y_uw n_ow ih_t_s b_ih_n ah l_ao_ng w_ey
b;5;ooh its been such a long ride;uw ih_t_s b_ah_n s_ah_ch ey l_ao_ng r_ay_d
a;31;now it happens here;n_aw ih_t hh_ae_p_ah_n_z hh_ih_r
f;27;can you believe it happens;k_ah_n y_uw b_ah_l_iy_v ih_t hh_ae_p_ah_n_z
b;23;ooh it takes such a long time;uw ih_t t_ey_k_s s_ah_ch ah l_ao_ng t_ay_m
c;38;its been such a long way;ih_t_s b_ih_n s_ah_ch ey l_ao_ng w_ey
o;35;its been such a long while;ih_t_s b_ih_n s_ah_ch ah l_ao_ng w_ay_l
f;9;can you believe it happens;k_ah_n y_uw b_ah_l_iy_v ih_t hh_ae_p_ah_n_z
b;37;it takes such a long time;ih_t t_ey_k_s s_ah_ch ey l_ao_ng t_ay_m
d;7;for a human human human;f_ao_r ah hh_y_uw_m_ax_n y_uw_m_ah_n hh_y_uw_m_ah_n
o;40;its been such a long while;ih_t_s b_ih_n s_ah_ch ah l_ao_ng w_ay_l
m;4;to have made it this far;t_uw hh_ae_v m_ey_d ih_t dh_ih_s f_aa_r
f;42;yeah yeah yeah yeah yeah yeah;y_ae y_ae y_ae y_ae y_ae y_ae
a;28;now it happens here;n_aw ih_t hh_ae_p_ah_n_z hh_ih_r
b;43;its gonna be a long ride;ih_t_s g_aa_n_ah b_iy ah l_ao_ng r_ay_d
h;1;in bear skins and fur;ih_n_ch b_eh_r s_k_ih_n_z ah_n_d f_er
b;21;it takes a tough guy;ih_t t_ey_k_s ah t_ah_f g_ay
b;36;takes such a long time;t_ey_k_s s_ah_ch ah l_ao_ng t_ay_m
d;18;oh oh oh oh woo woo;ow ow ow ow w_uw w_uw
e;15;with a human body you see;w_ih_dh ah hh_y_uw_m_ax_n b_aa_d_iy y_uw s_iy
l;3;to have laboured so long;t_ah hh_ae_v l_ey_b_er_d s_ow l_ao_ng
d;14;to a human human;t_uw ah hh_y_uw_m_ax_n y_uw_m_ah_n
f;12;can you believe it happens;k_ah_n y_uw b_ah_l_iy_v ih_t hh_ae_p_ah_n_z
i;2;Captain Scott and his heroes to be;k_ae_p_t_ah_n s_k_aa_t ah_n_d hh_ah_z hh_ih_r_ow_z t_ah b_iy
d;16;there ain-t nobody gets out of this moonlight;dh_eh_r ey_n_t n_ow_b_aa_d_iy g_eh_t_s aw_t ah_v dh_ih_s m_uw_n_l_ay_t
