Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;13;pitsea Thundersley Hadleigh Leigh-On Sea;p_ih_t_s_er_ax  hh_ae_d_l_ah L_n_eh s_iy
e;0;if you ever have to go to Shoeburyness;ih_f y_uw eh_v_er hh_ae_v t_uw g_ow t_uw 
c;10;(by-pass) Barking and straight through Dagenham;b_ay_p_ae_s b_aa_r_k_ih_ng ah_n_d s_t_r_ey_t th_r_uw d_ae_g_ah_n_hh_ae_m
e;17;if you ever have to go to Shoeburyness;ah_f y_uw eh_v_er hh_ae_v t_uw g_ow t_uw 
a;15;southends the end;s_aw_th_er_n_d_s dh_ah eh_n_d
m;14;chalkwell Prittlewell;ch_aa_k_ha_w_eh_l 
n;19;go motorin on the A13;g_ow m_ow_t_er_iy_n aa_n dh_ah 
a;18;take the A road the okay road thats the best;t_ey_k dh_ah ah r_ow_d dh_ah ow_k_ey r_ow_d dh_ae_t_s dh_ah b_eh_s_t
b;21;it starts down in Wapping;ih_t s_t_aa_r_t_s d_aw_n ih_n w_aa_p_ih_ng
g;4;well if youre looking for a thrill thats new;w_eh_l ih_f y_uw_r l_uh_k_ih_ng f_ao_r ah th_r_ih_l dh_ae_t_s n_y_uw
a;28;southends the end;s_aw_th_er_n_d_s dh_ah eh_n_d
e;30;if you ever have to go to Shoeburyness;ah_f y_uw eh_v_er hh_ae_v t_uw g_ow t_uw 
o;32;go motorin on the A13;g_ow m_ow_t_er_iy_n aa_n dh_ah 
p;33;go motorin on the A13;g_ow m_ow_t_er_iy_n aa_n dh_ah 
c;23;(by-pass) Barking and straight through Dagenham;b_ay_p_ae_s b_aa_r_k_ih_ng ah_n_d s_t_r_ey_t th_r_uw d_ae_g_ah_n_hh_ae_m
h;6;go motorin on the A13;g_ow m_ow_t_er_iy_n aa_n dh_ah 
g;5;take in Fords Dartford Tunnel and the river too;t_ey_k ih_n f_ao_r_d_z D_ae_r_t_f_ax_r_d t_ah_n_ah_l ah_n_d dh_ah r_ih_v_er t_uw
l;25;and rather near Basildon;ah_n_d r_ae_dh_er n_ih_r 
a;1;take the A road the okay road thats the best;t_ey_k dh_ah ah r_ow_d dh_ah ow_k_ey r_ow_d dh_ae_t_s dh_iy b_eh_s_t
m;27;chalkwell Prittlewell;ch_aa_k_ha_w_eh_l 
e;34;go motorin on the A13;g_ow m_ow_t_er_iy_n aa_n dh_ah 
b;8;it starts down in Wapping;ih_t s_t_aa_r_t_s d_aw_n ih_n w_aa_p_ih_ng
a;31;take the A road the okay road thats the best;t_ey_k dh_ah ah r_ow_d dh_ah ow_k_ey r_ow_d dh_ae_t_s dh_ah b_eh_s_t
i;24;down to Grays Thurrock;d_aw_n t_uw g_r_ey_z T_hh_ah_r_oh_k_k
f;2;go motorin on the A13;g_ow m_ow_t_er_iy_n aa_n dh_iy 
d;26;pitsea Thundersley Hadleigh Leigh-On Sea;p_ih_t_s_er_ax  hh_ae_d_l_ah L_n_eh s_iy
b;22;there ain-t no stopping;dh_eh_r ey_n_t n_ow s_t_aa_p_ih_ng
b;9;there ain-t no stopping;dh_eh_r ey_n_t n_ow s_t_aa_p_ih_ng
l;12;and rather near Basildon;ah_n_d r_ae_dh_er n_ih_r 
i;11;down to Grays Thurrock;d_aw_n t_uw g_r_ey_z T_hh_ah_r_oh_k_k
