Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;33;the battles lost and won;dh_ah b_ae_t_ah_l_z l_ao_s_t ah_n_d w_ah_n
a;6;hiding in the wings (is) just like walking on thin ice;hh_ay_d_ih_ng ih_n dh_ah w_ih_ng_z ih_z jh_ah_s_t l_ay_k w_ao_k_ih_ng aa_n th_ih_n ay_s
a;2;a case of do or die;ah k_ey_s ah_v d_uw ao_r d_ay
e;10;all our yesterdays be soon forgotten;ao_l aw_r y_eh_s_t_er_d_ey_z b_iy s_uw_n f_er_g_aa_t_ah_n
b;3;this (is) our last dance;dh_ih_s ih_z aw_r l_ae_s_t d_ae_n_s
d;24;theres an easy way to turn the page;dh_eh_r_s ae_n iy_z_iy w_ey t_uw t_er_n dh_ah p_ey_jh
d;39;all our yesterdays have come of age;ao_l aw_r y_eh_s_t_er_d_ey_z hh_ae_v k_ah_m ah_v ey_jh
d;14;the prize (is) there to take;dh_iy p_r_ay_z ah_z dh_eh_r t_ah t_ey_k
g;45;now we all can sing a different song;n_aw w_iy ao_l k_ah_n s_ih_ng ah d_ih_f_r_ax_n_t s_ao_ng
a;31;hang the banners high;hh_ae_ng dh_ah b_ae_n_er_z hh_ay
d;9;hide the walking shadow on the stage;hh_ay_d dh_ah w_ao_k_ih_ng sh_ae_d_ow aa_n dh_ah s_t_ey_jh
g;40;now we all can sing a different song;n_aw w_iy ao_l k_ah_n s_ih_ng ah d_ih_f_r_ax_n_t s_ao_ng
a;0;the stakes are high;dh_iy s_t_ey_k_s er hh_ay
c;26;yesterday-s tomorrow (is) tomorrow-s yesterday;y_eh_s_t_ax_d_ih_z t_ah_m_aa_r_ow ih_z t_ax_m_oh_r_ow_z y_eh_s_t_er_d_ey
c;19;both sides of the dice are always adding up to seven;b_ow_th s_ay_d_z ah_v dh_ah d_ay_s aa_r ao_l_w_ey_z ae_d_ih_ng ah_p t_uw s_eh_v_ah_n
e;41;all our yesterdays have all departed;ao_l aw_r y_eh_s_t_er_d_ey_z hh_ae_v ao_l d_ah_p_aa_r_t_ah_d
c;44;all our yesterdays;ao_l aw_r y_eh_s_t_er_d_ey_z
g;34;thats when the hammer falls;dh_ae_t_s w_eh_n dh_ah hh_ae_m_er f_ao_l_z
c;29;all our yesterdays are only hanging in suspense;ao_l aw_r y_eh_s_t_er_d_ey_z aa_r ow_n_l_iy hh_ae_ng_ih_ng ih_n s_ah_s_p_eh_n_s
c;28;no more future perfect we just need the present tense;n_ow m_ao_r f_y_uw_ch_er p_er_f_ih_k_t w_iy jh_ah_s_t n_iy_d dh_ah p_r_ih_z_eh_n t_eh_n_s
d;49;all our yesterdays have come of age;ao_l aw_r y_eh_s_t_er_d_ey_z hh_ae_v k_ah_m ah_v ey_jh
g;32;on the outward walls;aa_n dh_ah aw_t_w_er_d w_ao_l_z
g;42;the writing on the wall will soon be gone;dh_ah r_ay_t_ih_ng aa_n dh_ah w_ao_l w_ah_l s_uw_n b_iy g_ao_n
c;8;all our yesterdays will soon be ending;ao_l aw_r y_eh_s_t_er_d_ey_z w_ah_l s_uw_n b_iy eh_n_d_ih_ng
d;22;hide the walking shadow on the stage;hh_ay_d dh_iy w_ao_k_ih_ng sh_ae_d_ow aa_n dh_iy s_t_ey_jh
c;21;all our yesterdays will soon be ending;ao_l aa_r y_eh_s_t_er_d_ey_z w_ih_l s_uw_n b_iy eh_n_d_ih_ng
d;11;theres an easy way to turn the page;dh_eh_r_s ah_n iy_z_iy w_ey t_ah t_er_n dh_iy p_ey_jh
a;5;a moment-s hesitation and we always pay the price;ah m_ow_m_ah_n_t_s hh_eh_z_ah_t_ey_sh_ah_n ah_n_d w_iy ao_l_w_ey_z p_ey dh_ah p_r_ay_s
e;23;all our yesterdays be soon forgotten;ao_l aa_r y_eh_s_t_er_d_ey_z b_iy s_uw_n f_ao_r_g_aa_t_ah_n
c;46;all our yesterdays;ao_l aw_r y_eh_s_t_er_d_ey_z
c;18;if you stack the cards you will one day find your heaven;ah_f y_uw s_t_ae_k dh_ah k_aa_r_d_z y_uw w_ah_l w_ah_n d_ey f_ay_n_d y_ao_r hh_eh_v_ah_n
g;50;the writing on the wall will soon be gone;dh_ah r_ay_t_ih_ng aa_n dh_ah w_ao_l w_ah_l s_uw_n b_iy g_ao_n
d;37;all we have to do (is) take tomorrow-s chance today;ao_l w_iy hh_ae_v t_uw d_uw ih_z t_ey_k t_ax_m_oh_r_ow_z ch_ae_n_s t_ah_d_ey
f;15;were on an even keel;w_iy_r aa_n ae_n iy_v_ah_n k_iy_l
d;16;no demons in our way;n_ow d_iy_m_ah_n_z ih_n aw_r w_ey
f;13;the vision (is) too real;dh_iy v_ih_zh_ah_n ah_z t_uw r_iy_l
d;36;racing to the future we must never lose our way;r_ey_s_ih_ng t_uw dh_ah f_y_uw_ch_er w_iy m_ah_s_t n_eh_v_er l_uw_z aw_r w_ey
d;27;destinys forgotten theres another game to play;d_eh_s_t_ah_n_iy_z f_er_g_aa_t_ah_n dh_eh_r_s ah_n_ah_dh_er g_ey_m t_uw p_l_ey
b;1;we have to seize the chance;w_iy hh_ae_v t_uw s_iy_z dh_ah ch_ae_n_s
g;47;the writing on the wall will soon be gone;dh_ah r_ay_t_ih_ng aa_n dh_ah w_ao_l w_ah_l s_uw_n b_iy g_ao_n
