Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;27;years of knockin on heaven-s door;y_ih_r_z ah_v n_aa_k_iy_n aa_n hh_eh_v_ah_n_z d_ao_r
h;6;but your faithfulness to me;b_ah_t y_ao_r f_ah_ih_th_f_uw_l_n_ax_s t_uw m_iy
c;24;i I fall down on my knees;ay ay f_aa_l d_aw_n aa_n m_ay n_iy_z
d;8;(is) making it all right;ih_z m_ey_k_ih_ng ih_t ao_l r_ay_t
d;54;all right;ao_l r_ay_t
c;49;fall on my knees;f_aa_l aa_n m_ay n_iy_z
c;42;you give me what I need;y_uw g_ih_v m_iy w_ah_t ay n_iy_d
d;55;all right;ao_l r_ay_t
d;63;all right;ao_l r_ay_t
c;32;what strengthens hope my eyes have never seen;w_ah_t s_t_r_eh_ng_th_ah_n_z hh_ow_p m_ay ay_z hh_ae_v n_eh_v_er s_iy_n
h;20;washed over me;w_aa_sh_t ow_v_er m_iy
c;31;when will I learn there-re no guarantees;w_eh_n w_ah_l ay l_er_n dh_eh_r_er n_ow g_eh_r_ah_n_t_iy_z
e;33;but it won-t be long;b_ah_t ih_t w_ow_n_t b_iy l_ao_ng
c;56;i fall down on my knees;ay f_aa_l d_aw_n aa_n m_ay n_iy_z
c;21;and it only made me see;ah_n_d ih_t ow_n_l_iy m_ey_d m_iy s_iy
e;52;years of knockin on heaven-s door;y_ih_r_z ah_v n_aa_k_iy_n aa_n hh_eh_v_ah_n_z d_ao_r
e;28;have taught me this if nothing more;hh_ae_v t_ao_t m_iy dh_ih_s ah_f n_ah_th_ih_ng m_ao_r
d;48;all right;ao_l r_ay_t
c;26;you give me what I need;y_uw g_ih_v m_iy w_ah_t ay n_iy_d
d;10;tell me that its all right;t_eh_l m_iy dh_ae_t ih_t_s ao_l r_ay_t
b;35;and the heavens will say;ah_n_d dh_ah hh_eh_v_ah_n_z w_ah_l s_ey
d;65;all right;ao_l r_ay_t
d;39;all right;ao_l r_ay_t
g;2;i feel a cold wind;ay f_iy_l ey k_ow_l_d w_ih_n_d
a;1;to the hills to the setting sun;t_ah dh_iy hh_ih_l_z t_ah dh_iy s_eh_t_ih_ng s_ah_n
f;0;looking out;l_uh_k_ih_ng aw_t
e;60;years of knockin on heaven-s door;y_ih_r_z ah_v n_aa_k_iy_n aa_n hh_eh_v_ah_n_z d_ao_r
a;3;bound to come;b_aw_n_d t_ah k_ah_m
a;29;that its all right what may come;dh_ae_t ih_t_s ao_l r_ay_t w_ah_t m_ey k_ah_m
a;14;that its all right what may come;dh_ae_t ih_t_s ao_l r_ay_t w_ah_t m_ey k_ah_m
d;34;Till the faith will be sight;t_ih_l dh_ah f_ey_th w_ah_l b_iy s_ay_t
c;9;i fall down on my knees;ay f_aa_l d_aw_n aa_n m_ay n_iy_z
e;43;years of (knockin-) heaven-s door;y_ih_r_z ah_v n_aa_k_iy_n_eh hh_eh_v_ah_n_z d_ao_r
e;44;have taught me this if nothing more;hh_ae_v t_ao_t m_iy dh_ih_s ah_f n_ah_th_ih_ng m_ao_r
c;58;cause you give me what I need;k_aa_z y_uw g_ih_v m_iy w_ah_t ay n_iy_d
c;11;you give me what I need;y_uw g_ih_v m_iy w_ah_t ay n_iy_d
b;19;well muddy waves of pain;w_eh_l m_ah_d_iy w_ey_v_z ah_v p_ey_n
d;61;all right;ao_l r_ay_t
i;16;ive heard it said;ay_v hh_er_d ih_t s_eh_d
b;4;another change;ah_n_ah_dh_er ch_ey_n_jh
a;46;whatever comes;w_ah_t_eh_v_er k_ah_m_z
d;23;its gonna be all right;ih_t_s g_aa_n_ah b_iy ao_l r_ay_t
c;51;you give me what I need;y_uw g_ih_v m_iy w_ah_t ay n_iy_d
d;18;you get to higher ground or you die;y_uw g_eh_t t_uw hh_ay_er g_r_aw_n_d ao_r y_uw d_ay
d;37;its all right;ih_t_s ao_l r_ay_t
d;41;tell me that its all right;t_eh_l m_iy dh_ae_t ih_t_s ao_l r_ay_t
d;45;and its all right;ah_n_d ih_t_s ao_l r_ay_t
d;57;tell me that its all right;t_eh_l m_iy dh_ae_t ih_t_s ao_l r_ay_t
d;17;when the river-s running high;w_eh_n dh_ah r_ih_v_er_z r_ah_n_ih_ng hh_ay
c;5;another end I cannot see;ah_n_ah_dh_er eh_n_d ay k_ae_n_aa_t s_iy
e;13;have taught me this if nothing more;hh_ae_v t_ao_t m_iy dh_ih_s ah_f n_ah_th_ih_ng m_ao_r
c;64;i fall down on my knees;ay f_aa_l d_aw_n aa_n m_ay n_iy_z
d;25;tell me that its all right;t_eh_l m_iy dh_ae_t ih_t_s ao_l r_ay_t
e;12;years of knockin on heaven-s door;y_ih_r_z ah_v n_aa_k_iy_n aa_n hh_eh_v_ah_n_z d_ao_r
c;40;i fall down on my knees;ay f_aa_l d_aw_n aa_n m_ay n_iy_z
f;62;whatever comes yes sir;w_ah_t_eh_v_er k_ah_m_z y_eh_s s_er
d;50;tell me that its all right;t_eh_l m_iy dh_ae_t ih_t_s ao_l r_ay_t
