Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;26;that I really need our time together;dh_ae_t ay r_ih_l_iy n_iy_d aw_r t_ay_m t_ah_g_eh_dh_er
h;3;but I need my rest to carry on;b_ah_t ay n_iy_d m_ay r_eh_s_t t_uw k_ae_r_iy aa_n
e;16;when I cry within;w_eh_n ay k_r_ay w_ah_dh_ih_n
m;19;you know that I need you;y_uw n_ow dh_ae_t ay n_iy_d y_uw
m;38;that Id never be wanting (as) long (as) Im leaning on you;dh_ae_t ay_d n_eh_v_er b_iy w_aa_n_t_ih_ng ae_z l_ao_ng ae_z ay_m l_iy_n_ih_ng aa_n y_uw
a;2;i hope youll understand if I don-t pray;ay hh_ow_p y_uw_l ah_n_d_er_s_t_ae_n_d ah_f ay d_ow_n_t p_r_ey
m;39;oh Lord All that I need (is) you;ow l_ao_r_d ao_l dh_ae_t ay n_iy_d ih_z y_uw
f;17;cause I need a friend;k_aa_z ay n_iy_d ah f_r_eh_n_d
g;28;so talk with me now;s_ow t_ao_k w_ah_dh m_iy n_aw
b;22;ive tried to make it on my own;ay_v t_r_ay_d t_uw m_ey_k ih_t aa_n m_ay ow_n
l;7;and Lord you see how very weak I am;ah_n_d l_ao_r_d y_uw s_iy hh_aw v_eh_r_iy w_iy_k ay ae_m
d;27;only your strength can see me through;ow_n_l_iy y_uh_r s_t_r_eh_ng_k_th k_ae_n s_iy m_iy th_r_uw
m;11;that Id never be wanting (as) long (as) Im leaning on you;dh_ae_t ay_d n_eh_v_er b_iy w_aa_n_t_ih_ng ae_z l_ao_ng ae_z ay_m l_iy_n_ih_ng aa_n y_uw
n;14;everytime when the doubting comes;eh_v_r_iy_t_ay_m w_eh_n dh_ah d_aw_t_ih_ng k_ah_m_z
b;1;and Im just weary to my bones;ah_n_d ay_m jh_ah_s_t w_ih_r_iy t_uw m_ay b_ow_n_z
o;40;all that I need;ao_l dh_ae_t ay n_iy_d
l;30;in this quiet time;ih_n_ch dh_ah_s k_w_ay_ah_t t_ay_m
m;12;oh Lord All that I need (is) you;ow l_ao_r_d ao_l dh_ae_t ay n_iy_d ih_z y_uw
m;41;all that I need (is) you;ao_l dh_ae_t ay n_iy_d ih_z y_uw
c;6;the me I try so to ignore;dh_ah m_iy ay t_r_ay s_ow t_uw ih_g_n_ao_r
a;15;and I seem to lose my way;ah_n_d ay s_iy_m t_uw l_uw_z m_ay w_ey
m;42;(is) you;ih_z y_uw
i;5;why do I kid myself You see my heart;w_ay d_uw ay k_ih_d m_ay_s_eh_l_f y_uw s_iy m_ay hh_aa_r_t
d;33;cause all of a sudden I knew;k_aa_z ao_l ah_v ah s_ah_d_ah_n ay n_uw
m;31;im waiting on you;ay_m w_ey_t_ih_ng aa_n y_uw
m;35;oh Lord All that I need (is) you;ow l_ao_r_d ao_l dh_ae_t ay n_iy_d ih_z y_uw
h;45;(is) you;ih_z y_uw
d;37;cause all of a sudden I knew;k_aa_z ao_l ah_v ah s_ah_d_ah_n ay n_uw
d;10;but all of a sudden I knew;b_ah_t ao_l ah_v ah s_ah_d_ah_n ay n_uw
m;43;(is) you;ih_z y_uw
g;29;(as) you walk with me now;eh_z y_uw w_ao_k w_ah_dh m_iy n_aw
a;0;lord you know its been a busy day;l_ao_r_d y_uw n_ow ih_t_s b_ih_n ah b_ih_z_iy d_ey
e;21;even though youre here;iy_v_ah_n dh_ow y_uw_r hh_ih_r
m;34;that Id never be wanting (as) long (as) Im leaning on you;dh_ae_t ay_d n_eh_v_er b_iy w_aa_n_t_ih_ng ae_z l_ao_ng ae_z ay_m l_iy_n_ih_ng aa_n y_uw
b;25;oh Lord you know;ow l_ao_r_d y_uw n_ow
c;8;i just can-t hide it anymore;ay jh_ah_s_t k_ae_n_t hh_ay_d ih_t eh_n_iy_m_ao_r
e;20;all at once its clear;ao_l ae_t w_ah_n_s ih_t_s k_l_ih_r
m;23;im not trusting you;ay_m n_ax_t t_r_ah_s_t_ih_ng y_uw
a;18;but I just don-t say;b_ah_t ay jh_ah_s_t d_ow_n_t s_ey
