Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;19;if were alone together;ah_f w_iy_r ah_l_ow_n t_ah_g_eh_dh_er
a;0;alone together;ah_l_ow_n t_ah_g_eh_dh_er
a;17;together;t_ah_g_eh_dh_er
d;1;above the crowd;ah_b_ah_v dh_iy k_r_aw_d
c;13;our love (is) (as) deep (as) the sea;aw_r l_ah_v ih_z ae_z d_iy_p ae_z dh_ah s_iy
a;6;alone together;ah_l_ow_n t_ah_g_eh_dh_er
e;2;beyond the world;b_iy_ao_n_d dh_iy w_er_l_d
a;11;and What (is) there to fear together;ah_n_d w_ah_t ih_z dh_eh_r t_uw f_ih_r t_ah_g_eh_dh_er
d;15;for we can weather the great unknown;f_ao_r w_iy k_ah_n w_eh_dh_er dh_ah g_r_ey_t ah_n_n_ow_n
c;14;our love (is) (as) great (as) a love Can be;aw_r l_ah_v ih_z ae_z g_r_ey_t ae_z ah l_ah_v k_ah_n b_iy
a;4;were strong As long (as) were together;w_iy_r s_t_r_ao_ng ae_z l_ao_ng eh_z w_iy_r t_ah_g_eh_dh_er
a;16;if were alone together;ah_f w_iy_r ah_l_ow_n t_ah_g_eh_dh_er
b;9;was not in vain;w_ah_z n_ax_t ih_n v_ey_n
a;18;together;t_ah_g_eh_dh_er
a;3;were not too proud to cling together;w_iy_r n_ax_t t_uw p_r_aw_d t_uw k_l_ih_ng t_ah_g_eh_dh_er
a;10;for were together;f_ao_r w_iy_r t_ah_g_eh_dh_er
b;7;the blinding rain;dh_ah b_l_ay_n_d_ih_ng r_ey_n
f;8;the starless night;dh_ah s_t_aa_r_l_eh_s n_ay_t
