Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;5;im just saying that Im having the time;ay_m jh_ah_s_t s_ey_ih_ng dh_ae_t ay_m hh_ae_v_ih_ng dh_ah t_ay_m
c;8;we go on and on;w_iy g_ow aa_n ah_n_d aa_n
a;7;the time of your life;dh_ah t_ay_m ah_v y_ao_r l_ay_f
b;1;youre just tripping when Im hanging with you;y_uw_r jh_ah_s_t t_r_ih_p_ih_ng w_eh_n ay_m hh_ae_ng_ih_ng w_ih_dh y_uw
e;10;darling darling won-t you let me;d_aa_r_l_ih_ng d_aa_r_l_ih_ng w_ow_n_t y_uw l_eh_t m_iy
b;0;im just tripping at the sight of you;ay_m jh_ah_s_t t_r_ih_p_ih_ng ae_t dh_ah s_ay_t ah_v y_uw
b;11;im sure it won-t hurt;ay_m sh_uh_r ih_t w_ow_n_t hh_er_t
c;3;we go on and on;w_iy g_ow aa_n ah_n_d aa_n
b;2;we go bowling and youre saying its true;w_iy g_ow b_ow_l_ih_ng ah_n_d y_uw_r s_ey_ih_ng ih_t_s t_r_uw
d;6;youre just saying that youre having;y_uw_r jh_ah_s_t s_ey_ih_ng dh_ae_t y_uw_r hh_ae_v_ih_ng
