Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;7;stars in the pavement red ropes (sayin-);s_t_aa_r_z ih_n dh_ah p_ey_v_m_ah_n_t r_eh_d r_ow_p_s s_ey_iy_n_eh
c;6;gangster paradise on the bus;g_ae_ng_s_t_er p_eh_r_ah_d_ay_s aa_n dh_ah b_ah_s
b;11;angeles oh Angeles Angeles Los Angeles;ae_n_jh_ah_l_ah_s ow ae_n_jh_ah_l_ah_s ae_n_jh_ah_l_ah_s l_ow_s ae_n_jh_ah_l_ah_s
f;5;smile on the beach if we could only reach it;s_m_ay_l aa_n dh_ah b_iy_ch ah_f w_iy k_uh_d ow_n_l_iy r_iy_ch ih_t
c;8;you will never be one of us;y_uw w_ah_l n_eh_v_er b_iy w_ah_n ah_v ah_s
b;3;livin like a champion up in the canyon;l_ih_v_iy_n l_ay_k ah ch_ae_m_p_iy_ah_n ah_p ih_n dh_ah k_ae_n_y_ah_n
g;14;ooooo wish that I had never met you; w_ih_sh dh_ae_t ay hh_ae_d n_eh_v_er m_eh_t y_uw
a;16;and were gonna be free one day were gonna fly;ah_n_d w_iy_r g_aa_n_ah b_iy f_r_iy w_ah_n d_ey w_iy_r g_aa_n_ah f_l_ay
a;0;gonna be free one day we gon fly;g_aa_n_ah b_iy f_r_iy hh_w_ah_n d_ey w_iy g_aa_n f_l_ay
d;25;this place and I we have an affair;dh_ih_s p_l_ey_s ah_n_d ay w_iy hh_ae_v ae_n ah_f_eh_r
a;2;ocean breeze haze in the sky;ow_sh_ah_n b_r_iy_z hh_ey_z ih_n dh_ah s_k_ay
b;20;night bloomin Jasmine waited by a has-been;n_ay_t b_l_uw_m_iy_n jh_ae_z_m_ah_n w_ey_t_ah_d b_ay ah hh_ae_z_b_ih_n
g;13;ooooo take my soul I wanna let you; t_ey_k m_ay s_ow_l ay w_aa_n_ah l_eh_t y_uw
d;26;its beautiful and violent and full of despair;ih_t_s b_y_uw_t_ah_f_ah_l ah_n_d v_ay_ah_l_ah_n_t ah_n_d f_uh_l ah_v d_ih_s_p_eh_r
a;1;to the other side golden ride;t_ah dh_iy ah_dh_er s_ay_d g_ow_l_d_ah_n r_ay_d
a;18;ocean breeze haze in the sky;ow_sh_ah_n b_r_iy_z hh_ey_z ih_n dh_ah s_k_ay
e;21;livin in the street light dead by day;l_ih_v_iy_n ih_n dh_ah s_t_r_iy_t l_ay_t d_eh_d b_ay d_ey
b;10;angeles oh Angeles Angeles Angeles;ae_n_jh_ah_l_ah_s ow ae_n_jh_ah_l_ah_s ae_n_jh_ah_l_ah_s ae_n_jh_ah_l_ah_s
b;19;livin like a champion up in the canyon;l_ih_v_iy_n l_ay_k ah ch_ae_m_p_iy_ah_n ah_p ih_n dh_ah k_ae_n_y_ah_n
e;23;with eyes that have seen this a million ways;w_ih_dh ay_z dh_ae_t hh_ae_v s_iy_n dh_ih_s ah m_ih_l_y_ah_n w_ey_z
a;17;to the other side golden ride;t_uw dh_ah ah_dh_er s_ay_d g_ow_l_d_ah_n r_ay_d
a;4;gonna be free one day we gon fly;g_aa_n_ah b_iy f_r_iy w_ah_n d_ey w_iy g_aa_n f_l_ay
f;22;houses on stilts in ancient hills;hh_aw_s_ah_z aa_n s_t_ih_l_t_s ih_n ey_n_ch_ah_n_t hh_ih_l_z
