Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;20;and I never thought that wed be this close we gotta vibe when we ride your like a brother;ah_n_d ay n_eh_v_er th_ao_t dh_ae_t w_iy_d b_iy dh_ih_s k_l_ow_s w_iy g_aa_t_ah v_ay_b w_eh_n w_iy r_ay_d y_ao_r l_ay_k ah b_r_ah_dh_er
n;34;look sometimes I feel like you mirror me cos you remind me of myself when we;l_uh_k s_ah_m_t_ay_m_z ay f_iy_l l_ay_k y_uw m_ih_r_er m_iy k_ao_s y_uw r_iy_m_ay_n_d m_iy ah_v m_ay_s_eh_l_f w_eh_n w_iy
h;4;lets raise those glasses nobody claimed that we lost it;l_eh_t_s r_ey_z dh_ow_z g_l_ae_s_ah_z n_ow_b_aa_d_iy k_l_ey_m_d dh_ae_t w_iy l_ao_s_t ih_t
n;35;dissagree;d_ih_s_ha_ah_g_r_iy
l;21;but your my lover so lets make a toast cos we just went from one year to;b_ah_t y_uh_r m_ay l_ah_v_er s_ow l_eh_t_s m_ey_k ah t_ow_s_t k_ao_s w_iy jh_ah_s_t w_eh_n_t f_r_ah_m w_ah_n y_ih_r t_uw
b;3;diamonds Ill put you in a Pharohs arms;d_ay_m_ah_n_d_z ay_l p_uh_t y_uw ih_n ah P_hh_ae_r_ax_hh_s aa_r_m_z
f;30;said we wouldn-t last but;s_eh_d w_iy w_uh_d_ah_n_t l_ae_s_t b_ah_t
n;39;different me;d_ih_f_r_ax_n_t m_iy
c;41;(me-);m_eh_eh
c;27;baby take my hand youre my everything;b_ey_b_iy t_ey_k m_ay hh_ae_n_d y_uw_r m_ay eh_v_r_iy_th_ih_ng
d;56;we share those laughs and a year goes fast but can-t wait till another year;w_iy sh_eh_r dh_ow_z l_ae_f_s ah_n_d ah y_ih_r g_ow_z f_ae_s_t b_ah_t k_ae_n_t w_ey_t t_ih_l ah_n_ah_dh_er y_ih_r
q;42;stung like I was hit with a wasp and a killer bee for the first time like I;s_t_ah_ng l_ay_k ay w_ah_z hh_ih_t w_ih_dh ah w_aa_s_p ah_n_d ah k_ih_l_er b_iy f_ao_r dh_ah f_er_s_t t_ay_m l_ay_k ay
d;9;only thing changed now im car sick;ow_n_l_iy th_ih_ng ch_ey_n_jh_d n_aw ih_m k_aa_r s_ih_k
a;6;everyone staring at your frame when your passing;eh_v_r_iy_w_ah_n s_t_eh_r_ih_ng ae_t y_ao_r f_r_ey_m w_eh_n y_uh_r p_ae_s_ih_ng
e;10;why cause youre driving me crazy;w_ay k_aa_z y_uw_r d_r_ay_v_ih_ng m_iy k_r_ey_z_iy
a;51;year goes past;y_ih_r g_ow_z p_ae_s_t
a;53;goes past;g_ow_z p_ae_s_t
c;32;we fall in love we fall in love we fall in love again;w_iy f_aa_l ih_n l_ah_v w_iy f_aa_l ih_n l_ah_v w_iy f_aa_l ih_n l_ah_v ah_g_eh_n
d;37;inferno physically;ih_n_f_er_n_ow f_ih_z_ih_k_ah_l_iy
f;50;and we share those laughs and a year goes fast but can-t wait till another;ah_n_d w_iy sh_eh_r dh_ow_z l_ae_f_s ah_n_d ah y_ih_r g_ow_z f_ae_s_t b_ah_t k_ae_n_t w_ey_t t_ih_l ah_n_ah_dh_er
d;40;and this (is) weird isnt me and this (is) Lauryn Hill softly killing;ah_n_d dh_ih_s ih_z w_ih_r_d ih_z_ih_m_t m_iy ah_n_d dh_ih_s ih_z L_ah_uw_r_ax_n hh_ih_l s_ao_f_t_l_iy k_ih_l_ih_ng
a;55;goes past;g_ow_z p_ae_s_t
e;29;youre my heart and youre my head they;y_uw_r m_ay hh_aa_r_t ah_n_d y_uw_r m_ay hh_eh_d dh_ey
a;2;grinding tryna make your ear lobes glass;g_r_ay_n_d_ih_ng t_r_ih_n_ah m_ey_k y_ao_r ih_r l_ow_b_z g_l_ae_s
e;15;im tryin to stay on my feet cos im lazy;ih_m t_r_ay_iy_n t_uw s_t_ey aa_n m_ay f_iy_t k_ao_s ih_m l_ey_z_iy
g;48;now were on our victory lap on the winning line;n_aw w_er aa_n aw_r v_ih_k_t_ax_r_ih l_ae_p aa_n dh_ah w_ih_n_ih_ng l_ay_n
p;38;yeh and I never acted spiritually untill I saw mini me looking like a;y_eh ah_n_d ay n_eh_v_er ae_k_t_ah_d s_p_ih_r_ih_ch_ah_w_ah_l_iy ah_n_t_ih_l ay s_ao m_ih_n_iy m_iy l_uh_k_ih_ng l_ay_k ah
f;24;like a brother;l_ay_k ah b_r_ah_dh_er
f;25;but your my lover;b_ah_t y_uh_r m_ay l_ah_v_er
e;13;one day we will have a bunch like bradies;w_ah_n d_ey w_iy w_ah_l hh_ae_v ah b_ah_n_ch l_ay_k b_r_ey_d_iy_s
m;23;and I never thought that wed be this close we gotta vibe when we ride your;ah_n_d ay n_eh_v_er th_ao_t dh_ae_t w_iy_d b_iy dh_ih_s k_l_ow_s w_iy g_aa_t_ah v_ay_b w_eh_n w_iy r_ay_d y_ao_r
g;46;earth where we didn-t shine;er_th w_eh_r w_iy d_ih_d_n_t sh_ay_n
a;57;goes past;g_ow_z p_ae_s_t
o;45;yeah and let me spring through the winter time there ain-t a season on;y_ae ah_n_d l_eh_t m_iy s_p_r_ih_ng th_r_uw dh_ah w_ih_n_t_er t_ay_m dh_eh_r ey_n_t ah s_iy_z_ah_n aa_n
b;12;when I have half on a scalies;w_eh_n ay hh_ae_v hh_ae_f aa_n ah s_k_aa_l_iy_er_s
e;11;we just went half-s on a baby;w_iy jh_ah_s_t w_eh_n_t hh_ae_f_s aa_n ah b_ey_b_iy
d;43;lost my virginity;l_ao_s_t m_ay v_er_jh_ih_n_ah_t_iy
g;47;they never thought that wed make it to the finish line;dh_ey n_eh_v_er th_ao_t dh_ae_t w_iy_d m_ey_k ih_t t_uw dh_ah f_ih_n_ih_sh l_ay_n
f;17;cos if we make one it will break us;k_ao_s ah_f w_iy m_ey_k w_ah_n ih_t w_ah_l b_r_ey_k ah_s
f;19;we should make a toast cos we just went from one year to another;w_iy sh_uh_d m_ey_k ah t_ow_s_t k_ao_s w_iy jh_ah_s_t w_eh_n_t f_r_ah_m w_ah_n y_ih_r t_uw ah_n_ah_dh_er
c;28;well we made it through the storm again;w_eh_l w_iy m_ey_d ih_t th_r_uw dh_ah s_t_ao_r_m ah_g_eh_n
i;5;we just overcame all the crosses;w_iy jh_ah_s_t ow_v_er_k_ey_m ao_l dh_ah k_r_ao_s_ah_z
a;1;i can-t wait till another years goes past;ay k_ae_n_t w_ey_t t_ih_l ah_n_ah_dh_er y_ih_r_z g_ow_z p_ae_s_t
d;54;we share those laughs and a year goes fast but can-t wait till another year;w_iy sh_eh_r dh_ow_z l_ae_f_s ah_n_d ah y_ih_r g_ow_z f_ae_s_t b_ah_t k_ae_n_t w_ey_t t_ih_l ah_n_ah_dh_er y_ih_r
a;8;i ain-t changed im a bastard;ay ey_n_t ch_ey_n_jh_d ih_m ah b_ae_s_t_er_d
f;22;another;ah_n_ah_dh_er
a;31;every year that passes;eh_v_er_iy y_ih_r dh_ae_t p_ae_s_ah_z
e;14;right now we just gotta wait no creating;r_ay_t n_aw w_iy jh_ah_s_t g_aa_t_ah w_ey_t n_ow k_r_iy_ey_t_ih_ng
n;44;my head gone no guillitine I still get my game on dont finish me;m_ay hh_eh_d g_ao_n n_ow  ay s_t_ih_l g_eh_t m_ay g_ey_m aa_n d_aa_n_b f_ih_n_ih_sh m_iy
f;16;now u can never leave or replace love;n_aw ih_k k_ah_n n_eh_v_er l_iy_v ao_r r_ih_p_l_ey_s l_ah_v
a;0;its funny how we shared those laughs and a year goes fast;ih_t_s f_ah_n_iy hh_aw w_iy sh_eh_r_d dh_ow_z l_ae_f_s ah_n_d ah y_ih_r g_ow_z f_ae_s_t
d;52;we share those laughs and a year goes fast but can-t wait till another year;w_iy sh_eh_r dh_ow_z l_ae_f_s ah_n_d ah y_ih_r g_ow_z f_ae_s_t b_ah_t k_ae_n_t w_ey_t t_ih_l ah_n_ah_dh_er y_ih_r
c;7;used to get me jealous;y_uw_z_d t_uw g_eh_t m_iy jh_eh_l_ah_s
o;36;arguements always seemed verbal literally then wed get hotter than an; ao_l_w_ey_z s_iy_m_d v_er_b_ah_l l_ih_t_er_ah_l_iy dh_eh_n w_iy_d g_eh_t hh_aa_t_er dh_ae_n ae_n
