Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;4;oh Arnold Layne its not the same;ow aa_r_n_ah_l_d l_ey_n ih_t_s n_ax_t dh_ah s_ey_m
d;3;see through baby blue he dug it;s_iy th_r_uw b_ey_b_iy b_l_uw hh_iy d_ah_g ah_t
f;7;why can-t you see;w_ay k_ae_n_t y_uw s_iy
c;2;on the wall hung a tall mirror distorted view;aa_n dh_iy w_ao_l hh_ah_ng ey t_ao_l m_ih_r_er d_ih_s_t_ao_r_t_ah_d v_y_uw
a;6;two to know two to know;t_uw t_uw n_ow t_uw t_uw n_ow
a;5;takes two to know two to know;t_ey_k_s t_uw t_uw n_ow t_uw t_uw n_ow
b;10;they gave him time doors clang chain gang he hates it;dh_ey g_ey_v hh_ih_m t_ay_m d_ao_r_z k_l_ae_ng ch_ey_n g_ae_ng hh_iy hh_ey_t_s ih_t
g;8;Arnold Layne Arnold Layne don-t do it again;aa_r_n_ah_l_d l_ey_n aa_r_n_ah_l_d l_ey_n d_ow_n_t d_uw ih_t ah_g_eh_n
b;9;now hes caught a nasty sort of person;n_aw hh_iy_s k_aa_t ah n_ae_s_t_iy s_ao_r_t ah_v p_er_s_ah_n
b;1;moonshine washing line they suit him fine;m_uw_n_sh_ay_n w_aa_sh_ih_ng l_ay_n dh_ey s_uw_t ih_m f_ay_n
a;0;Arnold Layne had a strange hobby collecting clothes;aa_r_n_ah_l_d l_ey_n hh_ae_d ey s_t_r_ey_n_jh hh_aa_b_iy k_ah_l_eh_k_t_ih_ng k_l_ow_dh_z
