Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;45;(is) the mood right tell me (is) the mood right;ih_z dh_ah m_uw_d r_ay_t t_eh_l m_iy ah_z dh_iy m_uw_d r_ay_t
b;61;she could never miss a flight cuz I made her Mrs Fly man;sh_iy k_uh_d n_eh_v_er m_ih_s ah f_l_ay_t k_ah_z ay m_ey_d hh_er m_ih_s_ah_z f_l_ay m_ae_n
i;60;think she slick when she missin I;th_ih_ng_k sh_iy s_l_ih_k w_eh_n sh_iy m_ih_s_iy_n ay
o;29;but she got a man he wanna fight me;b_ah_t sh_iy g_aa_t ah m_ae_n hh_iy w_aa_n_ah f_ay_t m_iy
i;4;and everybody here thank god that we made it;ah_n_d eh_v_r_iy_b_aa_d_iy hh_ih_r th_ae_ng_k g_aa_d dh_ah_t w_iy m_ey_d ah_t
i;42;so baby (is) you down or what;s_ow b_ey_b_iy ih_z y_uw d_aw_n ao_r w_ah_t
a;20;and I know that you ain-t used to this;ah_n_d ay n_ow dh_ae_t y_uw ey_n_t y_uw_z_d t_uw dh_ih_s
d;8;but really Im down to earth Im not your typical guy;b_ah_t r_iy_l_iy ay_m d_aw_n t_uw er_th ay_m n_ax_t y_uh_r t_ih_p_ah_k_ah_l g_ay
e;17;them just hatin niggas baby please don-t mind them;dh_eh_m jh_ah_s_t hh_ae_t_iy_n n_ih_g_ae_s b_ey_b_iy p_l_iy_z d_ow_n_t m_ay_n_d dh_eh_m
l;6;im just sayin don-t reveal em to the other side otherwise;ay_m jh_ah_s_t s_ey_iy_n d_ow_n_t r_ih_v_iy_l eh_m t_uw dh_ah ah_dh_er s_ay_d ah_dh_er_w_ay_z
g;43;its the smokers club you should get down with us;ih_t_s dh_ah s_m_ow_k_er_z k_l_ah_b y_uw sh_uh_d g_eh_t d_aw_n w_ih_dh ah_s
g;51;take you to the smokers club;t_ey_k y_uw t_uw dh_ah s_m_ow_k_er_z k_l_ah_b
h;55;we could go to lazy town cuz I want the noggin;w_iy k_uh_d g_ow t_uw l_ey_z_iy t_aw_n k_ah_z ay w_aa_n_t dh_ah n_aa_g_iy_n
d;25;i got something we can do to night;ay g_aa_t s_ah_m_th_ih_ng w_iy k_ah_n d_uw t_uw n_ay_t
o;32;you should write me;y_uw sh_uh_d r_ay_t m_iy
d;23;the candles lit (as) if the mood (is) right;dh_ah k_ae_n_d_ah_l_z l_ih_t ae_z ah_f dh_ah m_uw_d ih_z r_ay_t
f;36;we can head out to the islands fine dinin;w_iy k_ah_n hh_eh_d aw_t t_uw dh_ah ay_l_ah_n_d_z f_ay_n d_iy_n_iy_m
