Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;0;theres a slow train coming;dh_eh_r_s ah s_l_ow t_r_ey_n k_ah_m_ih_ng
e;15;though some day Ill be there;dh_ow s_ah_m d_ey ay_l b_iy dh_eh_r
e;14;and I can-t quite see there;ah_n_d ay k_ae_n_t k_w_ay_t s_iy dh_eh_r
c;4;from a blue horizon;f_r_ah_m ah b_l_uw hh_er_ay_z_ah_n
c;18;let it shine;l_eh_t ih_t sh_ay_n
b;20;only (as) far (as) I can see;ow_n_l_iy ae_z f_aa_r ae_z ay k_ah_n s_iy
d;10;theres a safe house waiting;dh_eh_r_s ah s_ey_f hh_aw_s w_ey_t_ih_ng
f;5;that I keep my eyes on;dh_ae_t ay k_iy_p m_ay ay_z aa_n
g;6;and I search constantly;ah_n_d ay s_er_ch k_aa_n_s_t_ah_n_t_l_iy
c;12;some way down the line;s_ah_m w_ey d_aw_n dh_ah l_ay_n
c;16;and I look for the sign;ah_n_d ay l_uh_k f_ao_r dh_ah s_ay_n
d;11;that I know (is) waiting;dh_ae_t ay n_ow ih_z w_ey_t_ih_ng
a;8;let it come;l_eh_t ih_t k_ah_m
a;1;from the distance coming;f_r_ah_m dh_ah d_ih_s_t_ah_n_s k_ah_m_ih_ng
b;2;(as) far (as) I can see;ae_z f_aa_r ae_z ay k_ah_n s_iy
