Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;4;and with time I-Ve come to find this Isn-T my home;ah_n_d w_ih_dh t_ay_m ay_v k_ah_m t_uw f_ay_n_d dh_ih_s ih_z_ah_n_t m_ay hh_ow_m
b;7;the tears of the broken have washed away my soul;dh_ah t_eh_r_z ah_v dh_ah b_r_ow_k_ah_n hh_ae_v w_aa_sh_t ah_w_ey m_ay s_ow_l
a;1;ive built my life on judgment and causing pain;ay_v b_ih_l_t m_ay l_ay_f aa_n jh_ah_jh_m_ah_n_t ah_n_d k_aa_z_ih_ng p_ey_n
b;8;pushed By desire to change the way my stream will flow;p_uh_sh_t b_ay d_ah_z_ay_r t_uw ch_ey_n_jh dh_ah w_ey m_ay s_t_r_iy_m w_ah_l f_l_ow
c;11;woodentoaster;w_uh_d_ah_n_ha_t_ow_s_t_er
b;2;i don-t know those eyes I see in the bloodstained chrome;ay d_ow_n_t n_ow dh_ow_z ay_z ay s_iy ih_n dh_ah b_l_ah_d_s_t_ey_n_d k_r_ow_m
b;6;ive stoked the fire seen more pain than you can know;ay_v s_t_ow_k_t dh_ah f_ay_er s_iy_n m_ao_r p_ey_n dh_ae_n y_uw k_ah_n n_ow
b;9;now Ive awoken and Im taking back control;n_aw ay_v aa_w_ow_k_ah_n ah_n_d ay_m t_ey_k_ih_ng b_ae_k k_ah_n_t_r_ow_l
c;0;what cause have I to feel glad;hh_w_ah_t k_aa_z hh_ae_v ay t_ah f_iy_l g_l_ae_d
a;3;now everything that Ive had and everything Ive known have been thrown away;n_aw eh_v_r_iy_th_ih_ng dh_ah_t ay_v hh_ae_d ah_n_d eh_v_r_iy_th_ih_ng ay_v n_ow_n hh_ae_v b_ih_n th_r_ow_n ah_w_ey
