Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;8;throughout your whole life;th_r_uw_aw_t y_ao_r hh_ow_l l_ay_f
d;7;and it goes back and forth;ah_n_d ih_t g_ow_z b_ae_k ah_n_d f_ao_r_th
i;9;one second youve got the most beautiful girl in the world;w_ah_n s_eh_k_ah_n_d y_uw_v g_aa_t dh_ah m_ow_s_t b_y_uw_t_ah_f_ah_l g_er_l ih_n dh_ah w_er_l_d
c;3;life your whole life (is) changes;l_ay_f y_ao_r hh_ow_l l_ay_f ih_z ch_ey_n_jh_ah_z
g;2;and youre bit surprised what you see;ah_n_d y_uw_r b_ih_t s_ax_p_r_ay_z_d w_ah_t y_uw s_iy
d;17;and it goes back and forth;ah_n_d ih_t g_ow_z b_ae_k ah_n_d f_ao_r_th
c;12;and this (is) life man it changes;ah_n_d dh_ih_s ih_z l_ay_f m_ae_n ih_t ch_ey_n_jh_ah_z
c;15;im going through changes;ay_m g_ow_ih_ng th_r_uw ch_ey_n_jh_ah_z
d;10;next second you don-t even have a girlfriend no more;n_eh_k_s_t s_eh_k_ah_n_d y_uw d_ow_n_t iy_v_ah_n hh_ae_v ah g_er_l_f_r_eh_n_d n_ow m_ao_r
f;20;never;n_eh_v_er
b;4;you go through changes in your life;y_uw g_ow th_r_uw ch_ey_n_jh_ah_z ih_n y_ao_r l_ay_f
e;18;and back and forth you know;ah_n_d b_ae_k ah_n_d f_ao_r_th y_uw n_ow
e;11;and it goes back and forth and back and forth you know;ah_n_d ih_t g_ow_z b_ae_k ah_n_d f_ao_r_th ah_n_d b_ae_k ah_n_d f_ao_r_th y_uw n_ow
a;0;i don-t like to be back;ay d_ow_n l_ay_k t_ah b_iy b_ae_k
c;14;im going through changes;ay_m g_ow_ih_ng th_r_uw ch_ey_n_jh_ah_z
a;21;land;l_ae_n_d
c;16;im going through changes;ay_m g_ow_ih_ng th_r_uw ch_ey_n_jh_ah_z
f;19;never;n_eh_v_er
b;1;you see things in life;y_uw s_iy th_ih_ng_z ih_n_ch l_ay_f
h;6;next second youre down in the dumps;n_eh_k_s_t s_eh_k_ah_n_d y_uw_r d_aw_n ih_n dh_ah d_ah_m_p_s
c;5;one second youve got it made;w_ah_n s_eh_k_ah_n_d y_uw_v g_aa_t ih_t m_ey_d
b;13;this (is) what you gotta go through throughout your whole lifetime;dh_ih_s ih_z w_ah_t y_uw g_aa_t_ah g_ow th_r_uw th_r_uw_aw_t y_ao_r hh_ow_l l_ay_f_t_ay_m
