Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;14;a warm sun rises and ignites the bay;ah w_ao_r_m s_ah_n r_ay_z_ah_z ah_n_d ih_g_n_ay_t_s dh_ah b_ey
a;11;what (is) my fate am I supposed to pray;w_ah_t ih_z m_ay f_ey_t ae_m ay s_ah_p_ow_z_d t_uw p_r_ey
b;3;why don-t you open your blue eyes;w_ay d_ow_n_t y_uw ow_p_ah_n y_ao_r b_l_uw ay_z
c;12;that troubles gone with the sunlight;dh_ae_t t_r_ah_b_ah_l_z g_ao_n w_ih_dh dh_ah s_ah_n_l_ay_t
a;18;what are the words that Im supposed to say;w_ah_t aa_r dh_ah w_er_d_z dh_ae_t ay_m s_ah_p_ow_z_d t_uw s_ey
b;1;your white skin swirling fireflies;y_ao_r w_ay_t s_k_ih_n s_w_er_l_ih_ng f_ay_er_f_l_ay_z
a;9;what (is) the price am I supposed to pay;w_ah_t ih_z dh_ah p_r_ay_s ae_m ay s_ah_p_ow_z_d t_uw p_ey
a;16;ill never come back to Baltimore bay;ay_l n_eh_v_er k_ah_m b_ae_k t_uw b_ao_l_t_ah_m_ao_r b_ey
c;20;if your body rises to the surface;ah_f y_ao_r b_aa_d_iy r_ay_z_ah_z t_uw dh_ah s_er_f_ah_s
a;0;what are the words that Im supposed to say;w_ah_t aa_r dh_ah w_er_d_z dh_ae_t ay_m s_ah_p_ow_z_d t_uw s_ey
b;17;try to forget the fireflies;t_r_ay t_uw f_ax_g_eh_t dh_ah f_ay_er_f_l_ay_z
b;15;i come back home and start to cry;ay k_ah_m b_ae_k hh_ow_m ah_n_d s_t_aa_r_t t_uw k_r_ay
b;19;if someone knew about this lie;ah_f s_ah_m_w_ah_n n_uw ah_b_aw_t dh_ih_s l_ay
a;6;(as) I let you sink in Baltimore bay;ae_z ay l_eh_t y_uw s_ih_ng_k ih_n b_ao_l_t_ah_m_ao_r b_ey
a;2;darkness has surrounded Baltimore bay;d_aa_r_k_n_ah_s hh_ah_z s_er_aw_n_d_ah_d b_ao_l_t_ah_m_ao_r b_ey
a;4;are they things that water can-t wash away;aa_r dh_ey th_ih_ng_z dh_ae_t w_ao_t_er k_ae_n_t w_aa_sh ah_w_ey
b;21;through the silence of fireflies;th_r_uw dh_ah s_ay_l_ah_n_s ah_v f_ay_er_f_l_ay_z
b;10;for all the things I try to hide;f_ao_r ao_l dh_ah th_ih_ng_z ay t_r_ay t_uw hh_ay_d
a;7;i drown myself deep in disgrace;ay d_r_aw_n m_ay_s_eh_l_f d_iy_p ih_n d_ih_s_g_r_ey_s
a;5;how can your absence leave no trace;hh_aw k_ah_n y_ao_r ae_b_s_ah_n_s l_iy_v n_ow t_r_ey_s
