Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;3;all at once;ao_l ae_t w_ah_n_s
b;2;about nothing and everything;ah_b_aw_t n_ah_th_ih_ng ah_n_d eh_v_r_iy_th_ih_ng
i;7;no doubt about it;n_ow d_aw_t ah_b_aw_t ih_t
c;35;it all keeps adding up;ih_t ao_l k_iy_p_s ae_d_ih_ng ah_p
h;34;sometimes my mind sneaks up on me;s_ah_m_t_ay_m_z m_ay m_ay_n_d s_n_iy_k_s ah_p aa_n m_iy
e;33;sometimes I give myself the creeps;s_ah_m_t_ay_m_z ay g_ih_v m_ay_s_eh_l_f dh_ah k_r_iy_p_s
c;36;i think im cracking up;ay th_ih_ng_k ih_m k_r_ae_k_ih_ng ah_p
l;10;sometimes my mind sneaks up on me;s_ah_m_t_ay_m_z m_ay m_ay_n_d s_n_iy_k_s ah_p aa_n m_iy
d;6;neurotic to the bone;n_uh_r_aa_t_ih_k t_uw dh_ah b_ow_n
m;15;i went to a shrink;ay w_eh_n_t t_uw ah sh_r_ih_ng_k
d;13;am I just paranoid or am I jsut stoned;ae_m ay jh_ah_s_t p_eh_r_ah_n_oy_d ao_r ae_m ay j_s_uw_t s_t_ow_n_d
c;26;it all keeps adding up;ih_t ao_l k_iy_p_s ae_d_ih_ng ah_p
d;37;am I just paranoid or am I just stoned;ae_m ay jh_ah_s_t p_eh_r_ah_n_oy_d ao_r ae_m ay jh_ah_s_t s_t_ow_n_d
g;20;he said my life-s a bore;hh_iy s_eh_d m_ay l_ay_f_s ah b_ao_r
d;4;i am one of those;ay ae_m w_ah_n ah_v dh_ow_z
h;5;melodramatic fools;m_eh_l_ah_d_r_ah_m_ae_t_ih_k f_uw_l_z
d;30;grasping to control;g_r_ae_s_p_ih_ng t_uw k_ah_n_t_r_ow_l
c;27;i think im cracking up;ay th_ih_ng_k ih_m k_r_ae_k_ih_ng ah_p
f;18;thats bringing me down;dh_ae_t_s b_r_ih_ng_ih_ng m_iy d_aw_n
a;1;to listen to me whine;t_uw l_ih_s_ah_n t_uw m_iy w_ay_n
g;19;i went to a whore;ay w_eh_n_t t_uw ah hh_ao_r
l;25;sometimes my mind sneaks up on me;s_ah_m_t_ay_m_z m_ay m_ay_n_d s_n_iy_k_s ah_p aa_n m_iy
e;16;to analyze my dreams;t_uw ae_n_ah_l_ay_z m_ay d_r_iy_m_z
c;11;it all keeps adding up;ih_t ao_l k_iy_p_s ae_d_ih_ng ah_p
e;9;sometimes I give myself the creeps;s_ah_m_t_ay_m_z ay g_ih_v m_ay_s_eh_l_f dh_ah k_r_iy_p_s
a;21;so quit my whining;s_ow k_w_ih_t m_ay w_ay_n_ih_ng
b;17;she says its lack of sex;sh_iy s_eh_z ih_t_s l_ae_k ah_v s_eh_k_s
d;28;am I just paranoid or am I jsut stoned;ae_m ay jh_ah_s_t p_eh_r_ah_n_oy_d ao_r ae_m ay j_s_uw_t s_t_ow_n_d
c;12;i think im cracking up;ay th_ih_ng_k ih_m k_r_ae_k_ih_ng ah_p
f;22;cause its bringing her down;k_aa_z ih_t_s b_r_ih_ng_ih_ng hh_er d_aw_n
n;31;so I better hold on;s_ow ay b_eh_t_er hh_ow_l_d aa_n
e;24;sometimes I give myself the creeps;s_ah_m_t_ay_m_z ay g_ih_v m_ay_s_eh_l_f dh_ah k_r_iy_p_s
a;0;do you have the time;d_uw y_uw hh_ae_v dh_ah t_ay_m
