Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
m;19;over the course something like (life-endorsed);ow_v_er dh_ah k_ao_r_s s_ah_m_th_ih_ng l_ay_k l_ay_f_ih_n_d_ao_s_t
b;9;ill tell you when Im finished Im armed to armageddon;ay_l t_eh_l y_uw w_eh_n ay_m f_ih_n_ih_sh_t ay_m aa_r_m_d t_uw aa_r_m_ah_g_eh_d_ah_n
b;7;you shouldn-t have assumed wed take time to breath;y_uw sh_uh_d_ah_n_t hh_ae_v ah_s_uw_m_d w_iy_d t_ey_k t_ay_m t_uw b_r_eh_th
b;10;hard headed with the steel ball pulse heart imbedded;hh_aa_r_d hh_eh_d_ah_d w_ih_dh dh_ah s_t_iy_l b_ao_l p_ah_l_s hh_aa_r_t ih_m_b_eh_d_ah_d
a;2;armed with honesty Doven wove in tapestry;aa_r_m_d w_ah_dh aa_n_ah_s_t_iy D_oh_v_ax_n w_ow_v ih_n_ch t_ae_p_ah_s_t_r_iy
d;13;if at first we suceed try again;ah_f ae_t f_er_s_t w_iy s_ah_s_e_er_d t_r_ay ah_g_eh_n
d;11;its hard to believe this (is) controlled by a brain;ih_t_s hh_aa_r_d t_uw b_ah_l_iy_v dh_ih_s ih_z k_ah_n_t_r_ow_l_d b_ay ah b_r_ey_n
b;20;ive entered the mother ship terminated the Denver airport;ay_v eh_n_t_ax_d dh_ah m_ah_dh_er sh_ih_p t_er_m_ah_n_ey_t_ah_d dh_ah d_eh_n_v_er eh_r_p_ao_r_t
b;29;corrosive breath fermented tissue acid test;k_er_ow_s_ih_v b_r_eh_th f_er_m_eh_n_t_ah_d t_ih_s_y_uw ae_s_ah_d t_eh_s_t
b;16;confidence (is) king innocence (is) dead;k_aa_n_f_ah_d_ah_n_s ih_z k_ih_ng ih_n_ah_s_ah_n_s ih_z d_eh_d
a;31;any event of contact to clack;eh_n_iy ih_v_eh_n_t ah_v k_aa_n_t_ae_k_t t_uw k_l_ae_k
c;8;fuck tricks Ive got alot more weapons up my sleeve;f_ah_k t_r_ih_k_s ay_v g_aa_t ah_l_aa_t m_ao_r w_eh_p_ah_n_z ah_p m_ay s_l_iy_v
b;28;the only three certain things in this life and death;dh_ah ow_n_l_iy th_r_iy s_er_t_ah_n th_ih_ng_z ih_n dh_ih_s l_ay_f ah_n_d d_eh_th
a;26;ya-ll gonna see my phoenix rise out my black ass;y_aa_l g_aa_n_ah s_iy m_ay f_iy_n_ih_k_s r_ay_z aw_t m_ay b_l_ae_k ae_s
i;6;cleared the path laughed and walked past the wounded;k_l_ih_r_d dh_ah p_ae_th l_ae_f_t ah_n_d w_ao_k_t p_ae_s_t dh_ah w_uw_n_d_ah_d
b;27;tads cash a loss of breath;t_ae_d_z k_ae_sh ah l_ao_s ah_v b_r_eh_th
b;15;manslaughter in the first Incidence of red;m_ae_n_s_l_ao_t_er ih_n dh_ah f_er_s_t ih_n_s_ah_d_ah_n_s ah_v r_eh_d
c;4;watch closely Im what youre pretending to be;w_aa_ch k_l_ow_s_l_iy ay_m w_ah_t y_uw_r p_r_iy_t_eh_n_d_ih_ng t_uw b_iy
b;23;or maybe you enjoy being severly severed;ao_r m_ey_b_iy y_uw ih_n_jh_oy b_iy_ih_ng s_eh_v_er_l_iy s_eh_v_er_d
f;0;mad Child;m_ae_d ch_ay_l_d
l;18;prevail;p_r_ih_v_ey_l
e;33;elevated elements and the knowing guards;eh_l_ah_v_ey_t_ah_d eh_l_ah_m_ah_n_t_s ah_n_d dh_ah n_ow_ih_ng g_aa_r_d_z
o;30;you trying to tell me entertaining (is) a time exspense;y_uw t_r_ay_ih_ng t_uw t_eh_l m_iy eh_n_t_er_t_ey_n_ih_ng ih_z ah t_ay_m eh_x_s_p_er_n_s_ax
