Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;73;its my grind its my rhyme;ih_t_s m_ay g_r_ay_n_d ih_t_s m_ay r_ay_m
a;0;she got that good good;sh_iy g_aa_t dh_ah_t g_uh_d g_uh_d
c;18;you can-t tell what we bout to see;y_uw k_ae_n_t t_eh_l w_ah_t w_iy b_aw_t t_uw s_iy
o;91;im just tryna be to man so be my girl and straight up do me;ay_m jh_ah_s_t t_r_ih_n_ah b_iy t_uw m_ae_n s_ow b_iy m_ay g_er_l ah_n_d s_t_r_ey_t ah_p d_uw m_iy
e;49;got your girl wet Im bout to take a dive;g_aa_t y_ao_r g_er_l w_eh_t ay_m b_aw_t t_uw t_ey_k ah d_ay_v
f;20;im coasting with the potion;ay_m k_ow_s_t_ih_ng w_ih_dh dh_ah p_ow_sh_ah_n
i;57;he ain-t me he boring;hh_iy ey_n_t m_iy hh_iy b_ao_r_ih_ng
u;46;got the dedication like b I;g_aa_t dh_ah d_eh_d_ah_k_ey_sh_ah_n l_ay_k b_iy ay
g;32;to her Im something like pearls;t_uw hh_er ay_m s_ah_m_th_ih_ng l_ay_k p_er_l_z
b;3;oh yea she poppin tags;ow y_ey sh_iy p_aa_p_ih_n t_ae_g_z
c;92;i get paper thats no loose leaf;ay g_eh_t p_ey_p_er dh_ae_t_s n_ow l_uw_s l_iy_f
g;30;when Im im done Im nutting like a squirrel;w_eh_n ay_m ih_m d_ah_n ay_m n_ah_t_ih_ng l_ay_k ah s_k_w_er_ah_l
p;12;i ain-t mean to put him out;ay ey_n_t m_iy_n t_uw p_uh_t hh_ih_m aw_t
e;74;and those diamonds that I got you plz don-t worry cuz thats your shine;ah_n_d dh_ow_z d_ay_m_ah_n_d_z dh_ae_t ay g_aa_t y_uw p_l_aa_z d_ow_n_t w_er_iy k_ah_z dh_ae_t_s y_ao_r sh_ay_n
m;94;dsj can make that bedrock;d_iy_z_ae k_ah_n m_ey_k dh_ae_t b_eh_d_r_aa_k
f;24;u just hit that demotion;ih_k jh_ah_s_t hh_ih_t dh_ae_t d_ih_m_ow_sh_ah_n
g;77;did I mention she got the works;d_ih_d ay m_eh_n_sh_ah_n sh_iy g_aa_t dh_ah w_er_k_s
c;26;so I bang bang no chief keef;s_ow ay b_ae_ng b_ae_ng n_ow ch_iy_f k_iy_f
c;8;only got love for my team;ow_n_l_iy g_aa_t l_ah_v f_ao_r m_ay t_iy_m
f;25;and yo girl asked for that lotion;ah_n_d y_ow g_er_l ae_s_k_t f_ao_r dh_ah_t l_ow_sh_ah_n
r;22;promotion Im goin;p_r_ax_m_ow_sh_n ay_m g_oy_n
l;67;and itll say tonight me and u dinner souffle;ah_n_d ih_t_l s_ey t_ah_n_ay_t m_iy ah_n_d ih_k d_ih_n_er s_uw_f_l_ey
d;15;and that be litterly;ah_n_d dh_ae_t b_iy l_ih_t_er_l_ih
e;87;but I like it so its coolie;b_ah_t ay l_ay_k ih_t s_ow ih_t_s k_uw_l_ay
n;88;and if them bitches think they hot my girl take them to tutti fruity;ah_n_d ah_f dh_eh_m b_ih_ch_ah_z th_ih_ng_k dh_ey hh_aa_t m_ay g_er_l t_ey_k dh_eh_m t_uw t_uw_t_iy f_r_uw_t_iy
l;69;he yesterday Im today;hh_iy y_eh_s_t_er_d_ey ay_m t_ah_d_ey
g;78;only into yoga pants so no skirts;ow_n_l_iy ih_n_t_uw y_ow_g_ah p_ae_n_t_s s_ow n_ow s_k_er_t_s
l;70;my Jordan-s they cool grey;m_ay jh_ao_r_d_ah_n_z dh_ey k_uw_l g_r_ey
b;6;n I wear that magnum tag;eh_n ay w_eh_r dh_ae_t m_ae_g_n_ah_m t_ae_g
e;72;no flavor flav its my time;n_ow f_l_ey_v_er f_l_ae_b_v ih_t_s m_ay t_ay_m
q;86;she get nasty like a loogi;sh_iy g_eh_t n_ae_s_t_iy l_ay_k ah g_iy
c;7;a 357 all up in these jeans;ah  ao_l ah_p ih_n dh_iy_z jh_iy_n_z
e;17;girl our future lookin bright;g_er_l aw_r f_y_uw_ch_er l_uh_k_iy_n b_r_ay_t
i;58;im soaring he snoring;ay_m s_ao_r_ih_ng hh_iy s_n_ao_r_ih_ng
b;37;wrapped up never stuck like a magnet;r_ae_p_t ah_p n_eh_v_er s_t_ah_k l_ay_k ah m_ae_g_n_ah_t
b;2;i swear she be worth the world and a brand new birkin bag;ay s_w_eh_r sh_iy b_iy w_er_th dh_iy w_er_l_d ah_n_d ey b_r_ae_n_d n_y_uw b_er_k_iy_n b_ae_g
c;55;she got this certain tude about her that my dream girl just wanna be;sh_iy g_aa_t dh_ih_s s_er_t_ah_n d_er ah_b_aw_t hh_er dh_ae_t m_ay d_r_iy_m g_er_l jh_ah_s_t w_aa_n_ah b_iy
t;42;whats happening its mr 825;w_ah_t_s hh_ae_p_ax_n_ih_ng ih_t_s m_ih_s_t_er 
l;66;and order u a bouquet;ah_n_d ao_r_d_er ih_k ah b_uw_k_ey
b;51;call me splash;k_ao_l m_iy s_p_l_ae_sh
e;82;she-s so fly she-s so high;s_hh_iy_z s_ow f_l_ay s_hh_iy_z s_ow hh_ay
n;85;im the shit u just Doookie thats why I get all the groupies;ay_m dh_ah sh_iy_t ih_k jh_ah_s_t  dh_ae_t_s w_ay ay g_eh_t ao_l dh_ah g_r_uw_p_iy_z
e;43;gettin live while we on live;s_eh_t_iy_n l_ay_v w_ay_l w_iy aa_n l_ay_v
o;10;only got one thing so I gotta say this to her;ow_n_l_iy g_aa_t w_ah_n th_ih_ng s_ow ay g_aa_t_ah s_ey dh_ih_s t_uw hh_er
c;27;when Im in the sheets or when Im on the beats;w_eh_n ay_m ih_n dh_ah sh_iy_t_s ao_r w_eh_n ay_m aa_n dh_ah b_iy_t_s
b;1;she Michael Jackson bad;sh_iy m_ay_k_ah_l jh_ae_k_s_ah_n b_ae_d
f;21;she love that d for the motion;sh_iy l_ah_v dh_ae_t d_iy f_ao_r dh_ah m_ow_sh_ah_n
f;93;u ain-t loosely girl u toned;ih_k ey_n_t l_uw_s_l_iy g_er_l ih_k t_ow_n_d
q;13;but darlin he just ain-t me;b_ah_t d_aa_r_l_ih_n hh_iy jh_ah_s_t ey_n_t m_iy
i;61;well groomed clean cut no forest;w_eh_l g_r_uw_m_d k_l_iy_n k_ah_t n_ow f_ao_r_ah_s_t
g;80;and we can get a little dirty with no dirt;ah_n_d w_iy k_ah_n g_eh_t ah l_ih_t_ah_l d_er_t_iy w_ih_dh n_ow d_er_t
b;52;im in love with that perfect ass;ay_m ih_n l_ah_v w_ih_dh dh_ae_t p_er_f_ih_k_t ae_s
a;59;he just talk I be touring;hh_iy jh_ah_s_t t_ao_k ay b_iy t_uh_r_ih_ng
