Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;16;cause I want someone to share my smile;k_aa_z ay w_aa_n_t s_ah_m_w_ah_n t_uw sh_eh_r m_ay s_m_ay_l
h;2;everything I know tell me I can-t let her;eh_v_r_iy_th_ih_ng ay n_ow t_eh_l m_iy ay k_ae_n_t l_eh_t hh_er
a;17;to share the pain to be there when the sea turns gray;t_uw sh_eh_r dh_ah p_ey_n t_uw b_iy dh_eh_r w_eh_n dh_ah s_iy t_er_n_z g_r_ey
a;15;i hoped she-d feel the same;ay hh_ow_p_t s_hh_iy_d f_iy_l dh_ah s_ey_m
e;24;i thought that it might have been;ay th_ao_t dh_ae_t ih_t m_ay_t hh_ae_v b_ih_n
h;21;and I thought that it might have been her;ah_n_d ay th_ao_t dh_ae_t ih_t m_ay_t hh_ae_v b_ih_n hh_er
a;7;to share the pain to be there when the sea turns gray;t_uw sh_eh_r dh_ah p_ey_n t_uw b_iy dh_eh_r w_eh_n dh_ah s_iy t_er_n_z g_r_ey
b;4;i took my time to find the words;ay t_uh_k m_ay t_ay_m t_uw f_ay_n_d dh_ah w_er_d_z
h;19;and I thought that it might have been her;ah_n_d ay th_ao_t dh_ae_t ih_t m_ay_t hh_ae_v b_ih_n hh_er
d;12;wonder if she knows;w_ah_n_d_er ah_f sh_iy n_ow_z
c;6;cause I want someone to share my smile;k_aa_z ay w_aa_n_t s_ah_m_w_ah_n t_uw sh_eh_r m_ay s_m_ay_l
h;9;and I thought that it might have been her;ah_n_d ay th_ao_t dh_ae_t ih_t m_ay_t hh_ae_v b_ih_n hh_er
b;18;to share the joy for better or worse;t_uw sh_eh_r dh_ah jh_oy f_ao_r b_eh_t_er ao_r w_er_s
f;0;everything I know tell me she-s everything;eh_v_r_iy_th_ih_ng ay n_ow t_eh_l m_iy s_hh_iy_z eh_v_r_iy_th_ih_ng
c;11;the way I saw her soul light up my life;dh_ah w_ey ay s_ao hh_er s_ow_l l_ay_t ah_p m_ay l_ay_f
g;1;that I could hope for;dh_ae_t ay k_uh_d hh_ow_p f_ao_r
f;25;i thought that it might have been her;ay th_ao_t dh_ae_t ih_t m_ay_t hh_ae_v b_ih_n hh_er
c;13;of the pain I feel tonight;ah_v dh_ah p_ey_n ay f_iy_l t_ah_n_ay_t
d;10;wonder if she knows;w_ah_n_d_er ah_f sh_iy n_ow_z
a;3;walk away;w_ao_k ah_w_ey
e;23;and I thought that it might have been;ah_n_d ay th_ao_t dh_ae_t ih_t m_ay_t hh_ae_v b_ih_n
h;22;and I thought that it might have been her;ah_n_d ay th_ao_t dh_ae_t ih_t m_ay_t hh_ae_v b_ih_n hh_er
h;20;and I thought that it might have been her;ah_n_d ay th_ao_t dh_ae_t ih_t m_ay_t hh_ae_v b_ih_n hh_er
a;5;i hoped she-d feel the same;ay hh_ow_p_t s_hh_iy_d f_iy_l dh_ah s_ey_m
b;8;to share the joy for better or worse;t_uw sh_eh_r dh_ah jh_oy f_ao_r b_eh_t_er ao_r w_er_s
b;14;i took my time to find the words;ay t_uh_k m_ay t_ay_m t_uw f_ay_n_d dh_ah w_er_d_z
