Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;41;but let me tell you something;b_ah_t l_eh_t m_iy t_eh_l y_uw s_ah_m_th_ih_ng
i;33;bet you all I got she ain-t hotter than me;b_eh_t y_uw ao_l ay g_aa_t sh_iy ey_n_t hh_aa_t_er dh_ae_n m_iy
i;27;betcha she don-t do you like me;b_eh_ch_ah sh_iy d_ow_n_t d_uw y_uw l_ay_k m_iy
c;31;you know that Im the one you really want;y_uw n_ow dh_ae_t ay_m dh_ah w_ah_n y_uw r_ih_l_iy w_aa_n_t
i;28;betcha top dollar she don-t move you like me;b_eh_ch_ah t_aa_p d_aa_l_er sh_iy d_ow_n m_uw_v y_uw l_ay_k m_iy
i;14;betcha she can-t rock it like me;b_eh_ch_ah sh_iy k_ae_n_t r_aa_k ih_t l_ay_k m_iy
i;11;betcha she;b_eh_ch_ah sh_iy
d;52;betcha she don-t betcha she won-t;b_eh_ch_ah sh_iy d_ow_n_t b_eh_ch_ah sh_iy w_ow_n_t
l;48;betcha that she don-t turn you on;b_eh_ch_ah dh_ae_t sh_iy d_ow_n_t t_er_n y_uw aa_n
c;49;you know that Im the one you really want;y_uw n_ow dh_ae_t ay_m dh_ah w_ah_n y_uw r_ih_l_iy w_aa_n_t
i;47;betcha she;b_eh_ch_ah sh_iy
b;18;i gotta be up front;ay g_aa_t_ah b_iy ah_p f_r_ah_n_t
c;7;cause when I see something I want I get what I want;k_aa_z w_eh_n ay s_iy s_ah_m_th_ih_ng ay w_aa_n_t ay g_eh_t w_ah_t ay w_aa_n_t
d;16;betcha she don-t betcha she won-t;b_eh_ch_ah sh_iy d_ow_n_t b_eh_ch_ah sh_iy w_ow_n_t
e;39;cause she-s not right;k_aa_z s_hh_iy_z n_ax_t r_ay_t
g;2;when you gon notice that;w_eh_n y_uw g_aa_n n_ow_t_ah_s dh_ae_t
i;25;trying to keep a hold on you while youre here with me;t_r_ay_ih_ng t_uw k_iy_p ah hh_ow_l_d aa_n y_uw w_ay_l y_uw_r hh_ih_r w_ih_dh m_iy
l;30;betcha that she don-t turn you on;b_eh_ch_ah dh_ae_t sh_iy d_ow_n_t t_er_n y_uw aa_n
i;32;betcha she can-t rock it like me;b_eh_ch_ah sh_iy k_ae_n_t r_aa_k ih_t l_ay_k m_iy
b;6;i heard that you got a girl but I can-t sweat that none;ay hh_er_d dh_ae_t y_uw g_aa_t ah g_er_l b_ah_t ay k_ae_n_t s_w_eh_t dh_ae_t n_ah_n
i;46;betcha top dollar she don-t move you like me;b_eh_ch_ah t_aa_p d_aa_l_er sh_iy d_ow_n_t m_uw_v y_uw l_ay_k m_iy
i;9;betcha she don-t do you like me;b_eh_ch_ah sh_iy d_ow_n_t d_uw y_uw l_ay_k m_iy
b;22;your girl says she loves you but;y_ao_r g_er_l s_eh_z sh_iy l_ah_v_z y_uw b_ah_t
f;1;wondering when you;w_ah_n_d_er_ih_ng w_eh_n y_uw
l;12;betcha that she don-t turn you on;b_eh_ch_ah dh_ae_t sh_iy d_ow_n_t t_er_n y_uw aa_n
b;19;and if I sound real blunt;ah_n_d ah_f ay s_aw_n_d r_iy_l b_l_ah_n_t
i;24;boy you know she must not be;b_oy y_uw n_ow sh_iy m_ah_s_t n_ax_t b_iy
m;23;i cannot pay attention to anything I hear from her;ay k_ae_n_aa_t p_ey ah_t_eh_n_sh_ah_n t_uw eh_n_iy_th_ih_ng ay hh_ih_r f_r_ah_m hh_er
i;29;betcha she;b_eh_ch_ah sh_iy
b;40;i ain-t trying to be a hater or nothing;ay ey_n_t t_r_ay_ih_ng t_uw b_iy ah hh_ey_t_er ao_r n_ah_th_ih_ng
i;10;betcha top dollar she don-t move you like me;b_eh_ch_ah t_aa_p d_aa_l_er sh_iy d_ow_n_t m_uw_v y_uw l_ay_k m_iy
a;4;just been hoping that maybe;jh_ah_s_t b_ih_n hh_ow_p_ih_ng dh_ae_t m_ey_b_iy
f;51;bet you all I got she ain-t hotter than me;b_eh_t y_uw ao_l ay g_aa_t sh_iy ey_n_t hh_aa_t_er dh_ae_n m_iy
d;34;betcha she don-t betcha she won-t;b_eh_ch_ah sh_iy d_ow_n_t b_eh_ch_ah sh_iy w_ow_n_t
i;15;bet you all I got she ain-t hotter than me;b_eh_t y_uw ao_l ay g_aa_t sh_iy ey_n_t hh_aa_t_er dh_ae_n m_iy
o;43;so now I gotta do my thing;s_ow n_aw ay g_aa_t_ah d_uw m_ay th_ih_ng
i;45;betcha she don-t do you like me;b_eh_ch_ah sh_iy d_ow_n_t d_uw y_uw l_ay_k m_iy
f;5;i can get you right where I want you;ay k_ah_n g_eh_t y_uw r_ay_t w_eh_r ay w_aa_n_t y_uw
c;13;you know that Im the one you really want;y_uw n_ow dh_ae_t ay_m dh_ah w_ah_n y_uw r_ih_l_iy w_aa_n_t
i;50;betcha she can-t rock it like me;b_eh_ch_ah sh_iy k_ae_n_t r_aa_k ih_t l_ay_k m_iy
f;0;ive been watching you;ay_v b_ih_n w_aa_ch_ih_ng y_uw
e;21;every time I see something I like;eh_v_er_iy t_ay_m ay s_iy s_ah_m_th_ih_ng ay l_ay_k
a;42;she lost her game;sh_iy l_ao_s_t hh_er g_ey_m
e;20;its only cause Im the type to put my feelings on the line;ih_t_s ow_n_l_iy k_aa_z ay_m dh_ah t_ay_p t_uw p_uh_t m_ay f_iy_l_ih_ng_z aa_n dh_ah l_ay_n
h;3;ive been looking all the while;ay_v b_ih_n l_uh_k_ih_ng ao_l dh_ah w_ay_l
e;36;youre so fine;y_uw_r s_ow f_ay_n
l;37;i want you to be the one;ay w_aa_n_t y_uw t_uw b_iy dh_ah w_ah_n
n;38;i call mine for sure;ay k_ao_l m_ay_n f_ao_r sh_uh_r
