Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;9;theres no one here;dh_eh_r_s n_ow w_ah_n hh_ih_r
b;13;you suggest I should take;y_uw s_ah_g_jh_eh_s_t ay sh_uh_d t_ey_k
a;2;a new religion prescribed;ey n_y_uw r_ah_l_ih_jh_ah_n p_r_iy_s_k_r_ay_b_d
g;17;the mob comes crawling out;dh_iy m_aa_b k_ah_m_z k_r_ao_l_ih_ng aw_t
e;5;and blood (is) not enough;ah_n_d b_l_ah_d ah_z n_ax_t iy_n_ah_f
c;10;and people everywhere youre on your own;ah_n_d p_iy_p_ah_l eh_v_r_iy_hh_w_eh_r y_uw_r aa_n y_ao_r ow_n
a;0;the blue pill opens your eyes;dh_iy b_l_uw p_ih_l ow_p_ah_n_z y_uh_r ay_z
a;18;im reclaiming my mind;ay_m r_iy_k_l_ey_m_ih_ng m_ay m_ay_n_d
a;16;your idols burn in the fire;y_uh_r ay_d_ah_l_z b_er_n ih_n_ch dh_iy f_ay_er
c;7;(is) it too late to go;ih_z ih_t t_uw l_ey_t t_uw g_ow
a;14;a (never-ending) supply;ey n_eh_v_ax_eh_n_d_ih_ng s_ah_p_l_ay
c;22;and people everywhere youre all alone;ah_n_d p_iy_p_ah_l eh_v_r_iy_w_eh_r y_uw_r ao_l ah_l_ow_n
a;12;lets see if Im hearing this right;w_iy_s s_iy ah_f ay_m hh_ih_r_ih_ng dh_ah_s r_ay_t
b;15;to carry out the day;t_ah k_ae_r_iy aw_t dh_iy d_ey
a;4;the hero holding a knife;dh_iy hh_ih_r_ow hh_ow_l_d_ih_ng ey n_ay_f
d;21;theres no one here;dh_eh_r_s n_ow w_ah_n hh_ih_r
b;3;to those without the faith;t_ah dh_ow_z w_ih_dh_aw_t dh_iy f_ey_th
b;1;(is) there a better way;ah_z dh_eh_r ey b_eh_t_er w_ey
e;19;destroying everyone;d_ah_s_t_r_oy_ih_ng eh_v_r_iy_w_ah_n
f;6;(is) it too late to go back;ih_z ih_t t_uw l_ey_t t_uw g_ow b_ae_k
