Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;2;im on my way to bigger things;ay_m aa_n m_ay w_ey t_uw b_ih_g_er th_ih_ng_z
a;17;im on my way to better things;ay_m aa_n m_ay w_ey t_uw b_eh_t_er th_ih_ng_z
b;5;or your location on a map;ao_r y_ao_r l_ow_k_ey_sh_ah_n aa_n ah m_ae_p
d;20;i wish you well;ay w_ih_sh y_uw w_eh_l
e;23;and Im not afraid to say it;ah_n_d ay_m n_ax_t ah_f_r_ey_d t_uw s_ey ih_t
c;25;its not the first time not the last time;ih_t_s n_ax_t dh_ah f_er_s_t t_ay_m n_ax_t dh_ah l_ae_s_t t_ay_m
b;14;its not the friends you thought you had;ih_t_s n_ax_t dh_ah f_r_eh_n_d_z y_uw th_ao_t y_uw hh_ae_d
a;1;your definition states that theyre not here;y_uh_r d_eh_f_ah_n_ih_sh_ah_n s_t_ey_t_s dh_ah_t dh_ey_r n_ax_t hh_ih_r
c;12;if I stay around I can feel alright;ah_f ay s_t_ey er_aw_n_d ay k_ah_n f_iy_l ao_l_r_ay_t
b;15;or your location on a map;ao_r y_ao_r l_ow_k_ey_sh_ah_n aa_n ah m_ae_p
a;7;im on my way to better things;ay_m aa_n m_ay w_ey t_uw b_eh_t_er th_ih_ng_z
c;18;its not the first time not the last time;ih_t_s n_ax_t dh_ah f_er_s_t t_ay_m n_ax_t dh_ah l_ae_s_t t_ay_m
c;11;ill be just fine;ay_l b_iy jh_ah_s_t f_ay_n
a;9;im on my way to better things;ay_m aa_n m_ay w_ey t_uw b_eh_t_er th_ih_ng_z
a;6;its what you feel in here;ih_t_s w_ah_t y_uw f_iy_l ih_n hh_ih_r
b;4;its not the friends you thought you had;ih_t_s n_ax_t dh_ah f_r_eh_n_d_z y_uw th_ao_t y_uw hh_ae_d
c;8;its not the first time not the last time;ih_t_s n_ax_t dh_ah f_er_s_t t_ay_m n_ax_t dh_ah l_ae_s_t t_ay_m
a;19;im on my way to better things;ay_m aa_n m_ay w_ey t_uw b_eh_t_er th_ih_ng_z
a;31;im on my way to better things;ay_m aa_n m_ay w_ey t_uw b_eh_t_er th_ih_ng_z
c;21;ill be just fine;ay_l b_iy jh_ah_s_t f_ay_n
f;22;home (is) where you make it;hh_ow_m ih_z w_eh_r y_uw m_ey_k ih_t
c;28;ill be just fine;ay_l b_iy jh_ah_s_t f_ay_n
a;29;im on my way to better things;ay_m aa_n m_ay w_ey t_uw b_eh_t_er th_ih_ng_z
d;27;i wish you well;ay w_ih_sh y_uw w_eh_l
a;3;i guess you wouldn-t know since youre not here;ay g_eh_s y_uw w_uh_d_ah_n_t n_ow s_ih_n_s y_uw_r n_ax_t hh_ih_r
a;26;im on my way to better things;ay_m aa_n m_ay w_ey t_uw b_eh_t_er th_ih_ng_z
e;13;but I know theres something else out there for me;b_ah_t ay n_ow dh_eh_r_s s_ah_m_th_ih_ng eh_l_s aw_t dh_eh_r f_ao_r m_iy
a;16;its what you feel in here;ih_t_s w_ah_t y_uw f_iy_l ih_n hh_ih_r
c;30;its not the first time not the last time;ih_t_s n_ax_t dh_ah f_er_s_t t_ay_m n_ax_t dh_ah l_ae_s_t t_ay_m
d;10;i wish you well;ay w_ih_sh y_uw w_eh_l
a;0;im on my way to better things;ay_m aa_n m_ay w_ey t_ah b_eh_t_er th_ih_ng_z
a;24;im on my way to better things;ay_m aa_n m_ay w_ey t_uw b_eh_t_er th_ih_ng_z
