Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;18;ill be the one;ay_l b_iy dh_ah w_ah_n
c;8;beware beware;b_ah_w_eh_r b_ah_w_eh_r
c;23;and yet a fist to clench;ah_n_d y_eh_t ah f_ih_s_t t_uw k_l_eh_n_ch
e;12;i hate the light of day;ay hh_ey_t dh_ah l_ay_t ah_v d_ey
f;4;no you don-t take me (as) I am;n_ow y_uw d_ow_n_t t_ey_k m_iy ae_z ay ae_m
c;25;beware beware;b_ah_w_eh_r b_ah_w_eh_r
g;7;ill be the one wholl make you fall;ay_l b_iy dh_ah w_ah_n hh_uw_l m_ey_k y_uw f_aa_l
g;5;no you don-t want to know at all;n_ow y_uw d_ow_n_t w_aa_n_t t_uw n_ow ae_t ao_l
f;16;no you don-t take me (as) I am;n_ow y_uw d_ow_n_t t_ey_k m_iy ae_z ay ae_m
a;0;i dress myself in black;ay d_r_eh_s m_ay_s_eh_l_f ih_n_ch b_l_ae_k
c;20;beware;b_ah_w_eh_r
f;26;ill be the one;ay_l b_iy dh_ah w_ah_n
a;2;i take my promise back;ay t_ey_k m_ay p_r_aa_m_ah_s b_ae_k
c;28;ill see you in hell;ay_l s_iy y_uw ih_n hh_eh_l
c;27;wait for me in hell;w_ey_t f_ao_r m_iy ih_n hh_eh_l
e;14;the stars shine on my way;dh_ah s_t_aa_r_z sh_ay_n aa_n m_ay w_ey
c;24;so wait for me in hell;s_ow w_ey_t f_ao_r m_iy ih_n hh_eh_l
e;13;im happy when it rains;ay_m hh_ae_p_iy w_eh_n ih_t r_ey_n_z
c;21;i am the night-s revenge;ay ae_m dh_ah n_ay_t_s r_iy_v_eh_n_jh
i;15;but the memory remains;b_ah_t dh_ah m_eh_m_ax_r_iy r_ih_m_ey_n_z
c;22;ive got a soul to sell;ay_v g_aa_t ah s_ow_l t_uw s_eh_l
b;1;in black from head to heels;ih_n_ch b_l_ae_k f_er_m hh_eh_d t_ah hh_iy_l_z
d;19;the one to take you under;dh_ah w_ah_n t_uw t_ey_k y_uw ah_n_d_er
c;11;beware;b_ah_w_eh_r
a;6;who (is) the face behind the mask;hh_uw ih_z dh_ah f_ey_s b_ah_hh_ay_n_d dh_ah m_ae_s_k
h;9;ill be the one;ay_l b_iy dh_ah w_ah_n
c;17;beware beware;b_ah_w_eh_r b_ah_w_eh_r
b;3;cause you don-t know how it feels;k_aa_z y_uw d_ow_n_t n_ow hh_aw ih_t f_iy_l_z
d;10;the one to take you under;dh_ah w_ah_n t_uw t_ey_k y_uw ah_n_d_er
