Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;11;a steadfast gathering;ey s_t_eh_d_f_ae_s_t g_ae_dh_er_ih_ng
f;2;none can defeat us;n_ah_n k_ae_n d_ah_f_iy_t y_uw_eh_s
e;14;change of Flame;ch_ey_n_jh ah_v f_l_ey_m
c;3;to pave the way for the new The birth of a legion;t_ah p_ey_v dh_iy w_ey f_r_er dh_iy n_y_uw dh_ah b_er_th ah_v ey l_iy_jh_ah_n
e;7;the end archaic;dh_iy eh_n_d aa_r_k_ey_ih_k
a;0;we stand in flames to defend this home;w_iy s_t_ae_n_d ih_n_ch f_l_ey_m_z t_ah d_ah_f_eh_n_d dh_ah_s hh_ow_m
d;4;so natural;s_ow n_ae_ch_r_ah_l
e;16;you threw it all away;y_uw th_r_uw ih_t ao_l ah_w_ey
h;8;dissension breeds within their hearts;d_ih_s_eh_n_sh_ah_n b_r_iy_d_z w_ih_th_ih_n dh_eh_r hh_aa_r_t_s
d;6;so natural;s_ow n_ae_ch_r_ah_l
f;10;to stand this ground stand our ground;t_ah s_t_ae_n_d dh_ah_s g_r_aw_n_d s_t_ae_n_d aa_r g_r_aw_n_d
b;1;not one;n_ax_t hh_w_ah_n
g;5;the order falls;dh_iy ao_r_d_er f_ao_l_z
c;15;the Birth of a Legion;dh_ah b_er_th ah_v ah l_iy_jh_ah_n
e;9;the haunting calls of devastation;dh_iy hh_ao_n_t_ih_ng k_ao_l_z ah_v d_eh_v_ah_s_t_ey_sh_ah_n
b;13;to witness this distance between us;t_uw w_ih_t_n_ah_s dh_ih_s d_ih_s_t_ah_n_s b_ah_t_w_iy_n ah_s
a;12;blunt force to erase all that weve known;b_l_ah_n_t f_ao_r_s t_ah iy_r_ey_s ao_l dh_ah_t w_iy_v n_ow_n
