Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;27;(as) I elevate through the pain and the hurt;ae_z ay eh_l_ah_v_ey_t th_r_uw dh_ah p_ey_n ah_n_d dh_ah hh_er_t
e;77;in the concrete coming up like a Makaveli rose;ih_n dh_ah k_ah_n_k_r_iy_t k_ah_m_ih_ng ah_p l_ay_k ah M_ah_k_ah_v_er_l_ax r_ow_z
a;67;take a moment send praise up;t_ey_k ah m_ow_m_ah_n_t s_eh_n_d p_r_ey_z ah_p
e;82;and I keep it popping and glowing and roller coasting;ah_n_d ay k_iy_p ih_t p_aa_p_ih_ng ah_n_d g_l_ow_ih_ng ah_n_d r_ow_l_er k_ow_s_t_ih_ng
s;89;now Im picking up the proceeds with both hands cause Im;n_aw ay_m p_ih_k_ih_ng ah_p dh_ah p_r_ow_s_iy_d_z w_ih_dh b_ow_th hh_ae_n_d_z k_aa_z ay_m
a;65;im blessed up blessed up;ay_m b_l_eh_s_t ah_p b_l_eh_s_t ah_p
a;72;keep walking with our heads up;k_iy_p w_ao_k_ih_ng w_ih_dh aw_r hh_eh_d_z ah_p
q;61;should-a blamed me blamed you;sh_ax_ao b_l_ey_m_d m_iy b_l_ey_m_d y_uw
a;35;and were blessed up blessed up;ah_n_d w_iy_r b_l_eh_s_t ah_p b_l_eh_s_t ah_p
e;76;shining chasing the glow;sh_ay_n_ih_ng ch_ey_s_ih_ng dh_ah g_l_ow
p;51;and friends wanna know what the basis (is);ah_n_d f_r_eh_n_d_z w_aa_n_ah n_ow w_ah_t dh_ah b_ey_s_ih_s ih_z
c;47;every time Im in the truck its on (mo-fucking) E;eh_v_er_iy t_ay_m ay_m ih_n dh_ah t_r_ah_k ih_t_s aa_n m_ao_f_ah_k_ih_ng iy
e;62;law called I wasn-t even home;l_aa k_ao_l_d ay w_oh_z_n_t iy_v_ah_n hh_ow_m
a;25;thank God Ive been show love;th_ae_ng_k g_aa_d ay_v b_ih_n sh_ow l_ah_v
a;69;and were blessed up blessed up;ah_n_d w_iy_r b_l_eh_s_t ah_p b_l_eh_s_t ah_p
a;37;even when life-s messed up;iy_v_ah_n w_eh_n l_ay_f_s m_eh_s_t ah_p
a;5;im blessed up blessed up;ay_m b_l_eh_s_t ah_p b_l_eh_s_t ah_p
h;60;remember when the cops came through;r_ih_m_eh_m_b_ax w_eh_n dh_ah k_aa_p_s k_ey_m th_r_uw
