Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;19;be patient oh the past;b_iy p_ey_sh_ah_n_t ow dh_ah p_ae_s_t
f;14;for everyone alone I wish you faith and hope;f_ao_r eh_v_r_iy_w_ah_n ah_l_ow_n ay w_ih_sh y_uw f_ey_th ah_n_d hh_ow_p
g;16;to be your own best friend;t_uw b_iy y_ao_r ow_n b_eh_s_t f_r_eh_n_d
b;28;the Lights;dh_ah l_ay_t_s
b;11;we were born of light;w_iy w_er b_ao_r_n ah_v l_ay_t
h;3;we just don-t understand but will;w_iy jh_ah_s_t d_ow_n_t ah_n_d_er_s_t_ae_n_d b_ah_t w_ah_l
c;17;have confidence and keep the faith;hh_ae_v k_aa_n_f_ah_d_ah_n_s ah_n_d k_iy_p dh_ah f_ey_th
e;8;heal your vines youll heal inside eventually;hh_iy_l y_ao_r v_ay_n_z y_uw_l hh_iy_l ih_n_s_ay_d ih_v_eh_n_ch_ah_w_ah_l_iy
b;23;we were born into a light;w_iy w_er b_ao_r_n ih_n_t_uw ah l_ay_t
b;29;the Lights;dh_ah l_ay_t_s
b;31;not the Lights;n_ax_t dh_ah l_ay_t_s
b;25;we were born of light;w_iy w_er b_ao_r_n ah_v l_ay_t
d;7;(is) just a memory and heal;ih_z jh_ah_s_t ah m_eh_m_ax_r_iy ah_n_d hh_iy_l
b;26;we were born into a light;w_iy w_er b_ao_r_n ih_n_t_uw ah l_ay_t
b;10;we were born into a light;w_iy w_er b_ao_r_n ih_n_t_uw ah l_ay_t
b;24;we were born into a light;w_iy w_er b_ao_r_n ih_n_t_uw ah l_ay_t
c;4;you got to keep the faith;y_uw g_aa_t t_uw k_iy_p dh_ah f_ey_th
f;15;and all the strength to cope;ah_n_d ao_l dh_ah s_t_r_eh_ng_k_th t_uw k_ow_p
a;6;be patient oh the past;b_iy p_ey_sh_ah_n_t ow dh_ah p_ae_s_t
a;1;there (is) a worried man;dh_eh_r ih_z ah w_er_iy_d m_ae_n
b;30;the Lights;dh_ah l_ay_t_s
b;12;we were born into a light;w_iy w_er b_ao_r_n ih_n_t_uw ah l_ay_t
d;20;(is) just a memory and heal;ih_z jh_ah_s_t ah m_eh_m_ax_r_iy ah_n_d hh_iy_l
b;2;there (is) a reason why;dh_eh_r ih_z ah r_iy_z_ah_n w_ay
e;21;heal your vines youll heal inside eventually;hh_iy_l y_ao_r v_ay_n_z y_uw_l hh_iy_l ih_n_s_ay_d ih_v_eh_n_ch_ah_w_ah_l_iy
g;0;for everything thats wrong;f_r_er eh_v_r_iy_th_ih_ng dh_ae_t_s r_ao_ng
