Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;31;ooh ooh la la the breathing and the dead;uw uw l_aa l_aa dh_ah b_r_iy_dh_ih_ng ah_n_d dh_ah d_eh_d
i;3;he brought you black and white roses from the unknown shores exotique;hh_iy b_r_ao_t y_uw b_l_ae_k ah_n_d w_ay_t r_ow_z_ah_z f_r_ah_m dh_ah ah_n_n_ow_n sh_ao_r_z eh_x_ao_t_iy_q_ax_ax
f;38;the swollen tongues hysteria;dh_ah s_w_ow_l_ah_n t_ah_ng_z hh_ih_s_t_eh_r_iy_ah
m;7;and they burn and they boil and soon your ship of sterling silver becomes a;ah_n_d dh_ey b_er_n ah_n_d dh_ey b_oy_l ah_n_d s_uw_n y_ao_r sh_ih_p ah_v s_t_er_l_ih_ng s_ih_l_v_er b_ih_k_ah_m_z ah
a;12;ooh la la the brass one and the satin;uw l_aa l_aa dh_ah b_r_ae_s w_ah_n ah_n_d dh_ah s_ae_t_ah_n
i;25;they get closer and closer;dh_ey g_eh_t k_l_ow_z_er ah_n_d k_l_ow_s_ax_r
b;6;but oh my blue faced traveler two suns scorch and sear above the ocean;b_ah_t ow m_ay b_l_uw f_ey_s_t t_r_ae_v_ah_l_er t_uw s_ah_n_z s_k_ao_r_ch ah_n_d s_ih_r ah_b_ah_v dh_ah ow_sh_ah_n
d;16;to the solar twins hovering overhead;t_uw dh_ah s_ow_l_er t_w_ih_n_z hh_ah_v_er_ih_ng ow_v_er_hh_eh_d
f;20;the swollen tongues hysteria;dh_iy s_w_ow_l_ah_n t_ah_ng_z hh_ih_s_t_eh_r_iy_ah
a;35;ooh la la the brass one and the satin;uw l_aa l_aa dh_ah b_r_ae_s w_ah_n ah_n_d dh_ah s_ae_t_ah_n
a;0;well oh my blue faced traveler hang up your hat;w_eh_l ow m_ay b_l_uw f_ey_s_t t_r_ae_v_ah_l_er hh_ae_ng ah_p y_uh_r hh_ae_t
g;22;oh but the cupids with crooked wings;ow b_ah_t dh_ah k_y_uw_p_ah_d_z w_ih_dh k_r_uh_k_ah_d w_ih_ng_z
c;33;sing us another song Captian;s_ih_ng ah_s ah_n_ah_dh_er s_ao_ng C_ae_p_sh_ah_n
m;8;raft of Medusa;r_ae_f_t ah_v m_ah_d_uw_s_ah
l;4;he brought you sick aortas from the city of hearts crowned in flame;hh_iy b_r_ao_t y_uw s_ih_k ey_ao_r_t_ah_z f_r_ah_m dh_ah s_ih_t_iy ah_v hh_aa_r_t_s k_r_aw_n_d ih_n f_l_ey_m
e;19;lost at sea the ocean of hungry mouths and broken teeth;l_ao_s_t ae_t s_iy dh_iy ow_sh_ah_n ah_v hh_ah_ng_g_r_iy m_aw_dh_z ah_n_d b_r_ow_k_ah_n t_iy_th
e;37;lost at sea the ocean of hungry mouths and broken teeth;l_ao_s_t ae_t s_iy dh_ah ow_sh_ah_n ah_v hh_ah_ng_g_r_iy m_aw_dh_z ah_n_d b_r_ow_k_ah_n t_iy_th
d;29;to the solar twins hovering overhead;t_uw dh_ah s_ow_l_er t_w_ih_n_z hh_ah_v_er_ih_ng ow_v_er_hh_eh_d
c;28;sing us another song Captian;s_ih_ng ah_s ah_n_ah_dh_er s_ao_ng C_ae_p_sh_ah_n
g;26;and with pupiless eyes do gaze under your skin;ah_n_d w_ih_dh p_y_uw_p_ah_l_er_s_s ay_z d_uw g_ey_z ah_n_d_er y_ao_r s_k_ih_n
b;1;its time your stories were told;ih_t_s t_ay_m y_ao_r s_t_ao_r_iy_z w_er t_ow_l_d
c;15;sing us another song Captian;s_ih_ng ah_s ah_n_ah_dh_er s_ao_ng C_ae_p_sh_ah_n
h;24;watching with arrows of love love;w_aa_ch_ih_ng w_ih_dh ae_r_ow_z ah_v l_ah_v l_ah_v
a;30;ooh la la the brass one and the satin;uw l_aa l_aa dh_ah b_r_ae_s w_ah_n ah_n_d dh_ah s_ae_t_ah_n
d;34;to the solar twins hovering overhead;t_uw dh_ah s_ow_l_er t_w_ih_n_z hh_ah_v_er_ih_ng ow_v_er_hh_eh_d
b;2;he brought me ivory apples from the white orchards in the ocean;hh_iy b_r_ao_t m_iy ay_v_ax_r_ih ae_p_ah_l_z f_r_ah_m dh_ah w_ay_t ao_r_ch_er_d_z ih_n dh_ah ow_sh_ah_n
d;13;ooh ooh la la the breathing and the dead;uw uw l_aa l_aa dh_ah b_r_iy_dh_ih_ng ah_n_d dh_ah d_eh_d
c;10;sing us another song Captian;s_ih_ng ah_s ah_n_ah_dh_er s_ao_ng C_ae_p_sh_ah_n
d;11;to the solar twins hovering overhead;t_uw dh_ah s_ow_l_er t_w_ih_n_z hh_ah_v_er_ih_ng ow_v_er_hh_eh_d
h;23;are circling the sky like hungry vultures;aa_r s_er_k_ah_l_ih_ng dh_ah s_k_ay l_ay_k hh_ah_ng_g_r_iy v_ah_l_ch_er_z
a;17;ooh la la the brass one and the satin;uw l_aa l_aa dh_ah b_r_ae_s w_ah_n ah_n_d dh_ah s_ae_t_ah_n
