Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;24;your face (is) a face thats stuck in my head;y_ao_r f_ey_s ih_z ah f_ey_s dh_ae_t_s s_t_ah_k ih_n m_ay hh_eh_d
l;12;im sick of four star food I want to be where life (is);ay_m s_ih_k ah_v f_ao_r s_t_aa_r f_uw_d ay w_aa_n_t t_ah b_iy hh_w_eh_r l_ay_f ah_z
f;23;life (is) easier where we can join our hands;l_ay_f ih_z iy_z_iy_er w_eh_r w_iy k_ah_n jh_oy_n aw_r hh_ae_n_d_z
f;17;would Brooklyn be worth crossing the Atlantic;w_uh_d b_r_uh_k_l_ah_n b_iy w_er_th k_r_ao_s_ih_ng dh_ah ah_t_l_ae_n_t_ih_k
e;26;my heart belongs to Brooklyn;m_ay hh_aa_r_t b_ah_l_ao_ng_z t_uw b_r_uh_k_l_ah_n
i;5;spending our days watching skylines from rooftops;s_p_eh_n_d_ih_ng aw_r d_ey_z w_aa_ch_ih_ng s_k_ay_l_ay_n_z f_r_ah_m r_uw_f_t_aa_p_s
c;7;life (is) easier where the walls are red;l_ay_f ih_z iy_z_iy_er w_eh_r dh_ah w_ao_l_z aa_r r_eh_d
b;6;on Independence Day Manhattan fireworks;aa_n ih_n_d_ah_p_eh_n_d_ah_n_s d_ey m_ae_n_hh_ae_t_ah_n f_ay_r_w_er_k_s
e;21;my heart belongs to Brooklyn;m_ay hh_aa_r_t b_ah_l_ao_ng_z t_uw b_r_uh_k_l_ah_n
e;10;my heart belongs to Brooklyn;m_ay hh_aa_r_t b_ah_l_ao_ng_z t_uw b_r_uh_k_l_ah_n
m;16;would it be that nice if you were not part of it;w_uh_d ih_t b_iy dh_ae_t n_ay_s ah_f y_uw w_er n_ax_t p_aa_r_t ah_v ih_t
b;13;(as) simple (as) two bucks pizza slices;eh_z s_ih_m_p_ah_l eh_z t_uw b_ah_k_s p_iy_t_s_ah s_l_ay_s_ah_z
d;25;here in Paris rain (is) falling;hh_ih_r ih_n p_ae_r_ih_s r_ey_n ih_z f_aa_l_ih_ng
a;0;buying some vintage records in Williamsberg stores;b_ay_ih_ng s_ah_m v_ih_n_t_ih_jh r_eh_k_er_d_z ih_n_ch  s_t_ao_r_z
c;8;brooklyn (is) a place stuck in my head;b_r_uh_k_l_ah_n ih_z ah p_l_ey_s s_t_ah_k ih_n m_ay hh_eh_d
f;18;life (is) easier where we can join our hands;l_ay_f ih_z iy_z_iy_er w_eh_r w_iy k_ah_n jh_oy_n aw_r hh_ae_n_d_z
a;2;shores;sh_ao_r_z
d;20;here in Paris rain (is) falling;hh_ih_r ih_n p_ae_r_ih_s r_ey_n ih_z f_aa_l_ih_ng
b;3;meeting mermaids and lobsters in Coney Island;m_iy_t_ih_ng m_er_m_ey_d_z ah_n_d l_aa_b_s_t_er_z ih_n k_ow_n_iy ay_l_ah_n_d
d;9;here in Paris the rain (is) falling;hh_ih_r ih_n p_ae_r_ih_s dh_ah r_ey_n ih_z f_aa_l_ih_ng
h;4;puking our deep fried Oreos in Astroland;p_y_uw_k_ih_ng aw_r d_iy_p f_r_ay_d O_r_er_ax_s ih_n 
a;15;that I am not leaving Brooklyn anymore;dh_ae_t ay ae_m n_ax_t l_iy_v_ih_ng b_r_uh_k_l_ah_n eh_n_iy_m_ao_r
g;1;playing paper boats on east river;p_l_ey_ih_ng p_ey_p_er b_ow_t_s aa_n iy_s_t r_ih_v_er
a;14;i swear Ill tell you next time I knock at your door;ay s_w_eh_r ay_l t_eh_l y_uw n_eh_k_s_t t_ay_m ay n_aa_k ae_t y_ao_r d_ao_r
c;19;your face (is) a face thats stuck in my head;y_ao_r f_ey_s ih_z ah f_ey_s dh_ae_t_s s_t_ah_k ih_n m_ay hh_eh_d
