Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;8;close your eyes;k_l_ow_s y_ao_r ay_z
a;3;only here Im free;ow_n_l_iy hh_ih_r ay_m f_r_iy
e;6;take my life just one caress;t_ey_k m_ay l_ay_f jh_ah_s_t w_ah_n k_er_eh_s
b;10;this other world;dh_ih_s ah_dh_er w_er_l_d
a;2;can heal my wounds and make me see;k_ae_n hh_iy_l m_ay w_uw_n_d_z ah_n_d m_ey_k m_iy s_iy
b;0;fading lights I sink into;f_ey_d_ih_ng l_ay_t_s ay s_ih_ng_k ih_n_t_ah
d;5;glowing darkness keeps me warm;g_l_ow_ih_ng d_aa_r_k_n_ah_s k_iy_p_s m_iy w_ao_r_m
c;1;this other world where only you;dh_ah_s ah_dh_er w_er_l_d hh_w_eh_r ow_n_l_iy y_uw
c;9;fading lights I sink into;f_ey_d_ih_ng l_ay_t_s ay s_ih_ng_k ih_n_t_uw
d;4;you are the night with all its charm;y_uw aa_r dh_ah n_ay_t w_ih_dh ao_l ih_t_s ch_aa_r_m
f;7;let me be forever yours;l_eh_t m_iy b_iy f_er_eh_v_er y_uh_r_z
