Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;1;oh oh oh kick your feet up on the dashboard;ow ow ow k_ih_k y_uh_r f_iy_t ah_p aa_n dh_iy d_ae_sh_b_ao_r_d
c;15;your reflection in the near side;y_uh_r r_ah_f_l_eh_k_sh_ah_n ih_n_ch dh_iy n_ih_r s_ay_d
b;12;yeah yeah;y_ae y_ae
c;16;many a saint has tried to take you alive;m_eh_n_iy ey s_ey_n_t hh_ah_z t_r_ay_d t_ah t_ey_k y_uw ah_l_ay_v
a;2;hey hey Carolyn we can take it far;hh_ey hh_ey k_eh_r_ah_l_ah_n w_iy k_ae_n t_ey_k ah_t f_aa_r
c;5;follow me down to where the darkness divides;f_aa_l_ow m_iy d_aw_n t_ah hh_w_eh_r dh_iy d_aa_r_k_n_ah_s d_ih_v_ay_d_z
c;8;we got heart we got an ocean to find;w_iy g_aa_t hh_aa_r_t w_iy g_aa_t ah_n ow_sh_ah_n t_ah f_ay_n_d
b;6;come and teach me bout the afterlife;k_ah_m ah_n_d t_iy_ch m_iy b_aw_t dh_iy ae_f_t_er_l_ay2_f
c;14;foot to the plate (as) falling stars are aligned;f_uh_t t_ah dh_iy p_l_ey_t eh_z f_aa_l_ih_ng s_t_aa_r_z er ah_l_ay_n_d
e;17;yeah baby youre a paradigm;y_ae b_ey_b_iy y_uw_r ah p_eh_r_ah_d_ay_m
c;11;we can fall apart for the last time;w_iy k_ae_n f_aa_l ah_p_aa_r_t f_r_er dh_iy l_ae_s t_ay_m
d;3;oh oh oh feel the heat upon the ashphalt;ow ow ow f_iy_l dh_iy hh_iy_t ah_p_aa_n dh_iy ae_sh_p_hh_ax_l_t
c;7;wild (is) the night we see our colors collide;w_ay_l_d ah_z dh_iy n_ay_t w_iy s_iy aa_r k_ah_l_er_z k_ah_l_ay_d
a;0;hey hey Carolyn get into my car;hh_ey hh_ey k_eh_r_ah_l_ah_n g_ih_t ih_n_t_ah m_ay k_aa_r
d;19;instrumental;ih_n_s_t_r_ah_m_eh_n_t_ah_l
c;10;you can be a queen in my eyes;y_uw k_ae_n b_iy ey k_w_iy_n ih_n_ch m_ay ay_z
