Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;5;fall again you will what they foreknw;f_aa_l ah_g_ey_n y_uw w_ih_l hh_w_ah_t dh_ey f_ao_r_b_n_ae
a;9;sirens calls of temptation;s_ay_r_ah_n_z k_ao_l_z ah_v t_eh_m_t_ey_sh_ah_n
a;7;and just a slave to be (is) my fate;ah_n_d jh_ah_s_t ey s_l_ey_v t_ah b_iy ah_z m_ay f_ey_t
a;2;clandestine enthralling haze;k_l_ae_n_d_eh_s_t_ah_n eh_n_th_r_ao_l_ha_l_ih_ng hh_ey_z
f;8;and you will hear me;ah_n_d y_uw w_ih_l hh_ih_r m_iy
c;10;teasing you;t_iy_z_ih_ng y_uw
c;4;resurrect from the ban they put on you;r_eh_z_er_eh_k_t f_er_m dh_iy b_ae_n dh_ey p_uh_t aa_n y_uw
b;1;for you a chilvarous end for a man;f_r_er y_uw ey ch_ih_l_v_ah_r_oh_ax_s eh_n_d f_r_er ey m_ae_n
a;3;a docile sacrifice for your grace;ey d_aa_s_ah_l s_ae_k_r_ah_f_ay_s f_r_er y_uh_r g_r_ey_s
f;11;no limit will be;n_ow l_ih_m_ah_t w_ih_l b_iy
b;15;(as) I will always be your fool;ae_z ay w_ah_l ao_l_w_ey_z b_iy y_ao_r f_uw_l
c;14;i will always savour you;ay w_ah_l ao_l_w_ey_z s_ey_v_er y_uw
b;12;no taboo of imagination;n_ow t_ae_b_uw ah_v ih_m_ae_jh_ah_n_ey_sh_ah_n
g;13;ill fill your void;ay_l f_ih_l y_ao_r v_oy_d
e;6;only gods illuminate;ow_n_l_iy g_aa_d_z ih_l_uw_m_ah_n_ey_t
a;0;at the temple of black gods I failed again;ae_t dh_iy t_eh_m_p_ah_l ah_v b_l_ae_k g_aa_d_z ay f_ey_l_d ah_g_ey_n
