Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;8;nobody in this world (is) perfect but god;n_ow_b_ah_d_iy ih_n_ch dh_ah_s w_er_l_d ah_z p_er_f_ih_k_t b_ah_t g_aa_d
a;4;working till my hands give out one switch turn off your lights;w_er_k_ih_ng t_ih_l m_ay hh_ae_n_d_z g_ih_v aw_t hh_w_ah_n s_w_ih_ch t_er_n ao_f y_uh_r l_ay_t_s
b;12;standing toilet paper holder in my in hands can-t stand still right now;s_t_ae_n_d_ih_ng t_oy_l_ah_t p_ey_p_er hh_ow_l_d_er ih_n_ch m_ay ih_n_ch hh_ae_n_d_z k_ae_n_t s_t_ae_n_d s_t_ih_l r_ay_t n_aw
c;18;i have the earthquake shaking the ground apart;ay hh_ae_v dh_ah er_th_k_w_ey_k sh_ey_k_ih_ng dh_ah g_r_aw_n_d ah_p_aa_r_t
f;14;flying through with the fastest planes making my dreams real;f_l_ay_ih_ng th_r_uw w_ih_dh dh_ah f_ae_s_t_ah_s_t p_l_ey_n_z m_ey_k_ih_ng m_ay d_r_iy_m_z r_iy_l
a;20;shyt gets real by the day and night;eh_s_ey_ch_iy_t g_eh_t_s r_iy_l b_ay dh_ah d_ey ah_n_d n_ay_t
i;23;the toilet paper holder;dh_ah t_oy_l_ah_t p_ey_p_er hh_ow_l_d_er
b;6;working on the pipes water leaking down the pipes rain drops falling down;w_er_k_ih_ng aa_n dh_iy p_ay_p_s w_ao_t_er l_iy_k_ih_ng d_aw_n dh_iy p_ay_p_s r_ey_n d_r_aa_p_s f_aa_l_ih_ng d_aw_n
d;25;yes sir im gold for life heart (is) soild hard to melt;y_eh_s s_er ih_m g_ow_l_d f_ao_r l_ay_f hh_aa_r_t ih_z s_oy_l_b hh_aa_r_d t_uw m_eh_l_t
g;16;time flying mins ticking;t_ay_m f_l_ay_ih_ng m_ih_n_z t_ih_k_ih_ng
e;2;Art (is) the perfect piece I have seened in years;aa_r_t ah_z dh_iy p_er_f_ih_k_t p_iy_s ay hh_ae_v s_iy_n_er_d ih_n_ch y_er_z
h;22;i have your girl dancing to the beats I make for her shit gets swallowed by;ay hh_ae_v y_ao_r g_er_l d_ae_n_s_ih_ng t_uw dh_ah b_iy_t_s ay m_ey_k f_ao_r hh_er sh_iy_t g_eh_t_s s_w_aa_l_ow_d b_ay
d;0;creeping in your dreams im see through;k_r_iy_p_ih_ng ih_n_ch y_uh_r d_r_iy_m_z ih_m s_iy th_r_uw
a;10;soil in the ground watering the plants till there dry;s_oy_l ih_n_ch dh_iy g_r_aw_n_d w_ao_t_er_ih_ng dh_iy p_l_ae_n_t_s t_ih_l dh_eh_r d_r_ay
