Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
e;17;twelve O clock and all (is) well;t_w_eh_l_v ow k_l_aa_k ah_n_d ao_l ih_z w_eh_l
a;2;new Years just ain-t new years;n_y_uw y_ih_r_z jh_ah_s_t ey_n_t n_y_uw y_ih_r_z
b;34;without the one you love;w_ih_th_aw_t dh_ah w_ah_n y_uw l_ah_v
a;24;christmas just ain-t christmas;k_r_ih_s_m_ah_s jh_ah_s_t ey_n_t k_r_ih_s_m_ah_s
b;27;with the one you love;w_ih_dh dh_ah w_ah_n y_uw l_ah_v
a;33;christmas just ain-t christmas;k_r_ih_s_m_ah_s jh_ah_s_t ey_n_t k_r_ih_s_m_ah_s
d;10;without that man of mine;w_ih_th_aw_t dh_ae_t m_ae_n ah_v m_ay_n
a;14;new Years just ain-t new years;n_y_uw y_ih_r_z jh_ah_s_t ey_n_t n_y_uw y_ih_r_z
f;5;underneath the missletoe;ah_n_d_er_n_iy_th dh_ah m_ih_s_l_eh_t_oh_ax
c;30;and my house (is) not home;ah_n_d m_ay hh_aw_s ih_z n_ax_t hh_ow_m
c;29;oh and now I stand all alone;ow ah_n_d n_aw ay s_t_ae_n_d ao_l ah_l_ow_n
d;22;it was a waiste of time;ih_t w_ah_z ah w_ey_s_t_er ah_v t_ay_m
b;25;without the one you love;w_ih_th_aw_t dh_ah w_ah_n y_uw l_ah_v
f;31;without that man of mine OOOOH;w_ih_th_aw_t dh_ae_t m_ae_n ah_v m_ay_n 
e;20;going shopping for presents together;g_ow_ih_ng sh_aa_p_ih_ng f_ao_r p_r_ih_z_eh_n_t t_ah_g_eh_dh_er
c;6;i saw his face all aglow;ay s_ao hh_ih_z f_ey_s ao_l ah_g_l_ow
a;35;new Years just ain-t new years;n_y_uw y_ih_r_z jh_ah_s_t ey_n_t n_y_uw y_ih_r_z
b;3;with the one you love;w_ih_dh dh_ah w_ah_n y_uw l_ah_v
a;0;christmas just ain-t christmas;k_r_ih_s_m_ah_s jh_ah_s_t ey_n_t k_r_ih_s_m_ah_s
b;1;without the one you love;w_ih_th_aw_t dh_ah w_ah_n y_uw l_ah_v
b;15;with the one you love;w_ih_dh dh_ah w_ah_n y_uw l_ah_v
b;36;with the one you love;w_ih_dh dh_ah w_ah_n y_uw l_ah_v
b;13;without the one you love;w_ih_th_aw_t dh_ah w_ah_n y_uw l_ah_v
g;21;making vows to leave each (other-never);m_ey_k_ih_ng v_aw_z t_uw l_iy_v iy_ch ah_dh_ax_n_eh_v_ax
a;26;new Years just ain-t new years;n_y_uw y_ih_r_z jh_ah_s_t ey_n_t n_y_uw y_ih_r_z
c;8;now I stand all alone;n_aw ay s_t_ae_n_d ao_l ah_l_ow_n
a;12;christmas just ain-t christmas;k_r_ih_s_m_ah_s jh_ah_s_t ey_n_t k_r_ih_s_m_ah_s
c;9;and my house (is) not a home;ah_n_d m_ay hh_aw_s ih_z n_ax_t ah hh_ow_m
d;19;last year this time;l_ae_s_t y_ih_r dh_ih_s t_ay_m
d;7;last year this time;l_ae_s_t y_ih_r dh_ih_s t_ay_m
e;18;and I was doing O so swell;ah_n_d ay w_ah_z d_uw_ih_ng ow s_ow s_w_eh_l
