Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;3;sleigh stay flyin on them dubbs and switches;s_l_ey s_t_ey f_l_ay_iy_n aa_n dh_eh_m d_ah_b_z ah_n_d s_w_ih_ch_ah_z
e;18;its Xmas in the hood;ih_t_s X_m_ae_s ih_n dh_ah hh_uh_d
g;24;xmas in the ghetto yo;x_m_ae_s ih_n dh_ah g_eh_t_ow y_ow
d;29;flossin tossin toys at us (have-nots);f_l_aa_s_iy_n t_ao_s_iy_n t_oy_z ae_t ah_s hh_ae_v_n_aa_t_s
a;1;girls jockin so the G-s loc up know what Santa ain-t playin that stuff;g_er_l_z jh_aa_k_iy_n s_ow dh_iy jh_iy_z l_ow_k ah_p n_ow hh_w_ah_t s_ae_n_t_ah ey_n_t p_l_ey_iy_n dh_ae_t s_t_ah_f
e;14;its Xmas in the hood;ih_t_s X_m_ae_s ih_n dh_ah hh_uh_d
o;22;ghetto Santa Claus (is) at the door;g_eh_t_ow s_ae_n_t_ah k_l_ao_z ih_z ae_t dh_ah d_ao_r
i;2;see Santa steady ridin on them scrubs for Xmas;s_iy s_ae_n_t_ah s_t_eh_d_iy r_ih_d_iy_n aa_n dh_eh_m s_k_r_ah_b_z f_ao_r X_m_ae_s
e;33;im like Nick tell me what you gots for me we in the hood where its good;ay_m l_ay_k n_ih_k t_eh_l m_iy w_ah_t y_uw g_aa_t_s f_ao_r m_iy w_iy ih_n dh_ah hh_uh_d w_eh_r ih_t_s g_uh_d
h;46;at the (table) with the fam thankin God for the blessings;ae_t dh_ah t_ey_b_ah_l w_ih_dh dh_ah f_ae_b_m th_ae_ng_k_iy_n g_aa_d f_ao_r dh_ah b_l_eh_s_ih_ng_z
f;44;50 ain-t trippin today about your case; ey_n_t t_r_ih_p_iy_n t_ah_d_ey ah_b_aw_t y_ao_r k_ey_s
c;41;how we get down from my town to your town;hh_aw w_iy g_eh_t d_aw_n f_r_ah_m m_ay t_aw_n t_uw y_ao_r t_aw_n
e;23;i-ma get mine you get yours;ay_m_ae g_eh_t m_ay_n y_uw g_eh_t y_uh_r_z
d;27;and from this block to that block they be like thats hot;ah_n_d f_r_ah_m dh_ih_s b_l_aa_k t_uw dh_ae_t b_l_aa_k dh_ey b_iy l_ay_k dh_ae_t_s hh_aa_t
d;17;from yo block to my block we gonna make it hot;f_r_ah_m y_ow b_l_aa_k t_uw m_ay b_l_aa_k w_iy g_aa_n_ah m_ey_k ih_t hh_aa_t
b;31;youd never guess who I seen on the dance floor up in the mix;y_uw_d n_eh_v_er g_eh_s hh_uw ay s_iy_n aa_n dh_ah d_ae_n_s f_l_ao_r ah_p ih_n dh_ah m_ih_k_s
h;37;celebrating from the West to East (coastin-);s_eh_l_ah_b_r_ey_t_ih_ng f_r_ah_m dh_ah w_eh_s_t t_uw iy_s_t k_ow_s_t_iy_n_eh
f;20;break;b_r_ey_k
a;0;guess who rolled up Big S with the D rolled up;g_eh_s hh_uw r_ow_l_d ah_p b_ih_g eh_s w_ah_dh dh_iy d_iy r_ow_l_d ah_p
d;13;from yo block to my block we gonna keep it hot;f_r_ah_m y_ow b_l_aa_k t_uw m_ay b_l_aa_k w_iy g_aa_n_ah k_iy_p ih_t hh_aa_t
l;6;from the West to the East up North and down South it;f_r_ah_m dh_ah w_eh_s_t t_uw dh_iy iy_s_t ah_p n_ao_r_th ah_n_d d_aw_n s_aw_th ih_t
p;28;santa hit the jackpot seen him in the (rag-top);s_ae_n_t_ax hh_ih_t dh_ah jh_ae_k_p_aa_t s_iy_n hh_ih_m ih_n dh_ah r_ae_g_t_oh_p
q;34;like it oughts to be havin the time of my life too;l_ay_k ih_t ao_t_s t_uw b_iy hh_ae_v_ih_n dh_ah t_ay_m ah_v m_ay l_ay_f t_uw
g;40;the goody goodies got no time to notice;dh_ah g_uh_d_iy g_uh_d_iy_z g_aa_t n_ow t_ay_m t_uw n_ow_t_ah_s
i;48;it ain-t nothing like Xmas in the ghetto holla back;ih_t ey_n_t n_ah_th_ih_ng l_ay_k X_m_ae_s ih_n dh_ah g_eh_t_ow hh_aa_l_ae b_ae_k
b;32;santa Claus for the cause with a thousand chicks;s_ae_n_t_ax k_l_ao_z f_ao_r dh_ah k_aa_z w_ih_dh ah th_aw_z_ah_n_d ch_ih_k_s
c;42;l A To the Bricks V A And back down;eh_l ah t_uw dh_ah b_r_ih_k_s v_iy ah ah_n_d b_ae_k d_aw_n
d;9;you know wassup get yo dance on home cause;y_uw n_ow w_ah_s_uw_p g_eh_t y_ow d_ae_n_s aa_n hh_ow_m k_aa_z
d;26;yo today I gotta fat knot in my stash box;y_ow t_ah_d_ey ay g_aa_t_ah f_ae_t n_aa_t ih_n m_ay s_t_ae_sh b_aa_k_s
n;12;we given you just what you wanted;w_iy g_ih_v_ah_n y_uw jh_ah_s_t w_ah_t y_uw w_oh_n_t_ih_d
d;11;we bout to get the shhhhh started;w_iy b_aw_t t_uw g_eh_t dh_ah  s_t_aa_r_t_ah_d
m;8;3l dub so throw ya hands up for me; d_ah_b s_ow th_r_ow y_aa hh_ae_n_d_z ah_p f_ao_r m_iy
b;39;my down home hotties hold it down you know this;m_ay d_aw_n hh_ow_m hh_aa_t_t_ay_s hh_ow_l_d ih_t d_aw_n y_uw n_ow dh_ih_s
