Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;32;theyll never say they feel what you feel;dh_ey_l n_eh_v_er s_ey dh_ey f_iy_l w_ah_t y_uw f_iy_l
c;5;the testament to your singular disease;dh_iy t_eh_s_t_ah_m_ah_n_t t_ah y_uh_r s_ih_ng_g_y_ah_l_er d_ih_z_iy_z
a;8;if I could change your mind;ih_f ay k_uh_d ch_ey_n_jh y_uh_r m_ay_n_d
a;22;if I could change your mind;ah_f ay k_uh_d ch_ey_n_jh y_ao_r m_ay_n_d
a;35;a million faces a million lies;ah m_ih_l_y_ah_n f_ey_s_ah_z ah m_ih_l_y_ah_n l_ay_z
c;30;and in the stories of the people;ah_n_d ih_n dh_ah s_t_ao_r_iy_z ah_v dh_ah p_iy_p_ah_l
c;24;in desperation dreams any soul can set you free;ih_n d_eh_s_p_er_ey_sh_ah_n d_r_iy_m_z eh_n_iy s_ow_l k_ah_n s_eh_t y_uw f_r_iy
e;12;in every breath in every single motion;ih_n eh_v_er_iy b_r_eh_th ih_n eh_v_er_iy s_ih_ng_g_ah_l m_ow_sh_ah_n
h;34;and in their faces their expressions;ah_n_d ih_n dh_eh_r f_ey_s_ah_z dh_eh_r ih_k_s_p_r_eh_sh_ah_n_z
d;23;i wouldn-t save you from the path you wander;ay w_uh_d_ah_n_t s_ey_v y_uw f_r_ah_m dh_ah p_ae_th y_uw w_aa_n_d_er
l;6;against all wisdom you heed no warning;ah_g_eh_n_s_t ao_l w_ih_z_d_ah_m y_uw hh_iy_d n_ow w_ao_r_n_ih_ng
f;15;in portents of fate you foolishly place trust;ih_n p_ao_r_t_eh_n_t_s ah_v f_ey_t y_uw f_uw_l_ih_sh_l_iy p_l_ey_s t_r_ah_s_t
h;2;prompts for action force reaction;p_r_aa_m_p_t_s f_r_er ae_k_sh_ah_n f_ao_r_s r_iy_ae_k_sh_ah_n
c;33;that they can see the world you see;dh_ae_t dh_ey k_ah_n s_iy dh_ah w_er_l_d y_uw s_iy
b;28;(as) night descends upon the city;ae_z n_ay_t d_ah_s_eh_n_d_z ah_p_aa_n dh_ah s_ih_t_iy
e;26;in every breath in every single motion;ih_n eh_v_er_iy b_r_eh_th ih_n eh_v_er_iy s_ih_ng_g_ah_l m_ow_sh_ah_n
l;21;but Im still talking and youre not listening;b_ah_t ay_m s_t_ih_l t_ao_k_ih_ng ah_n_d y_uw_r n_ax_t l_ih_s_n_ih_ng
n;29;the streets are cold the lights go by;dh_ah s_t_r_iy_t_s aa_r k_ow_l_d dh_iy l_ay_t_s g_ow b_ay
a;31;a million faces a million lies;ah m_ih_l_y_ah_n f_ey_s_ah_z ah m_ih_l_y_ah_n l_ay_z
f;14;your actions turn conquest to dust;y_ao_r ae_k_sh_ah_n_z t_er_n k_aa_ng_k_w_eh_s_t t_uw d_ah_s_t
g;18;all creation has the promise of heaven;ao_l k_r_iy_ey_sh_ah_n hh_ah_z dh_ah p_r_aa_m_ah_s ah_v hh_eh_v_ah_n
c;11;and I still hear you scream;ah_n_d ay s_t_ih_l hh_ih_r y_uw s_k_r_iy_m
i;3;embody promise in a sheen so pure;eh_m_b_aa_d_iy p_r_aa_m_ah_s ih_n_ch ey sh_iy_n s_ow p_y_uh_r
a;1;for each and all a chrome disguise;f_r_er iy_ch ah_n_d ao_l ey k_r_ow_m d_ih_s_g_ay_z
c;25;and I still hear you scream;ah_n_d ay s_t_ih_l hh_ih_r y_uw s_k_r_iy_m
a;17;resort to shadows till your body expires;r_ah_z_ao_r_t t_uw sh_ae_d_ow_z t_ih_l y_ao_r b_aa_d_iy ih_k_s_p_ay_er_z
c;27;burning innocence the fire to set you free;b_er_n_ih_ng ih_n_ah_s_ah_n_s dh_ah f_ay_er t_uw s_eh_t y_uw f_r_iy
g;19;and still you travel the road to hell;ah_n_d s_t_ih_l y_uw t_r_ae_v_ah_l dh_ah r_ow_d t_uw hh_eh_l
c;13;burning innocence the fire to set you free;b_er_n_ih_ng ih_n_ah_s_ah_n_s dh_ah f_ay_er t_uw s_eh_t y_uw f_r_iy
m;7;your desires giving you away;y_uh_r d_ah_z_ay_r_z g_ih_v_ih_ng y_uw ah_w_ey
g;20;im saying nothing for the good of myself;ay_m s_ey_ih_ng n_ah_th_ih_ng f_ao_r dh_ah g_uh_d ah_v m_ay_s_eh_l_f
d;9;i wouldn-t save you from the path you wander;ay w_uh_d_ah_n_t s_ey_v y_uw f_r_ah_m dh_ah p_ae_th y_uw w_aa_n_d_er
c;10;in desperation dreams any soul can set you free;ih_n d_eh_s_p_er_ey_sh_ah_n d_r_iy_m_z eh_n_iy s_ow_l k_ah_n s_eh_t y_uw f_r_iy
c;16;sense fear in your broken breathing;s_eh_n_s f_ih_r ih_n y_ao_r b_r_ow_k_ah_n b_r_iy_dh_ih_ng
b;4;hurt the measure of blind ambition;hh_er_t dh_iy m_eh_zh_er ah_v b_l_ay_n_d ae_m_b_ih_sh_ah_n
a;0;a million faces each a million lies;ey m_ih_l_y_ah_n f_ey_s_ah_z iy_ch ey m_ih_l_y_ah_n l_ay_z
