Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
p;18;how do we end this escape the battlegrounds;hh_aw d_uw w_iy eh_n_d dh_ih_s ah_s_k_ey_p dh_ah b_ae_t_ah_l_g_r_aw_n_d_z
b;10;ive cried a thousand times in despair of what we are;ay_v k_r_ay_d ah th_aw_z_ah_n_d t_ay_m_z ih_n d_ih_s_p_eh_r ah_v w_ah_t w_iy aa_r
g;2;im so tired of everything thats going on;ay_m s_ow t_ay_r_d ah_v eh_v_r_iy_th_ih_ng dh_ae_t_s g_ow_ah_n aa_n
a;3;wish I could turn back time and return to our innocence;w_ih_sh ay k_uh_d t_er_n b_ae_k t_ay_m ah_n_d r_ah_t_er_n t_ah aa_r ih_n_ah_s_ah_n_s
h;16;we have wasted too much time that fight ain-t worth the price;w_iy hh_ae_v w_ey_s_t_ah_d t_uw m_ah_ch t_ay_m dh_ae_t f_ay_t ey_n_t w_er_th dh_iy p_r_ay_s
b;4;constantly raping the boundaries we have set;k_aa_n_s_t_ah_n_t_l_iy r_ey_p_ih_ng dh_iy b_aw_n_d_er_iy_z w_iy hh_ae_v s_eh_t
o;17;by now weve lost enough lets bring this to an end … ;b_ay n_aw w_iy_v l_ao_s_t ah_n_ah_f l_eh_t_s b_r_ih_ng dh_ih_s t_uw ae_n eh_n_d  ah_ae
b;12;ive tried a thousand times to believe in what we were;ay_v t_r_ay_d ah th_aw_z_ah_n_d t_ay_m_z t_uw b_ah_l_iy_v ih_n w_ah_t w_iy w_er
d;22;i do remember that there was a dream;ay d_uw r_ih_m_eh_m_b_ax dh_ae_t dh_eh_r w_ah_z ah d_r_iy_m
h;6;seems there (is) no way out of this;s_iy_m_z dh_eh_r ih_z n_ow w_ey aw_t ah_v dh_ah_s
a;0;how many times do we have to end up here;hh_aw m_eh_n_iy t_ay_m_z d_uw w_iy hh_ae_v t_uw eh_n_d ah_p hh_ih_r
e;20;all of the answers linger in shadows unknown;ao_l ah_v dh_iy ae_n_s_er_z l_ih_ng_er ih_n_ch sh_ae_d_ow_z ah_n_n_ow_n
i;7;well die to stand our ground;w_iy_l d_ay t_uw s_t_ae_n_d aw_r g_r_aw_n_d
n;15;all that we were to be what we are;ao_l dh_ae_t w_iy w_er t_uw b_iy hh_w_ah_t w_iy er
c;5;its each to his own in a battle of egos weve fought for so long;ih_t_s iy_ch t_uw hh_ih_z ow_n ih_n ah b_ae_t_ah_l ah_v iy_g_ow_z w_iy_v f_ao_t f_ao_r s_ow l_ao_ng
b;24;ive cried a thousand times in despair of what we are;ay_v k_r_ay_d ey th_aw_z_ah_n_d t_ay_m_z ih_n d_ih_s_p_eh_r ah_v w_ah_t w_iy aa_r
e;25;reduced to slaves in the world of the silent no;r_ih_d_y_uw_s_t t_uw s_l_ey_v_z ih_n dh_ah w_er_l_d ah_v dh_ah s_ay_l_ah_n_t n_ow
e;11;reduced to slaves in the world of the silent no;r_ih_d_y_uw_s_t t_uw s_l_ey_v_z ih_n dh_ah w_er_l_d ah_v dh_ah s_ay_l_ah_n_t n_ow
c;13;all I find (is) a communication lost;ao_l ay f_ay_n_d ih_z ah k_ah_m_y_uw_n_ah_k_ey_sh_ah_n l_ao_s_t
m;14;all I want for us (is) to get along return that innocence again;ao_l ay w_aa_n_t f_ao_r ah_s ih_z t_uw g_eh_t ah_l_ao_ng r_ih_t_er_n dh_ae_t ih_n_ah_s_ah_n_s ah_g_eh_n
l;9;innocence united us we grew stronger;ih_n_ah_s_ah_n_s y_uw_n_ay_t_ah_d ah_s w_iy g_r_uw s_t_r_oh_ng_g_ax
e;27;i lost my faith told myself you could never know;ay l_ao_s_t m_ay f_ey_th t_ow_l_d m_ay_s_eh_l_f y_uw k_uh_d n_eh_v_er n_ow
o;21;but with our last ounce of strength we need to ask … ;b_ah_t w_ah_dh aa_r l_ae_s_t aw_n_s ah_v s_t_r_eh_ng_k_th w_iy n_iy_d t_ah ae_s_k  ah_ae
b;26;ive tried a thousand times to believe in what we were;ay_v t_r_ay_d ey th_aw_z_ah_n_d t_ay_m_z t_uw b_ah_l_iy_v ih_n w_ah_t w_iy w_er
b;28;ive cried a thousand times in despair of what we are;ay_v k_r_ay_d ey th_aw_z_ah_n_d t_ay_m_z ih_n d_ih_s_p_eh_r ah_v w_ah_t w_iy aa_r
f;1;its all but a secret were slowly tearing ourselves apart;ih_t_s ao_l b_ah_t ah s_iy_k_r_ah_t w_iy_r s_l_ow_l_iy t_eh_r_ih_ng aw_er_s_eh_l_v_z ah_p_aa_r_t
f;23;innocence united us we grew stronger;ih_n_ah_s_ah_n_s y_uw_n_ay_t_ah_d ah_s w_iy g_r_uw s_t_r_oh_ng_g_ax
d;8;i do remember that there was a dream;ay d_uw r_ih_m_eh_m_b_ax dh_ae_t dh_eh_r w_ah_z ah d_r_iy_m
b;30;ive tried a thousand times to believe in what we were;ay_v t_r_ay_d ey th_aw_z_ah_n_d t_ay_m_z t_uw b_ah_l_iy_v ih_n w_ah_t w_iy w_er
a;19;weve fought in this war for so long did we forget how to forgive;w_iy_v f_ao_t ih_n dh_ih_s w_ao_r f_ao_r s_ow l_ao_ng d_ih_d w_iy f_ax_g_eh_t hh_aw t_uw f_er_g_ih_v
e;29;immersed in tears I drown in its silent flow;ih_m_er_s_t ih_n t_eh_r_z ay d_r_aw_n ih_n ih_t_s s_ay_l_ah_n_t f_l_ow
c;31;all I find (is) a communication lost;ao_l ay f_ay_n_d ih_z ah k_ah_m_y_uw_n_ah_k_ey_sh_ah_n l_ao_s_t
