Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;32;a lot;ah l_aa_t
d;24;my daughter getting bigger now and I been missing out yeah;m_ay d_ao_t_er g_eh_t_ih_ng b_ih_g_er n_aw ah_n_d ay b_ih_n m_ih_s_ih_ng aw_t y_ae
h;40;thank you Christian thats all I needed;th_ae_ng_k y_uw k_r_ih_s_ch_ah_n dh_ae_t_s ao_l ay n_iy_d_ah_d
d;36;daddy;d_ae_d_iy
c;16;im just trying to get some Grammy-s in my mama place;ay_m jh_ah_s_t t_r_ay_ih_ng t_uw g_eh_t s_ah_m g_r_ae_m_iy_z ih_n m_ay m_aa_m_ah p_l_ey_s
d;30;hey daddy;hh_ey d_ae_d_iy
a;3;i stepped into the game real muhfuckin complex;ay s_t_eh_p_t ih_n_t_ah dh_iy g_ey_m r_iy_l m_ah_hh_f_ah_k_k_iy_n k_ah_m_p_l_eh_k_s
a;2;one word to describe me that shit (is) complex;hh_w_ah_n w_er_d t_ah d_ah_s_k_r_ay_b m_iy dh_ah_t sh_iy_t ah_z k_ah_m_p_l_eh_k_s
d;38;papi papi papi papi papi;p_ae_p_iy p_ae_p_iy p_ae_p_iy p_ae_p_iy p_ae_p_iy
d;29;maddy;m_ae_d_iy
b;20;im not the same I done changed im evolving;ay_m n_ax_t dh_ah s_ey_m ay d_ah_n ch_ey_n_jh_d ay_m ih_v_aa_l_v_ih_ng
f;31;hey baby What you doing;hh_ey b_ey_b_iy w_ah_t y_uw d_uw_ih_ng
e;22;yeah im still trying to figure out let me figure out;y_ae ay_m s_t_ih_l t_r_ay_ih_ng t_uw f_ih_g_y_er aw_t l_eh_t m_iy f_ih_g_y_er aw_t
g;34;all right;ao_l r_ay_t
d;15;i be lowkey don-t need cameras in my face yeah;ay b_iy l_ao_w_k_er_ax d_ow_n_t n_iy_d k_ae_m_er_ah_z ih_n m_ay f_ey_s y_ae
a;0;yeah x7;y_ae eh_k_s_ae
l;33;you miss papi I love you;y_uw m_ih_s p_ae_p_iy ay l_ah_v y_uw
i;8;one word to describe me that shit (is) complex;w_ah_n w_er_d t_uw d_ah_s_k_r_ay_b m_iy dh_ae_t sh_iy_t ih_z k_oh_m_p_l_eh_k_s
h;4;real life shit a young nigga gotta deal with;r_iy_l l_ay_f sh_iy_t ey y_ah_ng n_ih_g_ae g_aa_t_ah d_iy_l w_ah_dh
b;6;shaq size skeletons in my fucking closet;sh_ae_k s_ay_z s_k_eh_l_ah_t_ah_n_z ih_n m_ay f_ah_k_ih_ng k_l_aa_z_ah_t
d;25;feel like I been missing out yeah;f_iy_l l_ay_k ay b_ih_n m_ih_s_ih_ng aw_t y_ae
c;10;yeah oh you feel a way I know you feel a way;y_ae ow y_uw f_iy_l ah w_ey ay n_ow y_uw f_iy_l ah w_ey
d;11;yeah im just doing me I know you still gon hate yeah;y_ae ay_m jh_ah_s_t d_uw_ih_ng m_iy ay n_ow y_uw s_t_ih_l g_aa_n hh_ey_t y_ae
b;5;i ain-t feeding into no muhfuckin nonsense;ay ey_n_t f_iy_d_ih_ng ih_n_t_uw n_ow m_ah_hh_f_ah_k_k_iy_n n_aa_n_s_eh_n_s
g;39;all right bye;ao_l r_ay_t b_ay
b;21;just give me time its a muhfuckin process;jh_ah_s_t g_ih_v m_iy t_ay_m ih_t_s ah m_ah_hh_f_ah_k_k_iy_n p_r_aa_s_eh_s
d;12;oh you still gon hate I know you still gon hate yeah;ow y_uw s_t_ih_l g_aa_n hh_ey_t ay n_ow y_uw s_t_ih_l g_aa_n hh_ey_t y_ae
d;27;hey wheres Madison;hh_ey w_eh_r_s m_ae_d_ah_s_ah_n
d;28;hey Madison;hh_ey m_ae_d_ah_s_ah_n
b;7;really gotta live with that shit up on my conscious;r_ih_l_iy g_aa_t_ah l_ay_v w_ih_dh dh_ae_t sh_iy_t ah_p aa_n m_ay k_aa_n_sh_ah_s
i;18;shit (is) shit (is) complex;sh_iy_t ih_z sh_iy_t ah_z k_oh_m_p_l_eh_k_s
d;14;i been everywhere and you been MIA yeah;ay b_ih_n eh_v_r_iy_w_eh_r ah_n_d y_uw b_ih_n m_iy_ah y_ae
l;35;i love you;ay l_ah_v y_uw
e;23;been grinding for a minute now trying to figure out;b_ih_n g_r_ay_n_d_ih_ng f_ao_r ah m_ih_n_ih_t n_aw t_r_ay_ih_ng t_uw f_ih_g_y_er aw_t
b;9;middle finger to that hating nigga at the Complex;m_ih_d_ah_l f_ih_ng_g_er t_uw dh_ae_t hh_ey_t_ih_ng n_ih_g_ae ae_t dh_ah k_aa_m_p_l_eh_k_s
c;17;why I gotta do this shit I can-t explain;w_ay ay g_aa_t_ah d_uw dh_ih_s sh_iy_t ay k_ae_n_t ih_k_s_p_l_ey_n
i;19;yeah real muhfuckin complex;y_ae r_iy_l m_ah_hh_f_ah_k_k_iy_n k_oh_m_p_l_eh_k_s
f;37;just say it back All right all right cool;jh_ah_s_t s_ey ih_t b_ae_k ao_l r_ay_t ao_l r_ay_t k_uw_l
d;13;i stay in my lane and y-all stay in my way yeah;ay s_t_ey ih_n m_ay l_ey_n ah_n_d y_ao_l s_t_ey ih_n m_ay w_ey y_ae
