Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;36;could I be the last surrender;k_uh_d ay b_iy dh_ah l_ae_s_t s_er_eh_n_d_er
f;38;could I trust you if you don-t come home;k_uh_d ay t_r_ah_s_t y_uw ah_f y_uw d_ow_n_t k_ah_m hh_ow_m
f;50;could I leave you all alone;k_uh_d ay l_iy_v y_uw ao_l ah_l_ow_n
i;14;could I be the dream the dream for you;k_uh_d ay b_iy dh_ah d_r_iy_m dh_ah d_r_iy_m f_ao_r y_uw
i;1;the first one to kiss you;dh_iy f_er_s_t hh_w_ah_n t_ah k_ih_s y_uw
c;12;could I be the last give in;k_uh_d ay b_iy dh_ah l_ae_s_t g_ih_v ih_n
g;24;youd rather walk away than fight;y_uw_d r_ae_dh_er w_ao_k ah_w_ey dh_ae_n f_ay_t
i;34;could I be the dream the dream for you;k_uh_d ay b_iy dh_ah d_r_iy_m dh_ah d_r_iy_m f_ao_r y_uw
h;3;before me;b_ah_f_ao_r m_iy
c;44;yeah could I be the last give in;y_ae k_uh_d ay b_iy dh_ah l_ae_s_t g_ih_v ih_n
b;40;every city street and every night and day;eh_v_er_iy s_ih_t_iy s_t_r_iy_t ah_n_d eh_v_er_iy n_ay_t ah_n_d d_ey
e;48;could I be the number one contender;k_uh_d ay b_iy dh_ah n_ah_m_b_er w_ah_n k_ah_n_t_eh_n_d_er
b;11;i swear youd hear me say;ay s_w_eh_r y_uw_d hh_ih_r m_iy s_ey
n;21;youre making out like it never was;y_uw_r m_ey_k_ih_ng aw_t l_ay_k ih_t n_eh_v_er w_ah_z
b;6;cause all of those days;k_aa_z ao_l ah_v dh_ow_z d_ey_z
d;23;for truth;f_ao_r t_r_uw_th
b;13;say youll never start again;s_ey y_uw_l n_eh_v_er s_t_aa_r_t ah_g_eh_n
i;5;the first one to love you;dh_iy f_er_s_t hh_w_ah_n t_ah l_ah_v y_uw
c;30;if I had a wish;ah_f ay hh_ae_d ah w_ih_sh
c;32;could I be the last give in;k_uh_d ay b_iy dh_ah l_ae_s_t g_ih_v ih_n
b;45;say youll never start again;s_ey y_uw_l n_eh_v_er s_t_aa_r_t ah_g_eh_n
b;41;its a world war trying to get your own way;ih_t_s ah w_er_l_d w_ao_r t_r_ay_ih_ng t_uw g_eh_t y_ao_r ow_n w_ey
l;7;have been gone;hh_ae_v b_ah_n g_ao_n
d;35;could I be Would I do;k_uh_d ay b_iy w_uh_d ay d_uw
b;28;in every city street and every night and day;ih_n eh_v_er_iy s_ih_t_iy s_t_r_iy_t ah_n_d eh_v_er_iy n_ay_t ah_n_d d_ey
a;2;cause darling theres been many men;k_aa_z d_aa_r_l_ih_ng dh_eh_r_s b_ih_n m_eh_n_iy m_eh_n
f;18;could I trust you if you don-t come home;k_uh_d ay t_r_ah_s_t y_uw ah_f y_uw d_ow_n_t k_ah_m hh_ow_m
h;4;i guess that I could never be;ay g_eh_s dh_ah_t ay k_uh_d n_eh_v_er b_iy
b;33;say youll never start again;s_ey y_uw_l n_eh_v_er s_t_aa_r_t ah_g_eh_n
b;43;i swear youd hear me say;ay s_w_eh_r y_uw_d hh_ih_r m_iy s_ey
e;17;could I be the number one contender;k_uh_d ay b_iy dh_ah n_ah_m_b_er w_ah_n k_ah_n_t_eh_n_d_er
d;15;could I be Would I do;k_uh_d ay b_iy w_uh_d ay d_uw
c;42;if I had a wish;ah_f ay hh_ae_d ah w_ih_sh
a;16;could I be the last surrender;k_uh_d ay b_iy dh_ah l_ae_s_t s_er_eh_n_d_er
b;29;its a world war trying to get your own way;ih_t_s ah w_er_l_d w_ao_r t_r_ay_ih_ng t_uw g_eh_t y_ao_r ow_n w_ey
a;47;could I be the last surrender;k_uh_d ay b_iy dh_ah l_ae_s_t s_er_eh_n_d_er
b;27;of gray;ah_v g_r_ey
f;49;could I trust you if you don-t come home;k_uh_d ay t_r_ah_s_t y_uw ah_f y_uw d_ow_n_t k_ah_m hh_ow_m
b;9;its a world war trying to get your own way;ih_t_s ey w_er_l_d w_ao_r t_r_ay_ng t_ah g_ih_t y_uh_r ow_n w_ey
c;10;if I had a wish;ih_f ay hh_ae_d ey w_ih_sh
b;26;it brings yourself in the darkest shade;ih_t b_r_ih_ng_z y_er_s_eh_l_f ih_n dh_ah d_aa_r_k_ah_s_t sh_ey_d
b;31;i swear youd hear me say;ay s_w_eh_r y_uw_d hh_ih_r m_iy s_ey
e;37;could I be the number one contender;k_uh_d ay b_iy dh_ah n_ah_m_b_er w_ah_n k_ah_n_t_eh_n_d_er
h;0;i know that I could never be;ay n_ow dh_ah_t ay k_uh_d n_eh_v_er b_iy
f;39;could I leave you all alone;k_uh_d ay l_iy_v y_uw ao_l ah_l_ow_n
h;46;could I be the dream for you;k_uh_d ay b_iy dh_ah d_r_iy_m f_ao_r y_uw
g;25;and youd rather do whats wrong than right;ah_n_d y_uw_d r_ae_dh_er d_uw w_ah_t_s r_ao_ng dh_ae_n r_ay_t
b;8;in every city street and every night and day;ih_n_ch eh_v_r_iy s_ih_t_iy s_t_r_iy_t ah_n_d eh_v_er_iy n_ay_t ah_n_d d_ey
m;20;tougher than the rest of us;t_ah_f_er dh_ae_n dh_ah r_eh_s_t ah_v ah_s
c;22;you say you got the whole thing;y_uw s_ey y_uw g_aa_t dh_ah hh_ow_l th_ih_ng
f;19;could I leave you all alone;k_uh_d ay l_iy_v y_uw ao_l ah_l_ow_n
