Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
c;4;but I don-t need no gold when I die;b_ah_t ay d_ow_n_t n_iy_d n_ow g_ow_l_d w_eh_n ay d_ay
r;37;you see the whole concept (is) fiction to me;y_uw s_iy dh_ah hh_ow_l k_aa_n_s_eh_p_t ih_z f_ih_k_sh_ah_n t_uw m_iy
l;21;im tired of hearing do that;ay_m t_ay_r_d ah_v hh_ih_r_ih_ng d_uw dh_ae_t
u;47;breakout – ;b_r_ey_k_aw_t  ah_ae
a;65;but they don-t;b_ah_t dh_ey d_ow_n_t
d;7;with a half empty bottle and some ripped up jeans;w_ih_dh ah hh_ae_f eh_m_p_t_ih b_aa_t_ah_l ah_n_d s_ah_m r_ih_p_t ah_p jh_iy_n_z
e;13;i drink so I can solve them;ay d_r_ih_ng_k s_ow ay k_ah_n s_aa_l_v dh_eh_m
d;6;you can find me on that city street;y_uw k_ah_n f_ay_n_d m_iy aa_n dh_ae_t s_ih_t_iy s_t_r_iy_t
g;67;theyre just trying to make a song;dh_ey_r jh_ah_s_t t_r_ay_ih_ng t_uw m_ey_k ah s_ao_ng
h;19;but your shit (is) too loud;b_ah_t y_ao_r sh_iy_t ih_z t_uw l_aw_d
c;50;of those used up rhymes;ah_v dh_ow_z y_uw_z_d ah_p r_ay_m_z
i;20;see Im tired of hearing do this;s_iy ay_m t_ay_r_d ah_v hh_ih_r_ih_ng d_uw dh_ih_s
q;18;ive been blocking out all your voices;ay_v b_ih_n b_l_aa_k_ih_ng aw_t ao_l y_ao_r v_oy_s_ah_z
o;70;key of A minor and one and two and;k_iy ah_v ah m_ay_n_er ah_n_d w_ah_n ah_n_d t_uw ah_n_d
e;9;i don-t believe in your destiny;ay d_ow_n_t b_ah_l_iy_v ih_n y_ao_r d_eh_s_t_ah_n_iy
m;62;instead we got gangsters with peach fuzz;ih_n_s_t_eh_d w_iy g_aa_t g_ae_ng_s_t_er_z w_ih_dh p_iy_ch f_ah_z
p;29;minds are the passengers words are the vehicles;m_ay_n_d_z aa_r dh_ah p_ae_s_ah_n_jh_er_z w_er_d_z aa_r dh_ah v_iy_ih_k_l_z
l;26;Cuz Im killing those beats that they thought were unkillable;k_ah_z ay_m k_ih_l_ih_ng dh_ow_z b_iy_t_s dh_ae_t dh_ey th_ao_t w_er ah_n_k_ih_l_ae_b_eh_l
f;48;of your confines;ah_v y_uh_r k_aa_n_f_ay_n_z
a;0;you can find me on that country road;y_uw k_ae_n f_ay_n_d m_iy aa_n dh_ah_t k_ah_n_t_r_iy r_ow_d
c;60;‘  cuz your words only count when money-s involved right; ah_ae k_ah_z y_ao_r w_er_d_z ow_n_l_iy k_aw_n_t w_eh_n m_ah_n_iy_z ih_n_v_aa_l_v_d r_ay_t
r;42;and thats all I need its a comfort to me;ah_n_d dh_ae_t_s ao_l ay n_iy_d ih_t_s ah k_ah_m_f_er_t t_uw m_iy
f;58;ooh damn jeez oh god if I sound real gruff does it make me hard;uw d_ae_m jh_iy_z ow g_aa_d ah_f ay s_aw_n_d r_iy_l g_r_ah_f d_ah_z ih_t m_ey_k m_iy hh_aa_r_d
h;31;open your life and let go of doubt;ow_p_ah_n y_uh_r l_ay_f ah_n_d l_eh_t g_ow ah_v d_aw_t
n;54;no I don-t think you do;n_ow ay d_ow_n_t th_ih_ng_k y_uw d_uw
s;66;we know that they know too;w_iy n_ow dh_ae_t dh_ey n_ow t_uw
h;17;trying to figure this shit out;t_r_ay_ih_ng t_uw f_ih_g_y_er dh_ih_s sh_iy_t aw_t
r;36;i don-t really mean it literally;ay d_ow_n_t r_ih_l_iy m_iy_n ih_t l_ih_t_er_ah_l_iy
g;14;and when that don-t work I drink some more;ah_n_d w_eh_n dh_ae_t d_ow_n_t w_er_k ay d_r_ih_ng_k s_ah_m m_ao_r
c;10;Cuz Im going to go to hell when I die;k_ah_z ay_m g_ow_ih_ng t_uw g_ow t_uw hh_eh_l w_eh_n ay d_ay
s;45;‘  Cuz if you don-t do what your heart says to; ah_ae k_ah_z ah_f y_uw d_ow_n_t d_uw w_ah_t y_ao_r hh_aa_r_t s_eh_z t_uw
q;61;wrong At least I wish it was;r_ao_ng ae_t l_iy_s_t ay w_ih_sh ih_t w_ah_z
a;8;and no;ah_n_d n_ow
s;69;so just try to sing along this beats in two;s_ow jh_ah_s_t t_r_ay t_uw s_ih_ng ah_l_ao_ng dh_ih_s b_iy_t_s ih_n t_uw
i;27;look how I fit in like every last syllable;l_uh_k hh_aw ay f_ih_t ih_n l_ay_k eh_v_er_iy l_ae_s_t s_ih_l_ah_b_ah_l
d;39;but if it turns out Im wrong then Im right you see;b_ah_t ah_f ih_t t_er_n_z aw_t ay_m r_ao_ng dh_eh_n ay_m r_ay_t y_uw s_iy
r;35;when I say Hell I mean figuratively;w_eh_n ay s_ey hh_eh_l ay m_iy_n f_ih_g_y_uh_r_ah_t_ih_v_l_iy
c;52;after time;ae_f_t_er t_ay_m
h;25;you can call me Chris Brown look at me now;y_uw k_ah_n k_ao_l m_iy k_r_ih_s b_r_aw_n l_uh_k ae_t m_iy n_aw
f;15;Cuz thats another problem;k_ah_z dh_ae_t_s ah_n_ah_dh_er p_r_aa_b_l_ah_m
c;49;of your locked up minds;ah_v y_ao_r l_aa_k_t ah_p m_ay_n_d_z
a;1;its the only road that Im gonna go;ih_t_s dh_ah ow_n_l_iy r_ow_d dh_ae_t ay_m g_aa_n_ah g_ow
n;55;i think that all that matters (is) the brand of your shoes;ay th_ih_ng_k dh_ae_t ao_l dh_ae_t m_ae_t_er_z ih_z dh_ah b_r_ae_n_d ah_v y_ao_r sh_uw_z
c;51;That girl (is) fine that girl be mine that girl (is) fine time after time;dh_ae_t g_er_l ih_z f_ay_n dh_ae_t g_er_l b_iy m_ay_n dh_ae_t g_er_l ih_z f_ay_n t_ay_m ae_f_t_er t_ay_m
