Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;16;cause you keep me hanging on leading me on;k_aa_z y_uw k_iy_p m_iy hh_ae_ng_ih_ng aa_n l_iy_d_ih_ng m_iy aa_n
l;21;youve gotta have mercy on me;y_uw_v g_aa_t_ah hh_ae_v m_er_s_iy aa_n m_iy
a;3;can only be tamed by your loving ways;k_ah_n ow_n_l_iy b_iy t_ey_m_d b_ay y_ao_r l_ah_v_ih_ng w_ey_z
b;8;then cut the line;dh_eh_n k_ah_t dh_ah l_ay_n
b;17;stop wasting my time;s_t_aa_p w_ey_s_t_ih_ng m_ay t_ay_m
d;0;i know its wrong and Im nothing but a fool;ay n_ow ih_t_s r_ao_ng ah_n_d ay_m n_ah_th_ih_ng b_ah_t ah f_uw_l
i;20;don-t you make me beg;d_ow_n_t y_uw m_ey_k m_iy b_eh_g
d;25;you just keep me hanging on leading me on;y_uw jh_ah_s_t k_iy_p m_iy hh_ae_ng_ih_ng aa_n l_iy_d_ih_ng m_iy aa_n
b;27;please cut the line;p_l_iy_z k_ah_t dh_ah l_ay_n
g;10;and I may well regret these words;ah_n_d ay m_ey w_eh_l r_ih_g_r_eh_t dh_iy_z w_er_d_z
c;12;don-t get me wrong I know youve got another;d_ow_n_t g_eh_t m_iy r_ao_ng ay n_ow y_uw_v g_aa_t ah_n_ah_dh_er
h;15;and Im at your beck and call;ah_n_d ay_m ae_t y_ao_r b_eh_k ah_n_d k_ao_l
b;23;baby its cold here on the outside;b_ey_b_iy ih_t_s k_ow_l_d hh_ih_r aa_n dh_ah aw_t_s_ay_d
l;22;and set me free;ah_n_d s_eh_t m_iy f_r_iy
c;19;don-t make me suffer;d_ow_n_t m_ey_k m_iy s_ah_f_er
b;9;feeling so high my head (is) spinning round;f_iy_l_ih_ng s_ow hh_ay m_ay hh_eh_d ih_z s_p_ih_n_ih_ng r_aw_n_d
b;24;waiting for some kind of sign;w_ey_t_ih_ng f_ao_r s_ah_m k_ay_n_d ah_v s_ay_n
a;2;and this loneliness that hounds me through my days;ah_n_d dh_ih_s l_ow_n_l_iy_n_ah_s dh_ae_t hh_aw_n_d_z m_iy th_r_uw m_ay d_ey_z
e;1;but I just can-t help it can-t stop thinking bout you;b_ah_t ay jh_ah_s_t k_ae_n_t hh_eh_l_p ih_t k_ae_n_t s_t_aa_p th_ih_ng_k_ah_ng b_aw_t y_uw
b;7;if you can-t be mine;ah_f y_uw k_ae_n_t b_iy m_ay_n
b;26;if you can-t be mine;ah_f y_uw k_ae_n_t b_iy m_ay_n
b;18;and cut the line;ah_n_d k_ah_t dh_ah l_ay_n
f;6;cause you keep me hanging on leading me on;k_aa_z y_uw k_iy_p m_iy hh_ae_ng_ih_ng aa_n l_iy_d_ih_ng m_iy aa_n
b;4;baby its cold here on the outside;b_ey_b_iy ih_t_s k_ow_l_d hh_ih_r aa_n dh_ah aw_t_s_ay_d
b;5;waiting for some kind of sign;w_ey_t_ih_ng f_ao_r s_ah_m k_ay_n_d ah_v s_ay_n
b;11;when my feet touch the ground;w_eh_n m_ay f_iy_t t_ah_ch dh_ah g_r_aw_n_d
b;14;baby its cold here on the outside;b_ey_b_iy ih_t_s k_ow_l_d hh_ih_r aa_n dh_ah aw_t_s_ay_d
c;13;but Ill be crying in shame to keep this undercover;b_ah_t ay_l b_iy k_r_ay_ih_ng ih_n sh_ey_m t_uw k_iy_p dh_ih_s ah_n_d_er_k_ah_v_er
