Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;13;i am a disease and hell has been calling for me;ay ae_m ah d_ih_z_iy_z ah_n_d hh_eh_l hh_ah_z b_ih_n k_ao_l_ih_ng f_ao_r m_iy
f;4;but why oh God why are you doing this to me;b_ah_t w_ay ow g_aa_d w_ay aa_r y_uw d_uw_ih_ng dh_ih_s t_uw m_iy
e;33;i am a disease and hell has been calling for me;ay ae_m ah d_ih_z_iy_z ah_n_d hh_eh_l hh_ah_z b_ih_n k_ao_l_ih_ng f_ao_r m_iy
f;18;light defies me;l_ay_t d_ah_f_ay_z m_iy
b;34;why am I crazy Why am I crazy;w_ay ae_m ay k_r_ey_z_iy w_ay ae_m ay k_r_ey_z_iy
g;7;i don-t know who I am anymore;ay d_ow_n_t n_ow hh_uw ay ae_m eh_n_iy_m_ao_r
f;24;i am a disease and hell has been calling for me;ay ae_m ah d_ih_z_iy_z ah_n_d hh_eh_l hh_ah_z b_ih_n k_ao_l_ih_ng f_ao_r m_iy
f;20;light won-t find me;l_ay_t w_ow_n_t f_ay_n_d m_iy
b;23;why am I crazy Why am I crazy;w_ay ae_m ay k_r_ey_z_iy w_ay ae_m ay k_r_ey_z_iy
d;19;devour the darkness;d_ih_v_aw_er dh_ah d_aa_r_k_n_ah_s
a;6;can-t stop looking out my window;k_ae_n_t s_t_aa_p l_uh_k_ih_ng aw_t m_ay w_ih_n_d_ow
b;25;why am I crazy Why am I crazy;w_ay ae_m ay k_r_ey_z_iy w_ay ae_m ay k_r_ey_z_iy
b;14;why am I crazy Why am I crazy;w_ay ae_m ay k_r_ey_z_iy w_ay ae_m ay k_r_ey_z_iy
b;32;why am I crazy Why am I crazy;w_ay ae_m ay k_r_ey_z_iy w_ay ae_m ay k_r_ey_z_iy
e;3;im lost in make believe;ay_m l_ao_s_t ih_n m_ey_k b_ah_l_iy_v
c;8;youll wash wash away all the secrets of my past;y_uw_l w_aa_sh w_aa_sh ah_w_ey ao_l dh_ah s_iy_k_r_ah_t_s ah_v m_ay p_ae_s_t
f;17;hell find me;hh_eh_l f_ay_n_d m_iy
f;22;these are my last days cause hell has been calling for me;dh_iy_z aa_r m_ay l_ae_s_t d_ey_z k_aa_z hh_eh_l hh_ah_z b_ih_n k_ao_l_ih_ng f_ao_r m_iy
b;27;im not crazy;ay_m n_ax_t k_r_ey_z_iy
b;28;im not crazy;ay_m n_ax_t k_r_ey_z_iy
a;2;im not what you think;ay_m n_ax_t w_ah_t y_uw th_ih_ng_k
b;1;cracks seperate my face;k_r_ae_k_s s_iy_p_r_ey_t m_ay f_ey_s
c;9;the shattered reflection (is) all I ever had;dh_ah sh_ae_t_er_d r_ah_f_l_eh_k_sh_ah_n ih_z ao_l ay eh_v_er hh_ae_d
f;11;these are my last days cause hell has been calling for me;dh_iy_z aa_r m_ay l_ae_s_t d_ey_z k_aa_z hh_eh_l hh_ah_z b_ih_n k_ao_l_ih_ng f_ao_r m_iy
b;29;im not crazy;ay_m n_ax_t k_r_ey_z_iy
f;31;these are my last days cause hell has been calling for me;dh_iy_z aa_r m_ay l_ae_s_t d_ey_z k_aa_z hh_eh_l hh_ah_z b_ih_n k_ao_l_ih_ng f_ao_r m_iy
a;0;tired of looking in the mirror;t_ay_r_d ah_v l_uh_k_ih_ng ih_n_ch dh_iy m_ih_r_er
d;16;devour the darkness;d_ih_v_aw_er dh_ah d_aa_r_k_n_ah_s
b;12;why am I crazy Why am I crazy;w_ay ae_m ay k_r_ey_z_iy w_ay ae_m ay k_r_ey_z_iy
