Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;49;i pray to god that a nigga make it;ay p_r_ey t_uw g_aa_d dh_ae_t ah n_ih_g_ae m_ey_k ih_t
h;1;job pay attention I could see it;jh_oh_b p_ey ah_t_eh_n_sh_ah_n ay k_uh_d s_iy ih_t
a;58;i could see the way we treat our own shit;ay k_uh_d s_iy dh_ah w_ey w_iy t_r_iy_t aw_r ow_n sh_iy_t
f;41;got in a fight from a conversation;g_aa_t ih_n ah f_ay_t f_r_ah_m ah k_aa_n_v_er_s_ey_sh_ah_n
b;11;i ain-t talkn bout black folks talking bout that folks just these niggas;ay ey_n_t t_aa_l_b_n b_aw_t b_l_ae_k f_ow_k_s t_ao_k_ih_ng b_aw_t dh_ae_t f_ow_k_s jh_ah_s_t dh_iy_z n_ih_g_ae_s
m;18;at me;ae_t m_iy
a;28;i could see the way we treat out own shit;ay k_uh_d s_iy dh_ah w_ey w_iy t_r_iy_t aw_t ow_n sh_iy_t
a;59;obviously we don-t even care for our own shit;aa_b_v_iy_ah_s_l_iy w_iy d_ow_n_t iy_v_ah_n k_eh_r f_ao_r aw_r ow_n sh_iy_t
l;17;niggas wanna change this shit but then still do the same thing don-t be mad;n_ih_g_ae_s w_aa_n_ah ch_ey_n_jh dh_ih_s sh_iy_t b_ah_t dh_eh_n s_t_ih_l d_uw dh_ah s_ey_m th_ih_ng d_ow_n_t b_iy m_ae_d
f;43;got me clicking white on my application;g_aa_t m_iy k_l_ih_k_ih_ng w_ay_t aa_n m_ay ae_p_l_ah_k_ey_sh_ah_n
b;37;you always on the news nigga;y_uw ao_l_w_ey_z aa_n dh_ah n_y_uw_z n_ih_g_ae
c;15;mane niggas get mad bout Trayvon shoot a kid same age and the same race;m_ey_n n_ih_g_ae_s g_eh_t m_ae_d b_aw_t T_r_ah_iy_v_ax_n sh_uw_t ah k_ih_d s_ey_m ey_jh ah_n_d dh_ah s_ey_m r_ey_s
