Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;11;Lotta smoke dirty lungs;l_aa_t_ah s_m_ow_k d_er_t_iy l_ah_ng_z
a;20;why Im getting zooted with my niggas hella dirty lungs;w_ay ay_m g_eh_t_ih_ng z_uh_t_d w_ih_dh m_ay n_ih_g_ae_s hh_eh_l_ae d_er_t_iy l_ah_ng_z
e;17;chopstick party you know we will A K that;ch_aa_p_s_t_ih_k p_aa_r_t_iy y_uw n_ow w_iy w_ah_l ah k_ey dh_ae_t
a;0;Lotta smoke dirty lungs;l_aa_t_ah s_m_ow_k d_er_t_iy l_ah_ng_z
a;1;i swear I smoked a lot I need bout thirty lungs;ay s_w_eh_r ay s_m_ow_k_t ey l_aa_t ay n_iy_d b_aw_t th_er_t_iy l_ah_ng_z
f;25;dirty lungs dirty girl she got dirty ways;d_er_t_iy l_ah_ng_z d_er_t_iy g_er_l sh_iy g_aa_t d_er_t_iy w_ey_z
f;23;fist up thugging like the Panthers in the eighties;f_ih_s_t ah_p th_ah_g_jh_ih1_n_g l_ay_k dh_ah p_ae_n_th_er_z ih_n dh_iy ey_t_iy_z
h;30;swimming laps in that pussy think I need a boat;s_w_ih_m_ih_ng l_ae_p_s ih_n dh_ae_t p_uh_s_iy th_ih_ng_k ay n_iy_d ah b_ow_t
a;2;word around town Im worth bout thirty tons;w_er_d er_aw_n t_aw_n ay_m w_er_th b_aw_t th_er_d_iy t_ah_n_z
i;19;close the curtains on your life like a Maybach;k_l_ow_s dh_ah k_er_t_ah_n_z aa_n y_ao_r l_ay_f l_ay_k ah M_ah_iy_b_ax_ch
d;14;its a party going on with the Squad nigga;ih_t_s ah p_aa_r_t_iy g_ow_ih_ng aa_n w_ih_dh dh_ah s_k_w_aa_d n_ih_g_ae
c;7;he robbed em with a mess like he ain-t no his voice;hh_iy r_aa_b_d eh_m w_ih_dh ah m_eh_s l_ay_k hh_iy ey_n_t n_ow hh_ih_z v_oy_s
g;27;thirties the new twenty then Im in my teens;th_er_t_iy_z dh_ah n_y_uw t_w_eh_n_t_iy dh_eh_n ay_m ih_n m_ay t_iy_n_z
b;5;my little homie hit a lick for bout thirty pounds;m_ay l_ih_t_ah_l hh_ao_m_iy_ax hh_ih_t ah l_ih_k f_ao_r b_aw_t th_er_d_iy p_aw_n_d_z
d;15;b S M Wooh Da Kid party hard nigga;b_iy eh_s eh_m  d_aa k_ih_d p_aa_r_t_iy hh_aa_r_d n_ih_g_ae
g;28;your little sister nineteen then Im in her jeans;y_ao_r l_ih_t_ah_l s_ih_s_t_er n_ay_n_t_iy_n dh_eh_n ay_m ih_n hh_er jh_iy_n_z
f;26;he ain-t seen her in a month thats bout thirty days;hh_iy ey_n_t s_iy_n hh_er ih_n ah m_ah_n_th dh_ae_t_s b_aw_t th_er_d_iy d_ey_z
h;29;she got dirty lungs all she do (is) smoke;sh_iy g_aa_t d_er_t_iy l_ah_ng_z ao_l sh_iy d_uw ih_z s_m_ow_k
f;24;wooh Da Im a hippy I be smoking with your lady;w_uw_ae d_aa ay_m ah hh_ih_p_iy ay b_iy s_m_ow_k_ih_ng w_ih_dh y_ao_r l_ey_d_iy
a;3;thirty youngins on the block thats bout thirty guns;th_er_d_iy y_ah_n_jh_ih_n_s aa_n dh_ah b_l_aa_k dh_ae_t_s b_aw_t th_er_d_iy g_ah_n_z
a;21;r I P Slim D I got us put that on my son-s;aa_r ay p_iy s_l_ih_m d_iy ay g_aa_t ah_s p_uh_t dh_ae_t aa_n m_ay s_ah_n_z
a;12;don-t get your ass smoked from this dirty gun;d_ow_n_t g_eh_t y_ao_r ae_s s_m_ow_k_t f_r_ah_m dh_ih_s d_er_t_iy g_ah_n
b;10;thirty niggas with extendos that hold thirty rounds;th_er_d_iy n_ih_g_ae_s w_ih_dh ih_k_s_t_eh_oh_s dh_ae_t hh_ow_l_d th_er_d_iy r_aw_n_d_z
e;16;you know Wooh Da don-t play that shooters Ill K that;y_uw n_ow  d_aa d_ow_n_t p_l_ey dh_ae_t sh_uw_t_er_z ay_l k_ey dh_ae_t
b;9;thirty youngins round with him they don-t play around;th_er_d_iy y_ah_n_jh_ih_n_s r_aw_n_d w_ih_dh hh_ih_m dh_ey d_ow_n_t p_l_ey er_aw_n_d
e;18;two two three will make him lay back;t_uw t_uw th_r_iy w_ah_l m_ey_k hh_ih_m l_ey b_ae_k
b;6;his little sister baby daddy he just laid em down;hh_ih_z l_ih_t_ah_l s_ih_s_t_er b_ey_b_iy d_ae_d_iy hh_iy jh_ah_s_t l_ey_d eh_m d_aw_n
c;8;he like I don-t give a fuck I ain-t have a choice;hh_iy l_ay_k ay d_ow_n_t g_ih_v ah f_ah_k ay ey_n_t hh_ae_v ah ch_oy_s
